season,team_id,team,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,available_flag,season_start,season_end,is_home,home,away,MON
2018-19,1610612753,ORL,Orlando Magic,21801222,2019-04-10,ORL @ CHA,W,48.0,130.1,131.2,121.4,122.6,8.6,8.6,0.5,4.0,18.8,0.286,0.816,0.538,0.065,0.608,0.63,93.8,93.0,77.5,93,0.519,1,1,1,1,135,66,2149,654,2052,53,841,973,263,528,37,251,290,2311,1057,1,2018,2019,False,CHA,ORL,APR
2018-19,1610612753,ORL,Orlando Magic,21801203,2019-04-07,ORL @ BOS,W,48.0,110.8,112.6,104.7,104.9,6.1,7.8,0.707,1.81,19.9,0.286,0.813,0.546,0.155,0.522,0.582,103.9,103.0,85.83,103,0.539,1,1,1,1,135,984,800,703,310,1130,557,973,281,405,1676,1251,864,715,840,1,2018,2019,False,BOS,ORL,APR
2018-19,1610612753,ORL,Orlando Magic,21801181,2019-04-05,ORL vs. ATL,W,48.0,131.9,134.2,101.2,102.7,30.6,31.5,0.625,1.84,22.4,0.275,0.793,0.582,0.171,0.707,0.723,112.3,110.5,92.08,111,0.65,1,1,1,1,135,37,621,40,964,1091,147,1125,453,120,1998,13,12,69,100,1,2018,2019,True,ORL,ATL,APR
2018-19,1610612753,ORL,Orlando Magic,21801166,2019-04-03,ORL vs. NYK,W,48.0,110.9,114.0,101.8,100.0,9.1,14.0,0.644,2.07,19.0,0.429,0.837,0.619,0.14,0.51,0.529,100.5,100.0,83.33,100,0.545,1,1,1,1,135,853,442,393,786,814,790,36,136,20,1308,1451,1724,1299,773,1,2018,2019,True,ORL,NYK,APR
2018-19,1610612753,ORL,Orlando Magic,21801156,2019-04-01,ORL @ TOR,L,48.0,107.3,107.9,119.0,122.2,-11.7,-14.3,0.744,2.46,21.8,0.288,0.818,0.531,0.129,0.527,0.547,101.6,100.0,83.33,101,0.463,1,1231,1231,1231,135,1392,2131,2079,136,440,216,950,240,624,989,1186,1434,1299,1593,1,2018,2019,False,TOR,ORL,APR
2018-19,1610612753,ORL,Orlando Magic,21801140,2019-03-30,ORL @ IND,W,48.0,125.8,126.0,114.3,120.8,11.5,5.2,0.787,5.29,25.7,0.239,0.644,0.44,0.073,0.592,0.616,98.8,96.0,80.0,96,0.555,1,1,1,1,135,164,2069,907,50,13,10,1600,2186,2185,82,362,429,2019,670,1,2018,2019,False,IND,ORL,MAR
2018-19,1610612753,ORL,Orlando Magic,21801122,2019-03-28,ORL @ DET,L,48.0,98.2,106.5,123.3,125.0,-25.1,-18.5,0.568,1.75,15.4,0.39,0.705,0.524,0.13,0.436,0.477,96.5,92.0,76.67,92,0.394,1,1231,1231,1231,135,1506,2239,2224,1563,1212,1835,114,1584,747,1048,2288,2269,2361,2195,1,2018,2019,False,DET,ORL,MAR
2018-19,1610612753,ORL,Orlando Magic,21801109,2019-03-26,ORL @ MIA,W,48.0,104.9,105.1,97.8,100.0,7.1,5.1,0.73,1.8,18.9,0.321,0.804,0.551,0.152,0.494,0.525,100.2,99.0,82.5,99,0.53,1,1,1,1,135,1633,442,915,202,1143,807,538,354,352,1587,1656,1790,1511,930,1,2018,2019,False,MIA,ORL,MAR
2018-19,1610612753,ORL,Orlando Magic,21801103,2019-03-25,ORL vs. PHI,W,48.0,130.6,125.3,104.9,104.3,25.7,21.0,0.622,4.0,20.6,0.283,0.825,0.535,0.074,0.58,0.613,92.3,94.5,78.75,95,0.596,1,1,1,1,135,196,766,176,1004,53,415,1024,195,571,87,462,466,2197,329,1,2018,2019,True,ORL,PHI,MAR
2018-19,1610612753,ORL,Orlando Magic,21801080,2019-03-22,ORL vs. MEM,W,53.0,111.9,116.0,113.1,113.3,-1.1,2.7,0.682,3.33,20.5,0.208,0.784,0.49,0.085,0.548,0.586,97.4,95.55,79.62,106,0.533,1,1,1,1,21,700,1546,1094,457,139,437,1988,564,1421,170,844,781,2065,893,1,2018,2019,True,ORL,MEM,MAR
