TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
1610612737,Atlanta Hawks,82,24,58,0.293,3941.0,110.1,32.8,0.719,7.8,4.2,17.9,12.9,13.0,44.3,1,27,27,27,27,24,22,26,12,23,25,19,24,14
1610612738,Boston Celtics,82,55,27,0.671,3961.0,103.2,34.9,0.739,7.3,4.5,15.5,11.1,10.3,43.5,1,4,4,4,12,2,7,10,23,20,11,5,5,11
1610612751,Brooklyn Nets,82,28,54,0.341,3971.0,109.7,34.5,0.731,6.2,4.7,17.2,13.5,11.5,47.4,1,23,23,23,5,21,9,14,30,16,21,28,15,27
1610612766,Charlotte Hornets,82,36,46,0.439,3956.0,109.0,35.2,0.763,6.8,4.5,14.8,10.6,10.6,45.0,1,20,20,20,16,17,3,2,28,19,3,1,6,18
1610612741,Chicago Bulls,82,27,55,0.329,3971.0,110.5,34.7,0.767,7.6,3.5,16.2,11.1,11.2,44.1,1,24,24,24,5,28,8,1,19,30,15,3,10,13
1610612739,Cleveland Cavaliers,82,50,32,0.61,3946.0,111.1,33.6,0.73,7.1,3.8,16.4,12.7,11.2,46.9,1,6,6,6,23,29,17,16,24,28,17,15,12,22
1610612742,Dallas Mavericks,82,24,58,0.293,3961.0,108.4,32.9,0.749,7.0,3.8,13.8,11.3,14.2,41.9,1,27,27,27,12,16,21,5,25,29,1,7,27,3
1610612743,Denver Nuggets,82,46,36,0.561,3976.0,110.0,33.2,0.736,7.6,4.9,18.5,11.1,12.8,46.9,1,14,14,14,4,23,20,11,18,12,29,4,21,21
1610612765,Detroit Pistons,82,39,43,0.476,3961.0,106.7,33.4,0.74,7.6,3.8,14.8,11.1,9.8,43.3,1,19,19,19,12,10,18,9,16,27,5,6,2,10
1610612744,Golden State Warriors,82,58,24,0.707,3946.0,106.8,35.0,0.712,8.0,7.4,18.4,13.6,14.1,47.2,1,3,3,3,23,11,6,29,8,1,28,30,26,26
1610612745,Houston Rockets,82,65,17,0.793,3951.0,105.7,34.3,0.75,8.5,4.8,15.7,11.9,11.8,47.8,1,1,1,1,18,7,10,4,5,15,13,12,16,28
1610612754,Indiana Pacers,82,48,34,0.585,3951.0,107.3,32.6,0.721,8.8,4.1,14.8,12.7,12.3,44.7,1,8,8,8,18,12,25,24,2,25,4,17,18,15
1610612746,LA Clippers,82,42,40,0.512,3941.0,109.2,33.7,0.718,7.6,4.5,17.3,13.2,15.4,44.8,1,18,18,18,27,19,16,27,13,18,24,26,30,16
1610612747,Los Angeles Lakers,82,35,47,0.427,3981.0,107.3,35.3,0.729,7.6,4.7,18.0,13.3,12.6,48.4,1,21,21,21,3,13,2,17,15,17,26,27,20,30
