season,team_id,game_id,game_date,away_team,home_team,opponent_id,game_no,pf,opp_pf,wl
2023-24,1610612761,22300069,2023-10-25,MIN,TOR,1610612750,1,97,94,W
2023-24,1610612761,22300082,2023-10-27,TOR,CHI,1610612741,2,103,104,L
2023-24,1610612761,22300092,2023-10-28,PHI,TOR,1610612755,3,107,114,L
2023-24,1610612761,22300105,2023-10-30,POR,TOR,1610612757,4,91,99,L
2023-24,1610612761,22300116,2023-11-01,MIL,TOR,1610612749,5,130,111,W
2023-24,1610612761,22300128,2023-11-02,TOR,PHI,1610612755,6,99,114,L
2023-24,1610612761,22300141,2023-11-05,TOR,SAS,1610612759,7,123,116,W
2023-24,1610612761,22300168,2023-11-08,TOR,DAL,1610612742,8,127,116,W
2023-24,1610612761,22300174,2023-11-11,TOR,BOS,1610612738,9,94,117,L
2023-24,1610612761,22300189,2023-11-13,WAS,TOR,1610612764,10,111,107,W
2023-24,1610612761,22300195,2023-11-15,MIL,TOR,1610612749,11,112,128,L
2023-24,1610612761,22300031,2023-11-17,BOS,TOR,1610612738,12,105,108,L
2023-24,1610612761,22300211,2023-11-19,DET,TOR,1610612765,13,142,113,W
2023-24,1610612761,22300038,2023-11-21,TOR,ORL,1610612753,14,107,126,L
2023-24,1610612761,22300230,2023-11-22,TOR,IND,1610612754,15,132,131,W
2023-24,1610612761,22300046,2023-11-24,CHI,TOR,1610612741,16,121,108,W
2023-24,1610612761,22300251,2023-11-26,TOR,CLE,1610612739,17,102,105,L
2023-24,1610612761,22300054,2023-11-28,TOR,BKN,1610612751,18,103,115,L
2023-24,1610612761,22300260,2023-11-29,PHX,TOR,1610612756,19,112,105,W
2023-24,1610612761,22300276,2023-12-01,NYK,TOR,1610612752,20,106,119,L
2023-24,1610612761,22301207,2023-12-06,MIA,TOR,1610612748,21,103,112,L
2023-24,1610612761,22301216,2023-12-08,TOR,CHA,1610612766,22,116,119,L
2023-24,1610612761,22300297,2023-12-11,TOR,NYK,1610612752,23,130,136,L
2023-24,1610612761,22300313,2023-12-13,ATL,TOR,1610612737,24,135,128,W
2023-24,1610612761,22300330,2023-12-15,ATL,TOR,1610612737,25,104,125,L
2023-24,1610612761,22300354,2023-12-18,CHA,TOR,1610612766,26,114,99,W
2023-24,1610612761,22300369,2023-12-20,DEN,TOR,1610612743,27,104,113,L
2023-24,1610612761,22300382,2023-12-22,TOR,PHI,1610612755,28,111,121,L
2023-24,1610612761,22300395,2023-12-23,UTA,TOR,1610612762,29,119,126,L
2023-24,1610612761,22300416,2023-12-27,TOR,WAS,1610612764,30,132,102,W
2023-24,1610612761,22300432,2023-12-29,TOR,BOS,1610612738,31,118,120,L
2023-24,1610612761,22300440,2023-12-30,TOR,DET,1610612765,32,127,129,L
2023-24,1610612761,22300452,2024-01-01,CLE,TOR,1610612739,33,124,121,W
2023-24,1610612761,22300470,2024-01-03,TOR,MEM,1610612763,34,116,111,W
2023-24,1610612761,22300492,2024-01-05,TOR,SAC,1610612758,35,130,135,L
2023-24,1610612761,22300504,2024-01-07,TOR,GSW,1610612744,36,133,118,W
2023-24,1610612761,22300516,2024-01-09,TOR,LAL,1610612747,37,131,132,L
2023-24,1610612761,22300526,2024-01-10,TOR,LAC,1610612746,38,120,126,L
2023-24,1610612761,22300540,2024-01-12,TOR,UTA,1610612762,39,113,145,L
2023-24,1610612761,22300563,2024-01-15,BOS,TOR,1610612738,40,96,105,L
2023-24,1610612761,22300574,2024-01-17,MIA,TOR,1610612748,41,121,97,W
2023-24,1610612761,22300580,2024-01-18,CHI,TOR,1610612741,42,110,116,L
2023-24,1610612761,22300596,2024-01-20,TOR,NYK,1610612752,43,100,126,L
2023-24,1610612761,22300609,2024-01-22,MEM,TOR,1610612763,44,100,108,L
2023-24,1610612761,22300637,2024-01-26,LAC,TOR,1610612746,45,107,127,L
2023-24,1610612761,22300653,2024-01-28,TOR,ATL,1610612737,46,125,126,L
2023-24,1610612761,22300672,2024-01-30,TOR,CHI,1610612741,47,118,107,W
2023-24,1610612761,22300692,2024-02-02,TOR,HOU,1610612745,48,106,135,L
2023-24,1610612761,22300710,2024-02-04,TOR,OKC,1610612760,49,127,135,L
2023-24,1610612761,22300718,2024-02-05,TOR,NOP,1610612740,50,100,138,L
2023-24,1610612761,22300726,2024-02-07,TOR,CHA,1610612766,51,123,117,W
2023-24,1610612761,22300744,2024-02-09,HOU,TOR,1610612745,52,107,104,W
2023-24,1610612761,22300756,2024-02-10,CLE,TOR,1610612739,53,95,119,L
2023-24,1610612761,22300764,2024-02-12,SAS,TOR,1610612759,54,99,122,L
2023-24,1610612761,22300782,2024-02-14,IND,TOR,1610612754,55,125,127,L
2023-24,1610612761,22300795,2024-02-22,BKN,TOR,1610612751,56,121,93,W
2023-24,1610612761,22300804,2024-02-23,TOR,ATL,1610612737,57,123,121,W
