player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,pct_dreb,stl,pct_stl,blk,pct_blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,def_ws,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,pct_dreb_rank,stl_rank,pct_stl_rank,blk_rank,pct_blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,def_ws_rank,team
1626150,Andrew Harrison,Andrew,1610612740,NOP,24.0,17,6,11,0.353,185.785,108.7,14,0.074,0.116,4,0.133,2,0.182,83,38,50,162,0.51,435,450,111,417,429,283,454,462,446,440,415,424,212,116,83,93,94,430,NOP
203076,Anthony Davis,Anthony,1610612740,NOP,26.0,56,25,31,0.446,1849.8833333333332,110.1,498,0.249,0.354,88,0.28,135,0.59,657,487,596,1894,4.58,263,251,335,332,131,355,19,26,28,40,74,8,15,413,390,439,405,164,NOP
1627767,Cheick Diallo,Cheick,1610612740,NOP,22.0,64,27,37,0.422,895.645,110.0,257,0.26,0.374,29,0.236,33,0.379,371,265,278,942,2.32,201,229,416,359,291,352,111,18,22,255,138,119,76,269,244,251,243,298,NOP
1626174,Christian Wood,Christian,1610612740,NOP,23.0,21,13,8,0.619,250.305,110.3,66,0.231,0.33,7,0.2,10,0.455,107,76,110,274,0.64,417,374,93,135,413,369,354,43,47,407,219,298,45,136,123,149,124,421,NOP
1629541,Dairis Bertans,Dairis,1610612740,NOP,29.0,12,3,9,0.25,167.04333333333332,113.1,7,0.036,0.049,1,0.071,0,0.0,75,57,50,158,0.27,454,472,96,465,436,467,473,516,517,471,493,473,473,108,110,93,91,461,NOP
203121,Darius Miller,Darius,1610612740,NOP,29.0,69,31,38,0.449,1757.505,109.8,114,0.059,0.085,40,0.156,23,0.115,631,509,521,1850,4.54,157,187,426,326,145,345,290,499,501,199,360,182,317,401,403,402,398,168,NOP
202734,E'Twaun Moore,E'Twaun,1610612740,NOP,30.0,53,21,32,0.396,1463.013333333333,111.6,92,0.058,0.086,40,0.174,8,0.046,505,436,513,1586,3.0,275,284,352,383,189,419,320,500,500,199,308,319,439,344,358,398,358,257,NOP
203901,Elfrid Payton,Elfrid,1610612740,NOP,25.0,42,18,24,0.429,1249.7733333333333,112.9,171,0.129,0.186,44,0.207,17,0.121,452,342,470,1430,2.11,341,321,245,350,229,460,207,243,252,174,204,230,300,312,297,374,333,312,NOP
1628402,Frank Jackson,Frank,1610612740,NOP,21.0,61,22,39,0.361,1168.8633333333332,111.3,109,0.085,0.124,25,0.138,2,0.017,460,327,395,1302,2.57,227,276,438,409,248,410,295,429,427,280,400,424,470,318,290,328,310,287,NOP
203546,Ian Clark,Ian,1610612740,NOP,28.0,60,24,36,0.4,972.5783333333334,109.6,76,0.071,0.103,22,0.173,8,0.076,353,280,319,1028,2.62,232,262,406,377,282,331,342,467,471,294,312,319,388,260,254,280,260,286,NOP
1626143,Jahlil Okafor,Jahlil,1610612740,NOP,23.0,59,23,36,0.39,934.8483333333334,111.5,196,0.196,0.277,15,0.114,40,0.385,365,275,341,998,1.95,240,272,406,391,287,414,177,85,90,345,454,88,75,267,251,295,254,325,NOP
201160,Jason Smith,Jason,1610612740,NOP,33.0,20,10,10,0.5,190.51666666666668,108.1,36,0.174,0.25,3,0.13,7,0.318,68,50,76,182,0.6,421,400,102,251,427,257,408,118,124,447,426,339,103,99,99,124,104,423,NOP
201950,Jrue Holiday,Jrue,1610612740,NOP,29.0,67,30,37,0.448,2401.9283333333333,109.1,259,0.099,0.141,109,0.284,54,0.179,904,674,702,2466,6.67,179,201,416,330,43,313,110,365,375,18,67,54,217,516,500,494,491,78,NOP
203944,Julius Randle,Julius,1610612740,NOP,24.0,73,31,42,0.425,2231.635,111.4,472,0.198,0.286,52,0.15,45,0.192,853,627,708,2360,4.71,124,187,465,354,65,413,26,81,82,143,368,74,204,498,478,495,479,157,NOP
1629026,Kenrich Williams,Kenrich,1610612740,NOP,24.0,46,17,29,0.37,1079.22,111.6,164,0.145,0.205,45,0.238,19,0.168,424,323,402,1252,2.25,316,328,312,403,264,420,223,192,206,170,132,214,232,298,284,331,302,301,NOP
203524,Solomon Hill,Solomon,1610612740,NOP,28.0,44,14,30,0.318,878.525,113.0,99,0.102,0.149,23,0.185,10,0.127,334,292,296,900,1.44,326,361,324,437,294,462,310,350,351,289,269,298,294,251,262,269,237,361,NOP
1626169,Stanley Johnson,Stanley,1610612740,NOP,23.0,66,28,38,0.424,1207.37,103.4,183,0.142,0.204,60,0.316,14,0.149,476,298,274,1282,5.34,190,219,426,356,240,84,192,208,208,105,41,253,259,330,268,246,308,127,NOP
