season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2021-22,1610612756,42100141,2022-04-17,NOP,PHX,1610612740,110,99,W,rnd1,1
2021-22,1610612756,42100142,2022-04-19,NOP,PHX,1610612740,114,125,L,rnd1,2
2021-22,1610612756,42100143,2022-04-22,PHX,NOP,1610612740,114,111,W,rnd1,3
2021-22,1610612756,42100144,2022-04-24,PHX,NOP,1610612740,103,118,L,rnd1,4
2021-22,1610612756,42100145,2022-04-26,NOP,PHX,1610612740,112,97,W,rnd1,5
2021-22,1610612756,42100146,2022-04-28,PHX,NOP,1610612740,115,109,W,rnd1,6
2021-22,1610612756,42100221,2022-05-02,DAL,PHX,1610612742,121,114,W,sf,1
2021-22,1610612756,42100222,2022-05-04,DAL,PHX,1610612742,129,109,W,sf,2
2021-22,1610612756,42100223,2022-05-06,PHX,DAL,1610612742,94,103,L,sf,3
2021-22,1610612756,42100224,2022-05-08,PHX,DAL,1610612742,101,111,L,sf,4
2021-22,1610612756,42100225,2022-05-10,DAL,PHX,1610612742,110,80,W,sf,5
2021-22,1610612756,42100226,2022-05-12,PHX,DAL,1610612742,86,113,L,sf,6
2021-22,1610612756,42100227,2022-05-15,DAL,PHX,1610612742,90,123,L,sf,7
