player_id,player,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank,team
202687,Bismack Biyombo,Bismack,1610612759,SAS,32.0,28,10,18,0.357,527.0,0.124,0.146,0.117,0.0,0.0,0.085,0.154,0.457,0.319,0.348,0.105,0.179,0.184,0.523,0.333,0.311,0.192,0.12,416,419,211,425,366,493,415,519,499,542,459,301,40,53,45,440,338,307,28,524,514,225,494,SAS
1631104,Blake Wesley,Blake,1610612759,SAS,22.0,58,23,35,0.397,683.0,0.165,0.138,0.151,0.085,0.108,0.177,0.205,0.11,0.095,0.099,0.278,0.241,0.316,0.092,0.191,0.199,0.223,0.136,223,265,447,394,329,302,436,411,442,460,227,183,419,539,540,109,461,45,413,312,267,149,443,SAS
1629646,Charles Bassey,Charles,1610612759,SAS,24.0,36,14,22,0.389,376.0,0.164,0.224,0.167,0.0,0.0,0.147,0.176,0.566,0.353,0.41,0.085,0.192,0.233,0.638,0.206,0.329,0.197,0.187,370,364,274,397,411,311,129,343,499,542,301,251,6,32,11,505,370,157,11,349,529,212,224,SAS
101108,Chris Paul,Chris,1610612759,SAS,40.0,82,34,48,0.415,2292.0,0.137,0.123,0.136,0.196,0.187,0.113,0.098,0.07,0.167,0.144,0.429,0.206,0.269,0.083,0.049,0.199,0.105,0.131,1,157,542,378,42,442,493,463,261,303,393,445,503,334,398,15,402,85,431,56,268,453,465,SAS
1630561,David Duke Jr.,David,1610612759,SAS,25.0,6,0,6,0.0,34.0,0.207,0.167,0.215,0.25,0.24,0.091,0.125,0.167,0.143,0.147,0.143,0.222,0.25,0.0,0.0,0.083,0.154,0.168,524,557,76,557,534,152,325,167,141,172,447,381,296,406,392,327,435,117,519,1,22,328,316,SAS
1628368,De'Aaron Fox,De'Aaron,1610612759,SAS,27.0,62,27,35,0.435,2241.0,0.274,0.265,0.273,0.209,0.227,0.335,0.319,0.111,0.161,0.149,0.309,0.302,0.251,0.124,0.28,0.19,0.307,0.269,192,232,447,361,52,36,56,43,235,193,45,55,418,356,386,71,532,115,346,472,229,53,53,SAS
1630170,Devin Vassell,Devin,1610612759,SAS,24.0,64,24,40,0.375,1983.0,0.217,0.23,0.24,0.276,0.268,0.145,0.14,0.076,0.169,0.145,0.161,0.155,0.243,0.147,0.18,0.157,0.141,0.223,170,261,503,407,93,125,115,95,107,116,309,340,496,327,396,290,266,137,304,279,111,368,124,SAS
203084,Harrison Barnes,Harrison,1610612759,SAS,33.0,82,34,48,0.415,2230.0,0.157,0.177,0.164,0.227,0.191,0.218,0.21,0.196,0.139,0.153,0.102,0.082,0.108,0.056,0.158,0.105,0.182,0.189,1,157,542,378,55,343,290,361,199,294,150,173,243,426,367,453,56,517,482,233,30,245,214,SAS
1631127,Harrison Ingram,Harrison,1610612759,SAS,22.0,5,0,5,0.0,35.0,0.06,0.054,0.063,0.0,0.038,0.0,0.0,0.286,0.241,0.25,0.107,0.091,0.429,0.0,0.0,0.167,0.0,0.04,535,557,64,557,533,565,555,562,499,506,544,548,135,151,149,429,68,11,519,1,142,556,558,SAS
1631110,Jeremy Sochan,Jeremy,1610612759,SAS,22.0,54,21,33,0.389,1364.0,0.184,0.213,0.184,0.076,0.085,0.174,0.195,0.368,0.241,0.275,0.158,0.204,0.184,0.164,0.348,0.267,0.204,0.191,258,280,428,397,203,234,152,270,452,477,234,204,89,154,118,296,399,305,266,535,452,199,202,SAS
1629162,Jordan McLaughlin,Jordan,1610612759,SAS,29.0,46,17,29,0.37,314.0,0.134,0.112,0.133,0.183,0.181,0.152,0.143,0.098,0.115,0.112,0.282,0.163,0.281,0.038,0.148,0.164,0.181,0.128,307,323,362,412,427,453,508,474,284,319,285,332,449,508,506,98,290,71,504,213,130,249,476,SAS
1630577,Julian Champagnie,Julian,1610612759,SAS,23.0,82,34,48,0.415,1932.0,0.164,0.163,0.181,0.301,0.289,0.129,0.115,0.151,0.189,0.18,0.094,0.136,0.183,0.144,0.166,0.167,0.08,0.176,1,157,542,378,101,308,349,287,72,82,348,407,339,264,292,473,202,309,307,251,147,498,285,SAS
1629640,Keldon Johnson,Keldon,1610612759,SAS,25.0,77,31,46,0.403,1838.0,0.207,0.237,0.222,0.177,0.191,0.22,0.225,0.243,0.217,0.225,0.12,0.144,0.145,0.107,0.191,0.165,0.204,0.227,43,186,533,388,120,153,102,144,298,293,143,149,179,203,185,388,232,435,383,310,137,196,117,SAS
1631103,Malaki Branham,Malaki,1610612759,SAS,22.0,47,18,29,0.383,427.0,0.233,0.241,0.247,0.291,0.258,0.2,0.18,0.08,0.141,0.128,0.153,0.23,0.177,0.038,0.317,0.199,0.14,0.241,298,312,362,404,394,85,90,82,90,132,178,237,488,418,455,314,445,326,505,511,265,369,87,SAS
1642434,Riley Minix,Riley,1610612759,SAS,24.0,1,0,1,0.0,7.0,0.063,0.0,0.091,0.0,0.333,0.0,0.0,0.0,0.222,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562,557,10,557,562,564,558,550,499,25,544,548,548,189,230,558,1,541,519,1,1,556,561,SAS
1630572,Sandro Mamukelashvili,Sandro,1610612759,SAS,26.0,61,23,38,0.377,681.0,0.202,0.241,0.223,0.278,0.267,0.19,0.188,0.358,0.277,0.3,0.12,0.124,0.174,0.283,0.143,0.255,0.171,0.239,201,265,475,406,330,168,89,142,103,117,200,223,92,98,90,383,165,346,132,193,429,277,93,SAS
1642264,Stephon Castle,Stephon,1610612759,SAS,20.0,81,33,48,0.407,2162.0,0.253,0.227,0.246,0.152,0.189,0.323,0.341,0.176,0.145,0.153,0.268,0.288,0.197,0.091,0.322,0.21,0.324,0.232,12,166,542,386,65,58,121,86,344,296,59,43,277,401,366,118,517,271,416,514,307,45,105,SAS
1641705,Victor Wembanyama,Victor,1610612759,SAS,21.0,46,21,25,0.457,1527.0,0.3,0.309,0.306,0.3,0.3,0.311,0.3,0.265,0.389,0.362,0.176,0.338,0.214,0.749,0.205,0.23,0.391,0.308,307,280,300,333,172,17,17,18,76,68,65,68,151,12,40,255,550,218,5,347,366,19,17,SAS
