team_id,team_name,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,team
1610612738,Boston Celtics,8,5,3,0.625,4.9,0.661,0.339,0.455,0.079,0.178,0.02,0.366,0.119,0.376,0.652,0.348,0.5,0.5,0.621,0.379,2,2,10,4,1,6,11,9,10,12,12,2,6,9,3,13,10,1,4,13,BOSTON CELTICS
1610612739,Cleveland Cavaliers,10,7,3,0.7,4.1,0.514,0.486,0.356,0.067,0.367,0.056,0.278,0.156,0.289,0.25,0.75,0.727,0.273,0.444,0.556,1,1,10,3,3,14,3,13,12,5,11,6,4,13,11,5,7,7,13,4,CLEVELAND CAVALIERS
1610612744,Golden State Warriors,7,4,3,0.571,3.1,0.647,0.353,0.44,0.12,0.3,0.16,0.26,0.22,0.32,0.455,0.545,0.6,0.4,0.5,0.5,3,3,10,5,9,8,8,10,7,6,6,8,2,11,8,7,9,5,10,5,GOLDEN STATE WARRIORS
1610612745,Houston Rockets,4,4,0,1.0,3.2,0.435,0.565,0.286,0.071,0.429,0.107,0.286,0.143,0.214,0.0,1.0,0.5,0.5,0.25,0.75,7,3,1,1,8,15,2,14,11,3,8,5,5,15,13,1,10,1,14,2,HOUSTON ROCKETS
1610612754,Indiana Pacers,5,1,4,0.2,2.6,0.545,0.455,0.625,0.125,0.188,0.0,0.188,0.0,0.5,0.8,0.2,1.0,0.0,0.833,0.167,4,9,15,13,12,12,5,3,5,10,13,14,12,3,1,15,1,9,1,16,INDIANA PACERS
1610612748,Miami Heat,2,1,1,0.5,2.5,1.0,0.0,0.8,0.2,0.0,0.2,0.2,0.4,0.6,0.75,0.25,0.0,0.0,0.75,0.25,14,9,2,6,13,1,15,2,1,14,4,13,1,2,2,14,14,9,2,15,MIAMI HEAT
1610612749,Milwaukee Bucks,4,2,2,0.5,4.1,0.655,0.345,0.512,0.047,0.279,0.163,0.209,0.07,0.465,0.455,0.545,1.0,0.0,0.6,0.4,7,6,6,6,5,7,10,7,14,8,5,11,9,5,8,7,1,9,5,11,MILWAUKEE BUCKS
1610612750,Minnesota Timberwolves,1,0,1,0.0,2.1,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,16,15,2,15,15,1,15,8,15,14,2,1,12,3,13,1,14,9,16,1,MINNESOTA TIMBERWOLVES
1610612740,New Orleans Pelicans,4,3,1,0.75,2.8,0.522,0.478,0.278,0.056,0.5,0.0,0.222,0.111,0.222,0.2,0.8,0.833,0.167,0.545,0.455,7,5,2,2,11,13,4,15,13,2,13,9,7,14,12,4,6,8,9,8,NEW ORLEANS PELICANS
1610612760,Oklahoma City Thunder,3,1,2,0.333,3.3,0.577,0.423,0.6,0.2,0.3,0.1,0.1,0.0,0.4,0.5,0.5,0.5,0.5,0.5,0.5,11,9,6,11,7,10,7,5,1,6,9,16,12,8,6,9,10,1,10,5,OKLAHOMA CITY THUNDER
1610612755,Philadelphia 76ers,5,1,4,0.2,4.9,0.711,0.289,0.615,0.192,0.173,0.058,0.212,0.038,0.423,0.5,0.5,1.0,0.0,0.579,0.421,4,9,15,13,2,4,13,4,3,13,10,10,11,7,6,9,1,9,7,10,PHILADELPHIA 76ERS
1610612757,Portland Trail Blazers,3,0,3,0.0,3.7,0.647,0.353,0.417,0.083,0.375,0.292,0.208,0.083,0.333,0.0,1.0,0.667,0.333,0.25,0.75,11,15,10,15,6,8,8,11,8,4,3,12,8,10,13,1,8,6,14,2,PORTLAND TRAIL BLAZERS
1610612759,San Antonio Spurs,2,1,1,0.5,1.2,0.333,0.667,0.0,0.0,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,14,9,2,6,16,16,1,16,15,1,13,4,12,16,13,16,10,1,10,5,SAN ANTONIO SPURS
1610612761,Toronto Raptors,5,2,3,0.4,4.1,0.694,0.306,0.545,0.121,0.182,0.152,0.273,0.061,0.424,0.556,0.444,1.0,0.0,0.636,0.364,4,6,10,10,4,5,12,6,6,11,7,7,10,6,5,11,1,9,3,14,TORONTO RAPTORS
1610612762,Utah Jazz,4,2,2,0.5,2.9,0.563,0.438,0.4,0.08,0.24,0.0,0.36,0.0,0.32,0.4,0.6,1.0,0.0,0.571,0.429,7,6,6,6,10,11,6,12,9,9,13,3,12,11,10,6,1,9,8,9,UTAH JAZZ
1610612764,Washington Wizards,3,1,2,0.333,2.1,0.8,0.2,0.833,0.167,0.0,0.583,0.167,0.167,0.667,0.6,0.4,0.0,0.0,0.6,0.4,11,9,6,11,14,3,14,1,4,14,1,15,3,1,4,12,14,9,5,11,WASHINGTON WIZARDS
