game_id,game_date,away_team,home_team,pf,opp_pf,round,game_no_in_series
41900171,2020-08-18,OKC,HOU,123,108.0,rnd1,1
41900172,2020-08-20,OKC,HOU,111,98.0,rnd1,2
41900173,2020-08-22,HOU,OKC,107,119.0,rnd1,3
41900174,2020-08-24,HOU,OKC,114,117.0,rnd1,4
41900175,2020-08-29,OKC,HOU,114,80.0,rnd1,5
41900176,2020-08-31,HOU,OKC,100,104.0,rnd1,6
41900177,2020-09-02,OKC,HOU,104,102.0,rnd1,7
41900221,2020-09-04,HOU,LAL,112,97.0,sf,1
41900222,2020-09-06,HOU,LAL,109,117.0,sf,2
41900223,2020-09-08,LAL,HOU,102,112.0,sf,3
41900224,2020-09-10,LAL,HOU,100,110.0,sf,4
41900225,2020-09-12,HOU,LAL,96,119.0,sf,5
