season,team_id,team,srs_v1,sos_v1_raw,sos_v1
2022-23,1610612738,BOS,6.38,-0.145,0.238
2022-23,1610612739,CLE,5.23,-0.147,0.237
2022-23,1610612755,PHI,4.37,0.056,0.479
2022-23,1610612749,MIL,3.61,-0.024,0.384
2022-23,1610612763,MEM,3.6,-0.339,0.007
2022-23,1610612743,DEN,3.04,-0.286,0.07
2022-23,1610612752,NYK,2.99,0.06,0.484
2022-23,1610612758,SAC,2.3,-0.345,0.0
2022-23,1610612756,PHX,2.08,0.007,0.42
2022-23,1610612744,GSW,1.66,-0.149,0.234
2022-23,1610612740,NOP,1.63,-0.261,0.1
2022-23,1610612761,TOR,1.59,0.116,0.551
2022-23,1610612741,CHI,1.37,0.074,0.501
2022-23,1610612751,BKN,1.03,0.176,0.624
2022-23,1610612760,OKC,0.96,-0.124,0.264
2022-23,1610612747,LAL,0.43,-0.146,0.237
2022-23,1610612737,ATL,0.32,0.024,0.442
2022-23,1610612746,LAC,0.31,-0.193,0.181
2022-23,1610612748,MIA,-0.13,0.184,0.632
2022-23,1610612742,DAL,-0.14,-0.216,0.154
2022-23,1610612750,MIN,-0.22,-0.182,0.195
2022-23,1610612762,UTA,-1.03,-0.088,0.307
2022-23,1610612764,WAS,-1.06,0.15,0.592
2022-23,1610612753,ORL,-2.39,0.172,0.618
2022-23,1610612754,IND,-2.9,0.278,0.745
2022-23,1610612757,POR,-3.96,0.048,0.47
2022-23,1610612766,CHA,-5.89,0.354,0.836
2022-23,1610612745,HOU,-7.62,0.236,0.695
2022-23,1610612765,DET,-7.73,0.491,1.0
2022-23,1610612759,SAS,-9.82,0.219,0.675
