close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
201145,Jeff Green,1610612746,LAC,F,29.0,6,6,0.457,2.17,6.17,0.351,0.368,-0.017
200755,JJ Redick,1610612746,LAC,G,32.0,6,6,0.537,2.17,6.0,0.361,0.368,-0.007
101108,Chris Paul,1610612746,LAC,G,31.0,4,4,0.632,1.5,6.0,0.25,0.386,-0.136
201933,Blake Griffin,1610612746,LAC,F,27.0,4,4,0.479,1.5,5.75,0.261,0.378,-0.117
203085,Austin Rivers,1610612746,LAC,G,23.0,6,6,0.688,2.33,5.5,0.424,0.394,0.031
201601,Luc Mbah a Moute,1610612746,LAC,F,29.0,5,5,0.537,1.4,4.4,0.318,0.39,-0.071
2037,Jamal Crawford,1610612746,LAC,G,36.0,6,6,0.649,2.0,4.0,0.5,0.389,0.111
203143,Pablo Prigioni,1610612746,LAC,G,39.0,3,3,0.846,1.33,3.67,0.364,0.387,-0.023
1718,Paul Pierce,1610612746,LAC,F,38.0,5,4,0.632,0.4,2.4,0.167,0.342,-0.175
202325,Wesley Johnson,1610612746,LAC,F-G,28.0,6,4,0.5,0.33,2.33,0.143,0.387,-0.244
201599,DeAndre Jordan,1610612746,LAC,C,27.0,6,5,0.226,0.83,2.33,0.357,0.387,-0.03
202332,Cole Aldrich,1610612746,LAC,C,27.0,6,5,0.344,0.33,1.83,0.182,0.369,-0.187
201965,Jeff Ayres,1610612746,LAC,F-C,29.0,1,1,1.0,1.0,1.0,1.0,0.357,0.643
203912,C.J. Wilcox,1610612746,LAC,G,25.0,1,1,0.333,0.0,1.0,0.0,0.382,-0.382
