SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
42019,1610612747,LAL,Los Angeles Lakers,Isolation,Offensive,0.533,21,0.098,0.978,0.461,0.133,0.102,0.124,0.027,0.458,0.508,10.7,10.5,3.9,8.5,4.6
42019,1610612745,HOU,Houston Rockets,Isolation,Offensive,0.667,12,0.164,1.005,0.448,0.132,0.118,0.127,0.019,0.453,0.528,17.7,17.8,6.1,13.6,7.5
42019,1610612748,MIA,Miami Heat,Isolation,Offensive,0.733,21,0.066,1.007,0.436,0.182,0.088,0.155,0.02,0.486,0.45,7.0,7.1,2.3,5.2,3.0
42019,1610612746,LAC,LA Clippers,Isolation,Offensive,0.2,13,0.113,0.919,0.424,0.149,0.093,0.143,0.062,0.435,0.439,12.4,11.4,4.3,10.2,5.8
42019,1610612743,DEN,Denver Nuggets,Isolation,Offensive,0.8,19,0.066,1.068,0.453,0.15,0.068,0.113,0.015,0.496,0.519,7.0,7.5,2.5,5.6,3.1
42019,1610612760,OKC,Oklahoma City Thunder,Isolation,Offensive,0.4,7,0.179,0.943,0.433,0.071,0.099,0.071,0.021,0.418,0.492,20.1,19.0,7.4,17.1,9.7
42019,1610612749,MIL,Milwaukee Bucks,Isolation,Offensive,0.6,10,0.105,0.983,0.455,0.102,0.068,0.093,0.017,0.449,0.5,11.8,11.6,4.5,9.9,5.4
42019,1610612761,TOR,Toronto Raptors,Isolation,Offensive,0.333,11,0.089,0.935,0.412,0.14,0.084,0.121,0.019,0.439,0.465,9.7,9.1,3.2,7.7,4.5
42019,1610612738,BOS,Boston Celtics,Isolation,Offensive,0.067,17,0.082,0.662,0.27,0.119,0.132,0.106,0.013,0.311,0.313,8.9,5.9,1.8,6.8,4.9
42019,1610612754,IND,Indiana Pacers,Isolation,Offensive,1.0,4,0.156,1.215,0.523,0.231,0.108,0.231,0.015,0.569,0.614,16.3,19.8,5.8,11.0,5.3
42019,1610612762,UTA,Utah Jazz,Isolation,Offensive,0.467,7,0.105,0.947,0.406,0.053,0.092,0.066,0.0,0.395,0.5,10.9,10.3,3.7,9.1,5.4
42019,1610612742,DAL,Dallas Mavericks,Isolation,Offensive,0.267,6,0.083,0.929,0.413,0.107,0.089,0.071,0.018,0.429,0.478,9.3,8.7,3.2,7.7,4.5
42019,1610612757,POR,Portland Trail Blazers,Isolation,Offensive,0.0,6,0.11,0.658,0.281,0.092,0.079,0.105,0.026,0.303,0.305,12.7,8.3,3.0,10.7,7.7
42019,1610612755,PHI,Philadelphia 76ers,Isolation,Offensive,0.867,4,0.086,1.132,0.5,0.237,0.026,0.211,0.0,0.605,0.536,9.5,10.8,3.5,7.0,3.5
42019,1610612751,BKN,Brooklyn Nets,Isolation,Offensive,0.933,4,0.052,1.208,0.444,0.292,0.042,0.208,0.083,0.542,0.528,6.0,7.3,2.0,4.5,2.5
42019,1610612753,ORL,Orlando Magic,Isolation,Offensive,0.133,5,0.027,0.733,0.222,0.2,0.2,0.2,0.0,0.333,0.278,3.0,2.2,0.4,1.8,1.4
