season,team_id,game_id,game_date,away_team,home_team,opponent_id,game_no,pf,opp_pf,wl,differential
2015-16,1610612761,21500009,2015-10-28,IND,TOR,1610612754,1,106,99,W,7
2015-16,1610612761,21500024,2015-10-30,TOR,BOS,1610612738,2,113,103,W,10
2015-16,1610612761,21500042,2015-11-01,MIL,TOR,1610612749,3,106,87,W,19
2015-16,1610612761,21500057,2015-11-03,TOR,DAL,1610612742,4,102,91,W,11
2015-16,1610612761,21500066,2015-11-04,TOR,OKC,1610612760,5,103,98,W,5
2015-16,1610612761,21500075,2015-11-06,TOR,ORL,1610612753,6,87,92,L,-5
2015-16,1610612761,21500096,2015-11-08,TOR,MIA,1610612748,7,76,96,L,-20
2015-16,1610612761,21500109,2015-11-10,NYK,TOR,1610612752,8,109,111,L,-2
2015-16,1610612761,21500115,2015-11-11,TOR,PHI,1610612755,9,119,103,W,16
2015-16,1610612761,21500131,2015-11-13,NOP,TOR,1610612740,10,100,81,W,19
2015-16,1610612761,21500150,2015-11-15,TOR,SAC,1610612758,11,101,107,L,-6
2015-16,1610612761,21500164,2015-11-17,TOR,GSW,1610612744,12,110,115,L,-5
2015-16,1610612761,21500173,2015-11-18,TOR,UTA,1610612762,13,89,93,L,-4
2015-16,1610612761,21500188,2015-11-20,TOR,LAL,1610612747,14,102,91,W,11
2015-16,1610612761,21500196,2015-11-22,TOR,LAC,1610612746,15,91,80,W,11
2015-16,1610612761,21500219,2015-11-25,CLE,TOR,1610612739,16,103,99,W,4
2015-16,1610612761,21500239,2015-11-28,TOR,WAS,1610612764,17,84,82,W,2
2015-16,1610612761,21500250,2015-11-29,PHX,TOR,1610612756,18,102,107,L,-5
2015-16,1610612761,21500272,2015-12-02,TOR,ATL,1610612737,19,96,86,W,10
2015-16,1610612761,21500278,2015-12-03,DEN,TOR,1610612743,20,105,106,L,-1
2015-16,1610612761,21500290,2015-12-05,GSW,TOR,1610612744,21,109,112,L,-3
2015-16,1610612761,21500308,2015-12-07,LAL,TOR,1610612747,22,102,93,W,9
2015-16,1610612761,21500323,2015-12-09,SAS,TOR,1610612759,23,97,94,W,3
2015-16,1610612761,21500337,2015-12-11,MIL,TOR,1610612749,24,90,83,W,7
2015-16,1610612761,21500355,2015-12-13,PHI,TOR,1610612755,25,96,76,W,20
2015-16,1610612761,21500357,2015-12-14,TOR,IND,1610612754,26,90,106,L,-16
2015-16,1610612761,21500383,2015-12-17,TOR,CHA,1610612766,27,99,109,L,-10
2015-16,1610612761,21500390,2015-12-18,TOR,MIA,1610612748,28,108,94,W,14
2015-16,1610612761,21500408,2015-12-20,SAC,TOR,1610612758,29,94,104,L,-10
2015-16,1610612761,21500421,2015-12-22,DAL,TOR,1610612742,30,103,99,W,4
2015-16,1610612761,21500441,2015-12-26,TOR,MIL,1610612749,31,111,90,W,21
2015-16,1610612761,21500463,2015-12-28,TOR,CHI,1610612741,32,97,104,L,-7
2015-16,1610612761,21500477,2015-12-30,WAS,TOR,1610612764,33,94,91,W,3
2015-16,1610612761,21500492,2016-01-01,CHA,TOR,1610612766,34,104,94,W,10
2015-16,1610612761,21500507,2016-01-03,CHI,TOR,1610612741,35,113,115,L,-2
2015-16,1610612761,21500511,2016-01-04,TOR,CLE,1610612739,36,100,122,L,-22
2015-16,1610612761,21500529,2016-01-06,TOR,BKN,1610612751,37,91,74,W,17
2015-16,1610612761,21500540,2016-01-08,TOR,WAS,1610612764,38,97,88,W,9
2015-16,1610612761,21500554,2016-01-09,TOR,PHI,1610612755,39,108,95,W,13
