season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2015-16,1610612761,41500111,2016-04-16,IND,TOR,1610612754,90,100,L,-10,rnd1,1
2015-16,1610612761,41500112,2016-04-18,IND,TOR,1610612754,98,87,W,11,rnd1,2
2015-16,1610612761,41500113,2016-04-21,TOR,IND,1610612754,101,85,W,16,rnd1,3
2015-16,1610612761,41500114,2016-04-23,TOR,IND,1610612754,83,100,L,-17,rnd1,4
2015-16,1610612761,41500115,2016-04-26,IND,TOR,1610612754,102,99,W,3,rnd1,5
2015-16,1610612761,41500116,2016-04-29,TOR,IND,1610612754,83,101,L,-18,rnd1,6
2015-16,1610612761,41500117,2016-05-01,IND,TOR,1610612754,89,84,W,5,rnd1,7
2015-16,1610612761,41500211,2016-05-03,MIA,TOR,1610612748,96,102,L,-6,sf,1
2015-16,1610612761,41500212,2016-05-05,MIA,TOR,1610612748,96,92,W,4,sf,2
2015-16,1610612761,41500213,2016-05-07,TOR,MIA,1610612748,95,91,W,4,sf,3
2015-16,1610612761,41500214,2016-05-09,TOR,MIA,1610612748,87,94,L,-7,sf,4
2015-16,1610612761,41500215,2016-05-11,MIA,TOR,1610612748,99,91,W,8,sf,5
2015-16,1610612761,41500216,2016-05-13,TOR,MIA,1610612748,91,103,L,-12,sf,6
2015-16,1610612761,41500217,2016-05-15,MIA,TOR,1610612748,116,89,W,27,sf,7
2015-16,1610612761,41500301,2016-05-17,TOR,CLE,1610612739,84,115,L,-31,conf,1
2015-16,1610612761,41500302,2016-05-19,TOR,CLE,1610612739,89,108,L,-19,conf,2
2015-16,1610612761,41500303,2016-05-21,CLE,TOR,1610612739,99,84,W,15,conf,3
2015-16,1610612761,41500304,2016-05-23,CLE,TOR,1610612739,105,99,W,6,conf,4
2015-16,1610612761,41500305,2016-05-25,TOR,CLE,1610612739,78,116,L,-38,conf,5
2015-16,1610612761,41500306,2016-05-27,CLE,TOR,1610612739,87,113,L,-26,conf,6
