player,team,number,position,height,weight,last_attended,country,profile_url,is_active,is_free_agent,is_retired,headshot_url,birthdate,experience,legacy,draft_year,draft_round,draft_pick,draft_status,player_id
Jose Alvarado,NOP,15,Guard,72.0,179.0,Georgia Tech,USA,https://www.nba.com/player/1630631/jose-alvarado,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,3.0,False,0.0,0.0,0.0,UDF,alvarjo01
Brandon Boston,NOP,11,Guard,78.0,188.0,Kentucky,USA,https://www.nba.com/player/1630527/brandon-boston-jr,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,3.0,False,2021.0,2.0,51.0,Drafted,bostobr01
Keion Brooks Jr.,NOP,,Forward,79.0,210.0,Washington,USA,https://www.nba.com/player/1631232/keion-brooks-jr,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,0.0,0.0,0.0,UDF,jr.ke0100
Bruce Brown,NOP,00,Guard-Forward,76.0,202.0,Miami,USA,https://www.nba.com/player/1628971/bruce-brown,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,6.0,False,2018.0,2.0,42.0,Drafted,brownbr01
Jamal Cain,NOP,8,Forward,78.0,191.0,Oakland,USA,https://www.nba.com/player/1631288/jamal-cain,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,2.0,False,0.0,0.0,0.0,UDF,cainja010
Jordan Hawkins,NOP,24,Guard,77.0,190.0,Connecticut,USA,https://www.nba.com/player/1641722/jordan-hawkins,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,1.0,False,2023.0,1.0,14.0,Drafted,hawkijo01
Herbert Jones,NOP,2,Forward,79.0,206.0,Alabama,USA,https://www.nba.com/player/1630529/herbert-jones,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,3.0,False,2021.0,2.0,35.0,Drafted,joneshe01
Karlo Matković,NOP,17,Forward-Center,82.0,231.0,Mega Basket,Bosnia and Herzegovina,https://www.nba.com/player/1631255/karlo-matkovic,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,2022.0,2.0,52.0,Drafted,matkoka01
CJ McCollum,NOP,3,Guard,75.0,190.0,Lehigh,USA,https://www.nba.com/player/203468/cj-mccollum,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,11.0,False,2013.0,1.0,10.0,Drafted,mccolcj01
Yves Missi,NOP,21,Center,83.0,235.0,Baylor,Cameroon,https://www.nba.com/player/1642274/tmp-yves-missi,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,2024.0,1.0,21.0,Drafted,missiyv01
Trey Murphy III,NOP,25,Forward,80.0,206.0,Virginia,USA,https://www.nba.com/player/1630530/trey-murphy-iii,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,3.0,False,2021.0,1.0,17.0,Drafted,iiitr0100
Dejounte Murray,NOP,5,Guard,76.0,180.0,Washington,USA,https://www.nba.com/player/1627749/dejounte-murray,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,7.0,False,2016.0,1.0,29.0,Drafted,murrade01
Kelly Olynyk,NOP,13,Forward-Center,83.0,240.0,Gonzaga,Canada,https://www.nba.com/player/203482/kelly-olynyk,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,11.0,False,2013.0,1.0,13.0,Drafted,olynyke01
Elfrid Payton,NOP,4,Guard,75.0,195.0,Louisana-Lafayette,USA,https://www.nba.com/player/203901/elfrid-payton,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,8.0,False,2014.0,1.0,10.0,Drafted,paytoel01
Lester Quinones,NOP,22,Guard,76.0,208.0,Memphis,USA,https://www.nba.com/player/1631311/lester-quinones,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1631311.png,1980-01-01,2.0,False,0.0,0.0,0.0,UDF,quinole01
Antonio Reeves,NOP,12,Guard,77.0,205.0,Kentucky,USA,https://www.nba.com/player/1641810/antonio-reeves,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1641810.png,1980-01-01,,False,2024.0,2.0,47.0,Drafted,reevean01
Jeremiah Robinson-Earl,NOP,50,Forward,80.0,240.0,Villanova,USA,https://www.nba.com/player/1630526/jeremiah-robinson-earl,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630526.png,1980-01-01,3.0,False,2021.0,2.0,32.0,Drafted,robinje01
Zion Williamson,NOP,1,Forward,78.0,284.0,Duke,USA,https://www.nba.com/player/1629627/zion-williamson,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1629627.png,1980-01-01,4.0,False,2019.0,1.0,1.0,Drafted,willizi01
