season,team_id,team,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,available_flag,season_start,season_end,is_home,home,away
2024-25,1610612747,LAL,Los Angeles Lakers,22400859,2025-02-28,LAL vs. LAC,W,48.0,112.0,110.4,102.8,106.3,9.2,4.2,0.487,1.27,15.1,0.262,0.6,0.446,0.156,0.556,0.591,97.0,96.0,80.0,96,0.545,1,1,1,1,121,1516,638,994,2306,2093,2172,1578,2267,2115,1588,1037,1029,1859,761,1,2024,2025,True,LAL,LAC
2024-25,1610612746,LAC,LA Clippers,22400859,2025-02-28,LAC @ LAL,L,48.0,102.8,106.3,112.0,110.4,-9.2,-4.2,0.641,1.39,17.7,0.4,0.738,0.554,0.188,0.5,0.53,97.0,96.0,80.0,96,0.455,1,1231,1231,1231,121,1816,935,1466,1202,1950,1539,178,870,344,2136,1818,1907,1859,1700,1,2024,2025,False,LAL,LAC
2024-25,1610612740,NOP,New Orleans Pelicans,22400857,2025-02-28,NOP @ PHX,L,48.0,113.0,114.9,129.2,133.0,-16.3,-18.1,0.636,1.87,20.4,0.348,0.706,0.5,0.16,0.569,0.577,96.2,94.0,78.33,94,0.432,1,1231,1231,1231,121,1127,2341,2164,1246,1250,709,556,1300,1179,1657,847,1257,2161,1943,1,2024,2025,False,PHX,NOP
2024-25,1610612757,POR,Portland Trail Blazers,22400853,2025-02-28,POR @ BKN,W,48.0,117.6,121.0,103.2,101.0,14.5,20.0,0.689,1.41,21.5,0.333,0.585,0.478,0.22,0.673,0.673,100.9,100.5,83.75,100,0.607,1,1,1,1,121,646,349,249,726,1924,444,661,2332,1642,2375,66,150,999,232,1,2024,2025,False,BKN,POR
2024-25,1610612761,TOR,Toronto Raptors,22400855,2025-02-28,TOR @ CHI,L,53.0,102.0,103.6,106.8,113.6,-4.9,-10.0,0.698,1.76,18.8,0.344,0.696,0.513,0.153,0.481,0.514,104.1,100.08,83.4,111,0.433,1,1231,1231,1231,9,1991,1211,1821,648,1421,1210,601,1414,985,1537,2037,2067,1069,1941,1,2024,2025,False,CHI,TOR
2024-25,1610612754,IND,Indiana Pacers,22400854,2025-02-28,IND @ MIA,L,48.0,129.7,129.0,134.8,134.4,-5.1,-5.4,0.745,3.5,25.2,0.268,0.611,0.429,0.108,0.653,0.656,92.6,93.0,77.5,93,0.479,1,1231,1231,1231,121,235,2371,1543,283,133,36,1485,2207,2262,460,125,252,2247,1442,1,2024,2025,False,MIA,IND
2024-25,1610612738,BOS,Boston Celtics,22400852,2025-02-28,BOS vs. CLE,L,48.0,124.1,124.7,127.6,130.9,-3.6,-6.1,0.465,1.82,15.6,0.313,0.608,0.465,0.118,0.579,0.601,94.9,93.5,77.92,93,0.457,1,1231,1231,1231,121,438,2280,1596,2355,1334,2088,944,2227,1850,688,728,847,2211,1675,1,2024,2025,True,BOS,CLE
2024-25,1610612762,UTA,Utah Jazz,22400858,2025-02-28,UTA vs. MIN,W,48.0,113.4,114.7,112.4,114.9,1.0,-0.1,0.745,1.75,22.6,0.375,0.767,0.593,0.196,0.587,0.596,103.2,101.5,84.58,102,0.51,1,1,1,1,121,1145,1323,1236,283,1434,278,336,545,81,2237,633,933,815,1129,1,2024,2025,True,UTA,MIN
2024-25,1610612737,ATL,Atlanta Hawks,22400851,2025-02-28,ATL vs. OKC,L,48.0,111.1,110.2,123.5,125.0,-12.4,-14.8,0.628,1.42,18.6,0.217,0.74,0.49,0.176,0.574,0.606,108.2,108.0,90.0,108,0.452,1,1231,1231,1231,121,1541,2034,2059,1350,1895,1255,2077,832,1434,1970,788,770,95,1742,1,2024,2025,True,ATL,OKC
2024-25,1610612750,MIN,Minnesota Timberwolves,22400858,2025-02-28,MIN @ UTA,L,48.0,112.4,114.9,113.4,114.7,-1.0,0.1,0.795,5.0,23.5,0.233,0.625,0.407,0.069,0.535,0.541,103.2,101.5,84.58,101,0.49,1,1231,1231,1231,121,1131,1305,1225,87,18,157,1913,2111,2379,47,1361,1775,815,1331,1,2024,2025,False,UTA,MIN
