season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2017-18,1610612762,41700171,2018-04-15,UTA,OKC,OKC,1610612760,108,116,L,-8,rnd1,1
2017-18,1610612762,41700172,2018-04-18,UTA,OKC,OKC,1610612760,102,95,W,7,rnd1,2
2017-18,1610612762,41700173,2018-04-21,OKC,UTA,OKC,1610612760,115,102,W,13,rnd1,3
2017-18,1610612762,41700174,2018-04-23,OKC,UTA,OKC,1610612760,113,96,W,17,rnd1,4
2017-18,1610612762,41700175,2018-04-25,UTA,OKC,OKC,1610612760,99,107,L,-8,rnd1,5
2017-18,1610612762,41700176,2018-04-27,OKC,UTA,OKC,1610612760,96,91,W,5,rnd1,6
2017-18,1610612762,41700221,2018-04-29,UTA,HOU,HOU,1610612745,96,110,L,-14,sf,1
2017-18,1610612762,41700222,2018-05-02,UTA,HOU,HOU,1610612745,116,108,W,8,sf,2
2017-18,1610612762,41700223,2018-05-04,HOU,UTA,HOU,1610612745,92,113,L,-21,sf,3
2017-18,1610612762,41700224,2018-05-06,HOU,UTA,HOU,1610612745,87,100,L,-13,sf,4
2017-18,1610612762,41700225,2018-05-08,UTA,HOU,HOU,1610612745,102,112,L,-10,sf,5
