group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank,team
Players,202335,Patrick Patterson,Patrick,1610612746,LAC,32.0,2,0,2,0.0,3.3,90.9,83.3,83.3,124.6,154.5,154.5,-33.7,-71.2,-71.2,0.0,0.0,0.0,0.143,0.0,0.059,33.3,33.3,1.0,1.0,0.2,0.231,88.48,82.59,68.83,82.59,0.229,12,2,2,1.0,1.0,1.0,386,405,79,405,127,374,385,385,347,436,436,386,424,424,291,219,291,19,360,271,438,439,9,14,119,97,433,447,447,24,245,323,24,131,1,LAC
Players,200765,Rajon Rondo,Rajon,1610612746,LAC,35.0,4,1,3,0.25,1.7,94.9,93.3,93.3,124.3,111.8,111.8,-29.5,-18.4,-18.4,0.25,0.0,50.0,0.0,0.2,0.067,0.0,0.0,1.0,1.0,0.048,0.051,106.21,113.14,94.28,113.14,0.222,15,1,1,0.3,0.3,1.0,344,351,109,373,343,352,336,336,345,277,277,379,345,345,48,219,8,263,73,244,1,1,9,14,401,403,124,117,117,26,284,356,232,352,1,LAC
Players,202326,DeMarcus Cousins,DeMarcus,1610612746,LAC,30.0,4,1,3,0.25,1.6,96.2,86.7,86.7,82.7,76.5,76.5,13.5,10.2,10.2,0.0,0.0,0.0,0.0,0.333,0.188,20.0,20.0,0.0,0.0,0.333,0.37,112.97,123.64,103.03,123.64,-0.45,15,0,4,0.0,1.0,0.0,344,351,109,373,360,344,376,376,31,26,26,110,120,120,291,219,291,263,11,24,406,407,355,368,31,27,64,57,57,449,355,269,355,131,355,LAC
Players,202331,Paul George,Paul,1610612746,LAC,31.0,23,12,11,0.522,2.3,130.2,123.1,123.1,112.0,116.7,116.7,18.2,6.5,6.5,0.25,1.75,14.9,0.08,0.095,0.088,8.5,8.6,0.379,0.52,0.32,0.341,99.63,100.14,83.45,100.14,0.113,108,9,29,0.4,1.3,0.31,104,93,332,172,278,55,58,58,222,329,329,78,156,156,48,84,153,70,264,176,283,285,293,240,39,36,295,360,360,150,101,71,162,103,302,LAC
Players,201587,Nicolas Batum,Nicolas,1610612746,LAC,32.0,30,14,16,0.467,2.1,108.8,100.7,100.7,121.8,119.6,119.6,-13.0,-18.9,-18.9,0.057,2.0,11.8,0.014,0.096,0.055,5.9,5.4,0.583,0.677,0.088,0.107,110.43,115.71,96.42,115.71,0.053,149,5,12,0.2,0.4,0.417,38,64,410,230,301,228,259,259,330,363,363,311,348,348,243,57,201,240,262,288,236,228,132,111,338,316,76,97,97,283,174,165,295,300,215,LAC
Players,202704,Reggie Jackson,Reggie,1610612746,LAC,31.0,19,6,13,0.316,1.8,117.4,102.5,102.5,114.8,110.8,110.8,2.6,-8.2,-8.2,0.176,3.0,16.7,0.0,0.133,0.08,5.6,5.6,0.833,0.836,0.17,0.192,111.11,120.38,100.32,120.38,0.145,79,8,12,0.4,0.6,0.667,152,214,369,353,330,135,238,238,262,265,265,182,272,272,96,28,124,263,182,198,228,232,43,40,159,148,73,75,75,93,112,165,152,237,53,LAC
Players,202694,Marcus Morris Sr.,Marcus,1610612746,LAC,31.0,20,11,9,0.55,2.4,131.0,122.0,122.0,116.2,117.0,117.0,14.8,5.1,5.1,0.031,1.0,9.1,0.045,0.081,0.066,9.1,9.2,1.0,1.014,0.08,0.087,105.34,108.62,90.52,108.62,0.078,109,6,8,0.3,0.4,0.75,137,114,289,146,261,50,63,63,276,339,339,98,163,163,276,125,233,148,287,250,289,290,9,13,359,357,153,173,173,219,149,207,211,300,40,LAC
Players,1628379,Luke Kennard,Luke,1610612746,LAC,25.0,16,8,8,0.5,1.3,137.2,128.9,128.9,111.6,104.2,104.2,25.6,24.7,24.7,0.111,2.0,20.0,0.0,0.133,0.087,10.0,10.0,0.5,0.5,0.157,0.177,103.05,110.06,91.72,110.06,0.041,45,3,7,0.2,0.4,0.429,187,171,264,176,386,32,42,42,212,182,182,57,55,55,146,57,89,263,182,178,305,305,179,261,187,170,212,155,155,305,213,217,288,293,206,LAC
Players,1630187,Daniel Oturu,Daniel,1610612746,LAC,21.0,1,0,1,0.0,5.1,88.9,88.9,88.9,116.3,133.3,133.3,-27.4,-44.4,-44.4,0.333,0.0,25.0,0.0,0.143,0.071,0.0,0.0,0.333,0.333,0.25,0.273,91.82,85.54,71.29,85.54,0.154,9,1,3,1.0,3.0,0.333,406,405,25,405,8,379,361,361,278,406,406,369,401,401,23,219,56,263,155,229,1,1,317,347,72,70,418,443,443,83,284,295,24,7,273,LAC
Players,1627812,Yogi Ferrell,Yogi,1610612746,LAC,28.0,2,1,1,0.5,2.7,118.2,118.2,118.2,125.0,127.3,127.3,-6.8,-9.1,-9.1,0.333,0.0,40.0,0.0,0.143,0.071,0.0,0.0,0.0,0.0,0.214,0.231,98.97,98.08,81.73,98.08,-0.045,11,0,3,0.0,1.5,0.0,386,351,25,176,225,123,85,85,349,391,391,264,276,276,23,219,16,263,155,229,1,1,355,368,104,97,315,395,395,409,355,295,355,73,355,LAC
Players,202695,Kawhi Leonard,Kawhi,1610612746,LAC,30.0,21,8,13,0.381,2.7,119.2,111.9,111.9,126.9,126.2,126.2,-7.7,-14.2,-14.2,0.231,0.75,10.5,0.085,0.222,0.156,14.0,13.9,0.343,0.473,0.362,0.397,105.46,109.06,90.88,109.06,0.12,126,11,35,0.5,1.7,0.314,133,171,369,312,228,114,144,144,361,389,389,273,329,329,61,172,213,63,51,44,372,369,315,292,23,16,151,168,168,130,86,58,102,62,301,LAC
Players,1630206,Jay Scrubb,Jay,1610612746,LAC,20.0,1,0,1,0.0,5.1,88.9,88.9,88.9,116.3,133.3,133.3,-27.4,-44.4,-44.4,0.25,0.0,100.0,0.143,0.286,0.214,0.0,0.0,0.0,0.0,0.0,0.0,91.82,85.54,71.29,85.54,0.192,9,0,0,0.0,0.0,0.0,406,405,25,405,8,379,361,361,278,406,406,369,401,401,48,219,1,19,22,17,1,1,355,368,409,409,418,443,443,46,355,401,355,401,355,LAC
Players,1629599,Amir Coffey,Amir,1610612746,LAC,24.0,3,3,0,1.0,1.0,165.0,162.5,162.5,76.1,58.3,58.3,88.9,104.2,104.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.64,162.34,135.29,162.35,-0.16,8,0,0,0.0,0.0,0.0,363,284,1,1,406,13,10,10,22,15,15,4,5,5,291,219,291,263,360,374,1,1,355,368,409,409,15,18,18,435,355,401,355,401,355,LAC
Players,201976,Patrick Beverley,Patrick,1610612746,LAC,32.0,12,5,7,0.417,2.0,128.2,110.2,110.2,123.3,128.1,128.1,4.9,-17.9,-17.9,0.182,2.0,22.2,0.0,0.031,0.019,11.1,11.7,0.75,0.815,0.125,0.138,100.38,105.02,87.51,105.02,0.021,49,1,2,0.1,0.2,0.5,235,237,238,277,308,66,168,168,341,396,396,164,342,342,92,57,76,263,355,368,328,342,53,46,253,246,279,255,255,332,284,323,338,381,117,LAC
