season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2022-23,1610612756,42200171,2023-04-16,LAC,PHX,LAC,1610612746,110,115,L,-5,rnd1,1
2022-23,1610612756,42200172,2023-04-18,LAC,PHX,LAC,1610612746,123,109,W,14,rnd1,2
2022-23,1610612756,42200173,2023-04-20,PHX,LAC,LAC,1610612746,129,124,W,5,rnd1,3
2022-23,1610612756,42200174,2023-04-22,PHX,LAC,LAC,1610612746,112,100,W,12,rnd1,4
2022-23,1610612756,42200175,2023-04-25,LAC,PHX,LAC,1610612746,136,130,W,6,rnd1,5
2022-23,1610612756,42200221,2023-04-29,PHX,DEN,DEN,1610612743,107,125,L,-18,sf,1
2022-23,1610612756,42200222,2023-05-01,PHX,DEN,DEN,1610612743,87,97,L,-10,sf,2
2022-23,1610612756,42200223,2023-05-05,DEN,PHX,DEN,1610612743,121,114,W,7,sf,3
2022-23,1610612756,42200224,2023-05-07,DEN,PHX,DEN,1610612743,129,124,W,5,sf,4
2022-23,1610612756,42200225,2023-05-09,PHX,DEN,DEN,1610612743,102,118,L,-16,sf,5
2022-23,1610612756,42200226,2023-05-11,DEN,PHX,DEN,1610612743,100,125,L,-25,sf,6
