season,team,team_id,sos_v1,win_pct
2015-16,ATL,1610612737,0.0,0.585
2015-16,BOS,1610612738,0.0,0.585
2015-16,CLE,1610612739,0.0,0.695
2015-16,NOP,1610612740,0.0,0.366
2015-16,CHI,1610612741,0.0,0.512
2015-16,DAL,1610612742,0.0,0.512
2015-16,DEN,1610612743,0.0,0.402
2015-16,GSW,1610612744,0.0,0.89
2015-16,HOU,1610612745,0.0,0.5
2015-16,LAC,1610612746,0.0,0.646
2015-16,LAL,1610612747,0.0,0.207
2015-16,MIA,1610612748,0.0,0.585
2015-16,MIL,1610612749,0.0,0.402
2015-16,MIN,1610612750,0.0,0.354
2015-16,BKN,1610612751,0.0,0.256
2015-16,NYK,1610612752,0.0,0.39
2015-16,ORL,1610612753,0.0,0.427
2015-16,IND,1610612754,0.0,0.549
2015-16,PHI,1610612755,0.0,0.122
2015-16,PHX,1610612756,0.0,0.28
2015-16,POR,1610612757,0.0,0.537
2015-16,SAC,1610612758,0.0,0.402
2015-16,SAS,1610612759,0.0,0.817
2015-16,OKC,1610612760,0.0,0.671
2015-16,TOR,1610612761,0.0,0.683
2015-16,UTA,1610612762,0.0,0.488
2015-16,MEM,1610612763,0.0,0.512
2015-16,WAS,1610612764,0.0,0.5
2015-16,DET,1610612765,0.0,0.537
2015-16,CHA,1610612766,0.0,0.585
