season,team_id,team,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,available_flag,season_start,season_end,is_home,home,away
2019-20,1610612748,MIA,Miami Heat,41900401,2020-09-30,MIA @ LAL,L,48.0,99.8,101.0,117.3,118.4,-17.5,-17.3,0.605,2.88,18.3,0.132,0.696,0.394,0.082,0.489,0.515,98.5,97.5,81.25,97,0.405,1,84,84,84,13,134,132,152,72,11,55,160,130,164,8,126,142,85,150,1,2019,2020,False,LAL,MIA
2019-20,1610612747,LAL,Los Angeles Lakers,41900401,2020-09-30,LAL vs. MIA,W,48.0,117.3,118.4,99.8,101.0,17.5,17.3,0.684,2.17,19.0,0.304,0.868,0.606,0.122,0.542,0.605,98.5,97.5,81.25,98,0.595,1,1,1,1,13,34,33,15,29,37,42,35,7,3,57,75,47,85,17,1,2019,2020,True,LAL,MIA
2019-20,1610612748,MIA,Miami Heat,41900306,2020-09-27,MIA vs. BOS,W,48.0,123.2,123.8,110.1,111.9,13.1,11.9,0.667,2.5,22.1,0.139,0.724,0.5,0.119,0.644,0.684,102.0,101.0,84.17,101,0.597,1,1,1,1,13,18,88,32,37,19,10,159,116,79,48,8,5,39,16,1,2019,2020,True,MIA,BOS
2019-20,1610612738,BOS,Boston Celtics,41900306,2020-09-27,BOS @ MIA,L,48.0,110.1,111.9,123.2,123.8,-13.1,-11.9,0.605,2.6,18.2,0.276,0.861,0.5,0.099,0.51,0.535,102.0,101.0,84.17,101,0.403,1,84,84,84,13,78,149,135,77,17,56,51,8,79,19,115,127,39,151,1,2019,2020,False,MIA,BOS
2019-20,1610612743,DEN,Denver Nuggets,41900315,2020-09-26,DEN @ LAL,L,48.0,103.4,107.0,118.5,118.2,-15.0,-11.2,0.605,2.09,16.8,0.259,0.842,0.5,0.11,0.467,0.527,101.1,99.5,82.92,100,0.407,1,84,84,84,13,103,130,131,72,41,95,73,17,79,34,144,134,63,147,1,2019,2020,False,LAL,DEN
2019-20,1610612747,LAL,Los Angeles Lakers,41900315,2020-09-26,LAL vs. DEN,W,48.0,118.5,118.2,103.4,107.0,15.0,11.2,0.571,1.71,18.6,0.158,0.741,0.5,0.141,0.604,0.652,101.1,99.5,82.92,99,0.593,1,1,1,1,13,36,63,36,100,74,50,150,93,79,87,21,17,63,20,1,2019,2020,True,LAL,DEN
2019-20,1610612738,BOS,Boston Celtics,41900305,2020-09-25,BOS vs. MIA,W,48.0,116.6,118.6,102.1,108.0,14.5,10.6,0.69,2.64,19.7,0.34,0.8,0.563,0.108,0.516,0.572,104.8,101.0,84.17,102,0.585,1,1,1,1,13,33,67,40,27,16,29,19,37,18,29,111,89,39,26,1,2019,2020,True,BOS,MIA
2019-20,1610612748,MIA,Miami Heat,41900305,2020-09-25,MIA @ BOS,L,48.0,102.1,108.0,116.6,118.6,-14.5,-10.6,0.692,2.08,19.7,0.2,0.66,0.437,0.13,0.494,0.547,104.8,101.0,84.17,100,0.415,1,84,84,84,13,100,134,127,26,45,30,127,147,149,68,124,115,39,141,1,2019,2020,False,BOS,MIA
2019-20,1610612747,LAL,Los Angeles Lakers,41900314,2020-09-24,LAL @ DEN,W,48.0,120.8,125.3,117.2,120.0,3.5,5.3,0.605,2.09,17.3,0.404,0.75,0.563,0.121,0.538,0.597,93.3,90.5,75.42,91,0.532,1,1,1,1,13,16,140,67,72,41,82,4,87,17,53,84,61,159,62,1,2019,2020,False,DEN,LAL
2019-20,1610612743,DEN,Denver Nuggets,41900314,2020-09-24,DEN vs. LAL,L,48.0,117.2,120.0,120.8,125.3,-3.5,-5.3,0.564,2.0,18.0,0.25,0.596,0.437,0.122,0.571,0.62,93.3,90.5,75.42,90,0.468,1,84,84,84,13,27,150,100,103,47,62,76,163,150,56,44,33,159,105,1,2019,2020,True,DEN,LAL
