season,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,available_flag,season_start,season_end,is_home,home,away
2019-20,1610612748,MIA,Miami Heat,41900401,2020-09-30,MIA @ LAL,L,48.0,38,89,0.427,11,35,0.314,11,14,0.786,5,31,36,23,8.0,4,5,8,15,19,98,-18.0,1,84,84,84,13,83,46,120,104,86,125,148,149,87,140,114,145,66,7,137,43,155,7,120,139,152,1,2019,2020,False,LAL,MIA
2019-20,1610612747,LAL,Los Angeles Lakers,41900401,2020-09-30,LAL vs. MIA,W,48.0,38,84,0.452,15,38,0.395,25,27,0.926,9,45,54,26,12.0,7,8,5,19,15,116,18.0,1,1,1,1,13,83,87,87,45,57,47,21,49,10,62,5,12,34,44,73,4,96,31,156,45,14,1,2019,2020,True,LAL,MIA
2019-20,1610612738,BOS,Boston Celtics,41900306,2020-09-27,BOS @ MIA,L,48.0,43,99,0.434,15,46,0.326,12,15,0.8,13,29,42,26,10.0,7,2,2,21,13,113,-12.0,1,84,84,84,13,32,7,114,45,17,116,139,147,75,17,132,84,34,18,73,133,10,63,164,63,131,1,2019,2020,False,MIA,BOS
2019-20,1610612748,MIA,Miami Heat,41900306,2020-09-27,MIA vs. BOS,W,48.0,45,80,0.563,13,27,0.481,22,26,0.846,2,38,40,30,12.0,6,2,2,13,21,125,12.0,1,1,1,1,13,15,122,6,72,147,11,42,61,49,165,39,119,11,44,98,133,10,3,88,15,30,1,2019,2020,True,MIA,BOS
2019-20,1610612747,LAL,Los Angeles Lakers,41900315,2020-09-26,LAL vs. DEN,W,48.0,42,77,0.545,9,24,0.375,24,29,0.828,5,38,43,24,14.0,6,8,2,26,25,117,10.0,1,1,1,1,13,42,141,13,135,162,64,28,32,59,140,39,75,58,78,98,4,10,137,31,38,41,1,2019,2020,True,LAL,DEN
2019-20,1610612743,DEN,Denver Nuggets,41900315,2020-09-26,DEN @ LAL,L,48.0,38,90,0.422,8,30,0.267,23,26,0.885,9,27,36,23,11.0,5,2,8,25,26,107,-10.0,1,84,84,84,13,83,36,124,150,128,147,32,61,33,62,147,145,66,28,120,133,155,127,17,94,121,1,2019,2020,False,LAL,DEN
2019-20,1610612748,MIA,Miami Heat,41900305,2020-09-25,MIA @ BOS,L,48.0,39,86,0.453,7,36,0.194,23,29,0.793,6,32,38,27,13.0,3,5,4,29,23,108,-13.0,1,84,84,84,13,66,72,84,159,77,164,32,32,83,124,101,128,23,64,150,43,63,160,57,89,138,1,2019,2020,False,BOS,MIA
2019-20,1610612738,BOS,Boston Celtics,41900305,2020-09-25,BOS vs. MIA,W,48.0,42,93,0.452,12,38,0.316,25,29,0.862,13,37,50,29,11.0,7,4,5,23,29,121,13.0,1,1,1,1,13,42,19,90,87,57,123,21,32,42,17,50,21,14,28,73,72,96,94,3,28,25,1,2019,2020,True,BOS,MIA
2019-20,1610612743,DEN,Denver Nuggets,41900314,2020-09-24,DEN vs. LAL,L,48.0,39,77,0.506,10,28,0.357,20,23,0.87,6,27,33,22,11.0,4,3,2,28,25,108,-6.0,1,84,84,84,13,66,141,26,122,141,80,67,85,39,124,147,159,85,28,137,105,10,154,31,89,103,1,2019,2020,True,DEN,LAL
2019-20,1610612747,LAL,Los Angeles Lakers,41900314,2020-09-24,LAL @ DEN,W,48.0,38,80,0.475,10,30,0.333,28,35,0.8,12,29,41,23,11.0,9,2,3,25,28,114,6.0,1,1,1,1,13,83,122,57,122,128,107,11,10,75,23,132,93,66,28,31,133,35,127,8,54,61,1,2019,2020,False,DEN,LAL
