season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away,MON
2022-23,1610612738,BOS,Boston Celtics,22201216,2023-04-09,BOS vs. ATL,W,48.0,12.0,20.0,4.0,30.0,21.0,24.0,23.0,60.0,0,0,0,0,159,1836,313,2339,2402,1783,2330,2216,1945,1,2022,2023,True,BOS,ATL,APR
2022-23,1610612738,BOS,Boston Celtics,22201206,2023-04-07,BOS vs. TOR,W,48.0,13.0,17.0,17.0,56.0,21.0,8.0,15.0,56.0,0,0,0,0,159,1692,595,670,642,1783,350,1396,1660,1,2022,2023,True,BOS,TOR,APR
2022-23,1610612738,BOS,Boston Celtics,22201192,2023-04-05,BOS vs. TOR,W,48.0,8.0,15.0,17.0,50.0,21.0,21.0,20.0,52.0,0,0,0,0,159,2278,883,670,1168,1783,2149,2003,1294,1,2022,2023,True,BOS,TOR,APR
2022-23,1610612738,BOS,Boston Celtics,22201181,2023-04-04,BOS @ PHI,L,48.0,13.0,21.0,15.0,44.0,4.0,7.0,0.0,44.0,0,0,0,0,159,1692,233,927,1702,13,262,1,603,1,2022,2023,False,PHI,BOS,APR
2022-23,1610612738,BOS,Boston Celtics,22201152,2023-03-31,BOS vs. UTA,W,48.0,19.0,21.0,10.0,46.0,15.0,15.0,20.0,68.0,0,0,0,0,159,802,233,1694,1531,924,1435,2003,2306,1,2022,2023,True,BOS,UTA,MAR
2022-23,1610612738,BOS,Boston Celtics,22201146,2023-03-30,BOS @ MIL,W,48.0,14.0,8.0,12.0,54.0,9.0,17.0,8.0,36.0,0,0,0,0,159,1538,1967,1373,802,184,1720,377,165,1,2022,2023,False,MIL,BOS,MAR
2022-23,1610612738,BOS,Boston Celtics,22201130,2023-03-28,BOS @ WAS,L,48.0,10.0,10.0,11.0,64.0,16.0,14.0,19.0,62.0,0,0,0,0,159,2086,1696,1535,215,1057,1259,1897,2055,1,2022,2023,False,WAS,BOS,MAR
2022-23,1610612738,BOS,Boston Celtics,22201116,2023-03-26,BOS vs. SAS,W,48.0,22.0,12.0,29.0,62.0,12.0,4.0,8.0,46.0,0,0,0,0,159,445,1346,33,300,485,50,377,760,1,2022,2023,True,BOS,SAS,MAR
2022-23,1610612738,BOS,Boston Celtics,22201097,2023-03-24,BOS vs. IND,W,48.0,21.0,13.0,16.0,48.0,12.0,5.0,8.0,56.0,0,0,0,0,159,545,1203,800,1354,485,127,377,1660,1,2022,2023,True,BOS,IND,MAR
2022-23,1610612738,BOS,Boston Celtics,22201081,2023-03-21,BOS @ SAC,W,48.0,21.0,17.0,8.0,56.0,6.0,5.0,2.0,38.0,0,0,0,0,159,545,595,1967,642,54,127,12,247,1,2022,2023,False,SAC,BOS,MAR
2022-23,1610612738,BOS,Boston Celtics,22201062,2023-03-18,BOS @ UTA,L,48.0,11.0,8.0,9.0,30.0,12.0,20.0,12.0,48.0,0,0,0,0,159,1977,1967,1837,2402,485,2067,927,931,1,2022,2023,False,UTA,BOS,MAR
2022-23,1610612738,BOS,Boston Celtics,22201053,2023-03-17,BOS @ POR,W,48.0,28.0,14.0,18.0,50.0,19.0,4.0,24.0,38.0,0,0,0,0,159,100,1027,565,1168,1535,50,2258,247,1,2022,2023,False,POR,BOS,MAR
2022-23,1610612738,BOS,Boston Celtics,22201039,2023-03-15,BOS @ MIN,W,48.0,5.0,13.0,10.0,40.0,13.0,14.0,10.0,46.0,0,0,0,0,159,2408,1203,1694,1994,626,1259,625,760,1,2022,2023,False,MIN,BOS,MAR
2022-23,1610612738,BOS,Boston Celtics,22201024,2023-03-13,BOS @ HOU,L,48.0,16.0,10.0,9.0,50.0,22.0,17.0,11.0,56.0,0,0,0,0,159,1249,1696,1837,1168,1917,1720,768,1660,1,2022,2023,False,HOU,BOS,MAR
