team_id,team_name,gp,w,l,w_pct,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,team
1610612737,Atlanta Hawks,9,6,3,0.667,31.0,0.00569,0.627,0.129,0.259,0.5,0.534,0.042,0.237,2,2,10,6,2,6,5,11,8,10,10,13,6,ATLANTA HAWKS
1610612738,Boston Celtics,1,1,0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,9,1,1,16,2,16,1,15,1,1,14,1,BOSTON CELTICS
1610612751,Brooklyn Nets,4,1,3,0.25,21.0,0.00361,0.222,0.077,0.24,0.486,0.351,0.075,0.318,7,9,10,14,6,14,11,6,11,9,7,9,11,BROOKLYN NETS
1610612742,Dallas Mavericks,4,3,1,0.75,12.0,0.005,0.429,0.12,0.308,0.429,0.214,0.25,0.1,7,5,3,4,9,7,9,10,4,7,4,1,4,DALLAS MAVERICKS
1610612743,Denver Nuggets,4,3,1,0.75,15.0,0.0068000000000000005,0.68,0.063,0.4,0.481,0.148,0.103,0.294,7,5,3,4,7,4,3,5,2,8,3,6,10,DENVER NUGGETS
1610612746,LA Clippers,11,3,8,0.273,28.0,0.00402,0.488,0.13,0.258,0.521,0.447,0.136,0.259,1,5,16,13,3,12,8,12,9,12,9,4,8,LA CLIPPERS
1610612747,Los Angeles Lakers,1,1,0,1.0,3.0,0.01167,1.0,0.167,0.0,0.25,0.0,0.0,0.0,14,9,1,1,15,1,2,15,15,2,1,14,1,LOS ANGELES LAKERS
1610612763,Memphis Grizzlies,3,1,2,0.333,6.0,0.00357,0.143,0.083,0.444,0.75,1.125,0.0,0.25,10,9,8,11,13,15,13,7,1,16,15,14,7,MEMPHIS GRIZZLIES
1610612748,Miami Heat,1,0,1,0.0,10.0,0.00433,0.333,0.158,0.182,0.367,1.067,0.1,0.357,14,15,3,15,11,11,10,14,12,3,14,7,12,MIAMI HEAT
1610612749,Milwaukee Bucks,9,7,2,0.778,44.0,0.00482,0.518,0.056,0.375,0.37,0.315,0.119,0.275,2,1,8,3,1,9,6,4,3,4,5,5,9,MILWAUKEE BUCKS
1610612752,New York Knicks,2,1,1,0.5,8.0,0.00688,0.125,0.0,0.125,0.625,0.417,0.067,0.0,12,9,3,8,12,3,14,1,14,14,8,10,1,NEW YORK KNICKS
1610612755,Philadelphia 76ers,7,2,5,0.286,22.0,0.00357,1.029,0.111,0.286,0.581,0.595,0.161,0.2,5,8,15,12,4,15,1,8,6,13,12,3,5,PHILADELPHIA 76ERS
1610612756,Phoenix Suns,8,4,4,0.5,22.0,0.00383,0.5,0.174,0.143,0.5,0.571,0.043,0.379,4,3,14,8,5,13,7,16,13,10,11,12,13,PHOENIX SUNS
1610612757,Portland Trail Blazers,3,0,3,0.0,15.0,0.00481,0.074,0.111,0.294,0.68,0.68,0.063,0.4,10,15,10,15,8,10,15,8,5,15,13,11,14,PORTLAND TRAIL BLAZERS
1610612762,Utah Jazz,7,4,3,0.571,10.0,0.00676,0.647,0.0,0.25,0.4,0.35,0.091,0.417,5,3,10,7,10,5,4,1,10,6,6,8,15,UTAH JAZZ
1610612764,Washington Wizards,2,1,1,0.5,6.0,0.005,0.182,0.154,0.286,0.375,1.5,0.214,0.571,12,9,3,8,14,7,12,13,6,5,16,2,16,WASHINGTON WIZARDS
