season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away
2021-22,1610612739,CLE,Cleveland Cavaliers,22100759,2022-01-31,CLE vs. NOP,W,48.0,15.0,5.0,9.0,44.0,2.0,16.0,10.0,46.0,0,0,0,0,117,1283,2291,1640,1446,2,1649,822,1016,1,2021,2022,True,CLE,NOP
2021-22,1610612740,NOP,New Orleans Pelicans,22100759,2022-01-31,NOP @ CLE,L,48.0,2.0,16.0,10.0,46.0,15.0,5.0,9.0,44.0,0,0,0,0,117,2451,662,1473,1216,1036,113,695,849,1,2021,2022,False,CLE,NOP
2021-22,1610612763,MEM,Memphis Grizzlies,22100761,2022-01-31,MEM @ PHI,L,53.0,30.0,18.0,29.0,72.0,17.0,22.0,16.0,68.0,0,0,0,0,15,47,448,17,15,1307,2262,1747,2381,1,2021,2022,False,PHI,MEM
2021-22,1610612757,POR,Portland Trail Blazers,22100765,2022-01-31,POR @ OKC,L,48.0,13.0,8.0,4.0,42.0,15.0,8.0,8.0,44.0,0,0,0,0,117,1595,1945,2260,1613,1036,380,540,849,1,2021,2022,False,OKC,POR
2021-22,1610612752,NYK,New York Knicks,22100763,2022-01-31,NYK vs. SAC,W,48.0,22.0,15.0,14.0,42.0,18.0,17.0,8.0,40.0,0,0,0,0,117,380,813,848,1613,1461,1800,540,507,1,2021,2022,True,NYK,SAC
2021-22,1610612744,GSW,Golden State Warriors,22100764,2022-01-31,GSW @ HOU,W,48.0,21.0,8.0,21.0,40.0,15.0,17.0,5.0,40.0,0,0,0,0,117,482,1945,219,1790,1036,1800,202,507,1,2021,2022,False,HOU,GSW
2021-22,1610612748,MIA,Miami Heat,22100762,2022-01-31,MIA @ BOS,L,48.0,8.0,8.0,2.0,26.0,24.0,13.0,13.0,40.0,0,0,0,0,117,2236,1945,2377,2425,2154,1151,1330,507,1,2021,2022,False,BOS,MIA
2021-22,1610612738,BOS,Boston Celtics,22100762,2022-01-31,BOS vs. MIA,W,48.0,24.0,13.0,13.0,40.0,8.0,8.0,2.0,26.0,0,0,0,0,117,232,1121,996,1790,156,380,32,18,1,2021,2022,True,BOS,MIA
2021-22,1610612760,OKC,Oklahoma City Thunder,22100765,2022-01-31,OKC vs. POR,W,48.0,15.0,8.0,8.0,44.0,13.0,8.0,4.0,42.0,0,0,0,0,117,1283,1945,1767,1446,721,380,108,672,1,2021,2022,True,OKC,POR
2021-22,1610612737,ATL,Atlanta Hawks,22100767,2022-01-31,ATL vs. TOR,L,48.0,8.0,9.0,7.0,32.0,7.0,12.0,10.0,30.0,0,0,0,0,117,2236,1795,1922,2294,105,975,822,78,1,2021,2022,True,ATL,TOR
2021-22,1610612761,TOR,Toronto Raptors,22100767,2022-01-31,TOR @ ATL,W,48.0,7.0,12.0,10.0,30.0,8.0,9.0,7.0,32.0,0,0,0,0,117,2306,1311,1473,2359,156,517,422,103,1,2021,2022,False,ATL,TOR
2021-22,1610612755,PHI,Philadelphia 76ers,22100761,2022-01-31,PHI vs. MEM,W,53.0,17.0,22.0,16.0,68.0,30.0,18.0,29.0,72.0,0,0,0,0,15,1001,144,597,51,2400,1927,2434,2428,1,2021,2022,True,PHI,MEM
2021-22,1610612754,IND,Indiana Pacers,22100760,2022-01-31,IND vs. LAC,W,48.0,12.0,17.0,11.0,68.0,17.0,13.0,5.0,46.0,0,0,0,0,117,1741,535,1283,51,1307,1151,202,1016,1,2021,2022,True,IND,LAC
2021-22,1610612758,SAC,Sacramento Kings,22100763,2022-01-31,SAC @ NYK,L,48.0,18.0,17.0,8.0,40.0,22.0,15.0,14.0,42.0,0,0,0,0,117,845,535,1767,1790,1980,1500,1466,672,1,2021,2022,False,NYK,SAC
2021-22,1610612745,HOU,Houston Rockets,22100764,2022-01-31,HOU vs. GSW,L,48.0,15.0,17.0,5.0,40.0,21.0,8.0,21.0,40.0,0,0,0,0,117,1283,535,2170,1790,1861,380,2192,507,1,2021,2022,True,HOU,GSW
2021-22,1610612746,LAC,LA Clippers,22100760,2022-01-31,LAC @ IND,L,48.0,17.0,13.0,5.0,46.0,12.0,17.0,11.0,68.0,0,0,0,0,117,1001,1121,2170,1216,574,1800,989,2381,1,2021,2022,False,IND,LAC
2021-22,1610612742,DAL,Dallas Mavericks,22100755,2022-01-30,DAL @ ORL,L,48.0,16.0,4.0,8.0,46.0,26.0,16.0,16.0,60.0,0,0,0,0,117,1155,2349,1767,1216,2285,1649,1747,2161,1,2021,2022,False,ORL,DAL
2021-22,1610612753,ORL,Orlando Magic,22100755,2022-01-30,ORL vs. DAL,W,48.0,26.0,16.0,16.0,60.0,16.0,4.0,8.0,46.0,0,0,0,0,117,144,662,597,223,1179,53,540,1016,1,2021,2022,True,ORL,DAL
2021-22,1610612737,ATL,Atlanta Hawks,22100751,2022-01-30,ATL vs. LAL,W,48.0,11.0,6.0,18.0,62.0,19.0,4.0,13.0,50.0,0,0,0,0,117,1888,2192,412,162,1617,53,1330,1431,1,2021,2022,True,ATL,LAL
2021-22,1610612743,DEN,Denver Nuggets,22100756,2022-01-30,DEN @ MIL,W,48.0,27.0,11.0,15.0,44.0,11.0,4.0,5.0,44.0,0,0,0,0,117,107,1487,715,1446,452,53,202,849,1,2021,2022,False,MIL,DEN
2021-22,1610612759,SAS,San Antonio Spurs,22100758,2022-01-30,SAS @ PHX,L,48.0,17.0,8.0,6.0,44.0,14.0,10.0,10.0,52.0,0,0,0,0,117,1001,1945,2040,1446,867,667,822,1630,1,2021,2022,False,PHX,SAS
2021-22,1610612739,CLE,Cleveland Cavaliers,22100754,2022-01-30,CLE @ DET,L,48.0,6.0,16.0,5.0,46.0,15.0,20.0,6.0,64.0,0,0,0,0,117,2357,662,2170,1216,1036,2104,292,2300,1,2021,2022,False,DET,CLE
2021-22,1610612749,MIL,Milwaukee Bucks,22100756,2022-01-30,MIL vs. DEN,L,48.0,11.0,4.0,5.0,44.0,27.0,11.0,15.0,44.0,0,0,0,0,117,1888,2349,2170,1446,2318,838,1614,849,1,2021,2022,True,MIL,DEN
2021-22,1610612750,MIN,Minnesota Timberwolves,22100757,2022-01-30,MIN vs. UTA,W,48.0,22.0,16.0,15.0,66.0,16.0,13.0,9.0,38.0,0,0,0,0,117,380,662,715,81,1179,1151,695,377,1,2021,2022,True,MIN,UTA
2021-22,1610612747,LAL,Los Angeles Lakers,22100751,2022-01-30,LAL @ ATL,L,48.0,19.0,4.0,13.0,50.0,11.0,6.0,18.0,62.0,0,0,0,0,117,709,2349,996,832,452,171,1959,2239,1,2021,2022,False,ATL,LAL
2021-22,1610612757,POR,Portland Trail Blazers,22100753,2022-01-30,POR @ CHI,L,48.0,8.0,5.0,6.0,38.0,20.0,4.0,4.0,52.0,0,0,0,0,117,2236,2291,2040,1955,1753,53,108,1630,1,2021,2022,False,CHI,POR
2021-22,1610612741,CHI,Chicago Bulls,22100753,2022-01-30,CHI vs. POR,W,48.0,20.0,4.0,4.0,52.0,8.0,5.0,6.0,38.0,0,0,0,0,117,601,2349,2260,674,156,113,292,377,1,2021,2022,True,CHI,POR
2021-22,1610612756,PHX,Phoenix Suns,22100758,2022-01-30,PHX vs. SAS,W,48.0,14.0,10.0,10.0,52.0,17.0,8.0,6.0,44.0,0,0,0,0,117,1426,1624,1473,674,1307,380,292,849,1,2021,2022,True,PHX,SAS
2021-22,1610612762,UTA,Utah Jazz,22100757,2022-01-30,UTA @ MIN,L,48.0,16.0,13.0,9.0,38.0,22.0,16.0,15.0,66.0,0,0,0,0,117,1155,1121,1640,1955,1980,1649,1614,2352,1,2021,2022,False,MIN,UTA
2021-22,1610612766,CHA,Charlotte Hornets,22100752,2022-01-30,CHA vs. LAC,L,48.0,28.0,9.0,17.0,48.0,8.0,8.0,15.0,56.0,0,0,0,0,117,81,1795,503,1031,156,380,1614,1949,1,2021,2022,True,CHA,LAC
