season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank,available_flag,min_sec,season_start,season_end
2016-17,2037,Jamal Crawford,Jamal,1610612746,LAC,LA Clippers,41600177,2017-04-30T00:00:00,LAC vs. UTA,L,32.1,108.9,107.8,107.8,119.3,114.3,114.3,-10.4,-6.5,-6.5,0.158,3.0,14.3,0.0,0.12,0.05,0.048,0.047,0.0053100000000000005,0.00577,0.254,0.264,92.55,95.0,79.17,95.0,0.142,64,8,16,8.0,16.0,0.5,1,873,873,873,466,802,873,873,1250,1069,1069,1091,1001,1001,568,127,762,832,830,1173,778,779,731,732,337,326,1300,1052,1052,457,156,186,156,186,539,1,32:05,2016,2017
2016-17,201601,Luc Mbah a Moute,Luc,1610612746,LAC,LA Clippers,41600177,2017-04-30T00:00:00,LAC vs. UTA,L,14.6,62.8,65.4,65.4,102.7,100.0,100.0,-39.9,-34.6,-34.6,0.0,0.0,0.0,0.071,0.071,0.071,0.0,0.0,0.0,0.0034699999999999996,0.1,0.096,86.33,85.68,71.4,85.68,-0.017,26,0,2,0.0,2.0,0.0,1,873,873,873,1172,1654,1635,1635,655,493,493,1543,1481,1481,1151,781,1151,351,1148,916,1,1,1410,1269,1421,1470,1613,1651,1651,1545,1410,1342,1410,1342,1410,1,14:34,2016,2017
2016-17,201599,DeAndre Jordan,DeAndre,1610612746,LAC,LA Clippers,41600177,2017-04-30T00:00:00,LAC vs. UTA,L,39.5,94.3,97.2,97.2,114.8,114.7,114.7,-20.5,-17.4,-17.4,0.056,0.5,4.5,0.14,0.353,0.234,0.091,0.09300000000000001,0.0075,0.00645,0.253,0.247,90.62,89.31,74.42,89.31,0.187,72,9,12,9.0,12.0,0.75,1,873,873,873,133,1282,1218,1218,1096,1094,1094,1300,1260,1260,1045,672,1139,138,58,56,995,1024,240,536,339,401,1430,1521,1521,233,112,350,112,350,147,1,39:30,2016,2017
2016-17,203085,Austin Rivers,Austin,1610612746,LAC,LA Clippers,41600177,2017-04-30T00:00:00,LAC vs. UTA,L,37.8,90.3,93.2,93.2,111.6,109.5,109.5,-21.3,-16.2,-16.2,0.048,0.5,6.7,0.0,0.063,0.027,0.133,0.133,0.00375,0.00375,0.167,0.168,94.55,93.89,78.24,93.89,0.009,74,4,12,4.0,12.0,0.333,1,873,873,873,206,1371,1308,1308,985,881,881,1313,1234,1234,1088,672,1082,832,1217,1404,1247,1251,1129,1228,904,947,1126,1158,1158,1394,524,350,524,350,1079,1,37:50,2016,2017
2016-17,200755,JJ Redick,JJ,1610612746,LAC,LA Clippers,41600177,2017-04-30T00:00:00,LAC vs. UTA,L,22.3,75.7,76.7,76.7,116.8,114.0,114.0,-41.1,-37.2,-37.2,0.0,0.0,0.0,0.0,0.111,0.047,0.16699999999999998,0.16699999999999998,0.003,0.003,0.12,0.123,92.22,92.69,77.25,92.69,0.0,43,1,5,1.0,5.0,0.2,1,873,873,873,870,1582,1570,1570,1166,1063,1063,1557,1515,1515,1151,781,1151,832,885,1217,1351,1361,1264,1341,1296,1296,1319,1269,1269,1413,1160,919,1160,919,1336,1,22:16,2016,2017
2016-17,101109,Raymond Felton,Raymond,1610612746,LAC,LA Clippers,41600177,2017-04-30T00:00:00,LAC vs. UTA,L,23.7,122.3,117.0,117.0,111.8,104.2,104.2,10.5,12.9,12.9,0.1,0.0,28.6,0.043,0.0,0.022,0.0,0.0,0.006,0.006,0.094,0.1,90.75,96.13,80.11,96.13,0.062,47,3,5,3.0,5.0,0.6,1,873,873,873,802,389,558,558,993,691,691,580,521,521,803,781,302,566,1413,1438,1,1,571,664,1461,1443,1423,947,947,1052,690,919,690,919,367,1,23:43,2016,2017
2016-17,101108,Chris Paul,Chris,1610612746,LAC,LA Clippers,41600177,2017-04-30T00:00:00,LAC vs. UTA,L,40.0,99.7,102.7,102.7,113.5,111.8,111.8,-13.8,-9.1,-9.1,0.391,3.0,29.0,0.0,0.111,0.05,0.09699999999999999,0.095,0.0034200000000000003,0.00334,0.262,0.266,90.0,89.3,74.42,89.3,0.055,73,6,19,6.0,19.0,0.316,1,873,873,873,115,1144,1032,1032,1052,981,981,1159,1068,1068,109,127,301,832,885,1173,1038,1036,1190,1292,305,311,1477,1522,1522,1107,302,112,302,112,1191,1,40:03,2016,2017
2016-17,201578,Marreese Speights,Marreese,1610612746,LAC,LA Clippers,41600177,2017-04-30T00:00:00,LAC vs. UTA,L,8.5,109.4,110.5,110.5,111.1,94.7,94.7,-1.7,15.8,15.8,0.0,0.0,0.0,0.111,0.25,0.176,0.125,0.129,0.005,0.00592,0.381,0.384,99.99,107.34,89.45,107.34,0.081,19,2,5,2.0,5.0,0.4,1,873,873,873,1406,787,780,780,966,388,388,903,464,464,1151,781,1151,197,188,140,1186,1243,749,690,40,48,624,201,201,897,888,919,888,919,918,1,8:30,2016,2017
2016-17,1718,Paul Pierce,Paul,1610612746,LAC,LA Clippers,41600177,2017-04-30T00:00:00,LAC vs. UTA,L,21.5,106.8,104.5,104.5,118.8,120.5,120.5,-12.1,-15.9,-15.9,0.059,0.0,20.0,0.042,0.1,0.068,0.0,0.0,0.00625,0.00676,0.078,0.092,97.91,98.26,81.89,98.26,0.063,44,2,4,2.0,4.0,0.5,1,873,873,873,896,869,983,983,1233,1278,1278,1125,1225,1226,1029,781,535,587,954,965,1,1,509,459,1527,1481,832,755,755,1045,888,1051,888,1051,539,1,21:30,2016,2017
2016-17,200755,JJ Redick,JJ,1610612746,LAC,LA Clippers,41600176,2017-04-28T00:00:00,LAC @ UTA,W,20.5,89.4,90.2,90.2,109.2,107.3,107.3,-19.9,-17.1,-17.1,0.077,1.0,16.7,0.0,0.053,0.026,0.16699999999999998,0.155,0.00375,0.0045000000000000005,0.104,0.12,95.56,95.93,79.94,95.93,0.019,41,1,4,1.0,4.0,0.25,1,1,1,1,934,1384,1357,1357,895,797,797,1289,1254,1254,925,434,668,832,1271,1410,1351,1339,1129,1097,1403,1331,1042,971,971,1356,1160,1051,1160,1051,1265,1,20:31,2016,2017
2016-17,203085,Austin Rivers,Austin,1610612746,LAC,LA Clippers,41600176,2017-04-28T00:00:00,LAC @ UTA,W,34.6,113.2,112.1,112.1,107.7,106.1,106.1,5.5,6.1,6.1,0.0,0.0,0.0,0.032,0.079,0.058,0.091,0.091,0.006500000000000001,0.006500000000000001,0.147,0.15,90.53,91.67,76.39,91.67,0.078,66,5,10,5.0,10.0,0.5,1,1,1,1,347,669,720,720,835,760,760,699,668,668,1151,781,1151,678,1103,1077,995,1001,474,528,1097,1095,1438,1373,1373,910,411,484,411,484,539,1,34:34,2016,2017
2016-17,2037,Jamal Crawford,Jamal,1610612746,LAC,LA Clippers,41600176,2017-04-28T00:00:00,LAC @ UTA,W,29.0,118.6,120.4,120.4,86.4,83.6,83.6,32.2,36.7,36.7,0.167,3.0,17.6,0.0,0.028,0.016,0.059000000000000004,0.059000000000000004,0.00417,0.00466,0.226,0.225,89.27,90.06,75.05,90.06,0.099,54,5,12,5.0,12.0,0.417,1,1,1,1,596,495,459,459,224,194,194,214,170,170,510,127,655,832,1392,1466,833,842,1038,1072,480,524,1518,1487,1487,744,411,350,411,350,894,1,29:03,2016,2017
2016-17,201601,Luc Mbah a Moute,Luc,1610612746,LAC,LA Clippers,41600176,2017-04-28T00:00:00,LAC @ UTA,W,28.7,81.6,85.2,85.2,100.1,101.9,101.9,-18.6,-16.7,-16.7,0.077,0.0,9.1,0.036,0.125,0.083,0.0,0.0,0.00688,0.00666,0.164,0.159,93.04,90.26,75.22,90.26,0.156,54,5,8,5.0,8.0,0.625,1,1,1,1,608,1524,1452,1452,564,630,630,1269,1239,1245,925,781,986,643,781,778,1,1,377,508,967,1018,1265,1474,1474,376,411,624,411,624,339,1,28:43,2016,2017
2016-17,201599,DeAndre Jordan,DeAndre,1610612746,LAC,LA Clippers,41600176,2017-04-28T00:00:00,LAC @ UTA,W,38.3,95.4,98.6,98.6,97.8,96.1,96.1,-2.5,2.5,2.5,0.045,0.14,4.8,0.105,0.333,0.225,0.33299999999999996,0.336,0.00625,0.00506,0.238,0.237,95.29,94.54,78.78,94.54,0.074,74,5,8,5.0,8.0,0.625,1,1,1,1,184,1261,1182,1182,483,421,421,919,757,757,1095,780,1135,218,69,65,1632,1670,509,923,415,457,1069,1092,1092,942,411,624,411,624,339,1,38:20,2016,2017
2016-17,201578,Marreese Speights,Marreese,1610612746,LAC,LA Clippers,41600176,2017-04-28T00:00:00,LAC @ UTA,W,9.7,157.4,156.3,156.3,127.7,118.8,118.8,29.7,37.5,37.5,0.0,0.0,0.0,0.333,0.111,0.2,0.0,0.0,0.0075,0.0075,0.316,0.318,76.37,79.45,66.21,79.45,0.195,16,4,6,4.0,6.0,0.667,1,1,1,1,1362,34,31,31,1459,1217,1217,242,165,165,1151,781,1151,9,885,96,1,1,240,288,121,134,1715,1727,1727,200,524,806,524,806,218,1,9:40,2016,2017
2016-17,1718,Paul Pierce,Paul,1610612746,LAC,LA Clippers,41600176,2017-04-28T00:00:00,LAC @ UTA,W,21.7,127.0,127.5,127.5,101.3,95.3,95.3,25.7,32.2,32.2,0.105,2.0,33.3,0.059,0.091,0.077,0.16699999999999998,0.16699999999999998,0.005,0.005,0.089,0.089,89.12,91.73,76.44,91.73,0.022,40,1,3,1.0,3.0,0.333,1,1,1,1,891,284,264,264,599,405,405,305,232,232,793,222,176,433,1016,861,1351,1361,749,933,1481,1497,1530,1365,1365,1336,1160,1192,1160,1192,1079,1,21:43,2016,2017
2016-17,101109,Raymond Felton,Raymond,1610612746,LAC,LA Clippers,41600176,2017-04-28T00:00:00,LAC @ UTA,W,19.6,122.6,122.9,122.9,113.0,105.3,105.3,9.6,17.6,17.6,0.059,1.0,16.7,0.053,0.118,0.083,0.16699999999999998,0.16699999999999998,0.0025,0.0025,0.122,0.125,86.5,89.59,74.66,89.59,0.006,35,1,4,1.0,4.0,0.25,1,1,1,1,979,385,384,384,1038,734,734,600,428,428,1029,434,668,484,840,778,1351,1361,1309,1392,1287,1285,1609,1513,1513,1404,1160,1051,1160,1051,1265,1,19:33,2016,2017
2016-17,101108,Chris Paul,Chris,1610612746,LAC,LA Clippers,41600176,2017-04-28T00:00:00,LAC @ UTA,W,37.9,99.3,104.1,104.1,104.5,104.1,104.1,-5.2,0.0,0.0,0.471,2.0,22.9,0.0,0.075,0.04,0.114,0.113,0.0055000000000000005,0.00616,0.329,0.333,94.58,92.48,77.07,92.48,0.228,73,10,20,10.0,20.0,0.5,1,1,1,1,205,1151,993,993,731,689,689,970,816,816,68,222,474,832,1135,1277,1149,1141,694,619,92,94,1121,1292,1292,117,80,90,80,90,539,1,37:53,2016,2017
2016-17,202325,Wesley Johnson,Wesley,1610612746,LAC,LA Clippers,41600175,2017-04-25T00:00:00,LAC vs. UTA,L,3.5,88.8,75.0,75.0,112.5,112.5,112.5,-23.7,-37.5,-37.5,0.0,0.0,0.0,0.0,0.333,0.167,0.0,0.0,0.0,0.0,0.0,0.0,102.68,111.3,92.75,111.3,0.174,8,0,0,0.0,0.0,0.0,1,873,873,873,1609,1405,1580,1580,1016,1000,1000,1340,1521,1521,1151,781,1151,832,69,178,1,1,1410,1470,1641,1642,410,107,107,282,1410,1604,1410,1604,1410,1,3:27,2016,2017
2016-17,201578,Marreese Speights,Marreese,1610612746,LAC,LA Clippers,41600175,2017-04-25T00:00:00,LAC vs. UTA,L,13.2,79.3,78.6,78.6,123.6,118.5,118.5,-44.4,-39.9,-39.9,0.0,0.0,0.0,0.063,0.1,0.077,0.33299999999999996,0.34,0.0,0.0012900000000000001,0.194,0.204,97.65,100.13,83.44,100.13,-0.074,28,0,3,0.0,3.0,0.0,1,873,873,873,1230,1544,1546,1546,1382,1209,1209,1589,1545,1545,1151,781,1151,409,954,861,1632,1672,1410,1463,690,648,856,604,604,1643,1410,1192,1410,1192,1410,1,13:11,2016,2017
2016-17,101109,Raymond Felton,Raymond,1610612746,LAC,LA Clippers,41600175,2017-04-25T00:00:00,LAC vs. UTA,L,16.5,90.1,81.8,81.8,106.8,109.4,109.4,-16.7,-27.6,-27.6,0.0,0.0,0.0,0.0,0.133,0.065,0.2,0.205,0.0,0.0025800000000000003,0.135,0.148,91.16,94.48,78.73,94.48,-0.063,33,0,3,0.0,3.0,0.0,1,873,873,873,1083,1373,1507,1507,809,874,874,1222,1406,1406,1151,781,1151,832,734,996,1453,1499,1410,1378,1182,1113,1393,1098,1098,1627,1410,1192,1410,1192,1410,1,16:31,2016,2017
2016-17,203085,Austin Rivers,Austin,1610612746,LAC,LA Clippers,41600175,2017-04-25T00:00:00,LAC vs. UTA,L,17.8,82.2,76.9,76.9,91.7,97.1,97.1,-9.5,-20.2,-20.2,0.143,0.5,12.5,0.0,0.087,0.048,0.25,0.254,0.0,0.0020499999999999997,0.167,0.179,99.27,99.87,83.22,99.87,-0.047,39,0,4,0.0,4.0,0.0,1,873,873,873,1037,1511,1568,1568,320,447,447,1066,1304,1304,610,672,829,832,1056,1201,1547,1587,1410,1422,904,845,703,624,624,1594,1410,1051,1410,1051,1410,1,17:47,2016,2017
