TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612745,Houston Rockets,24,7,17,0.292,46.7,26.9,76.6,0.351,9.9,34.5,0.288,38.0,45.6,0.833,12.9,34.5,47.4,11.1,13.5,4.1,7.0,7.6,29.8,30.4,101.8,-24.0,30,29,16,28,12,30,26,30,20,9,26,1,1,7,6,8,2,30,21,29,2,28,25,2,24,30
1610612754,Indiana Pacers,40,20,20,0.5,46.7,35.1,78.6,0.447,10.0,31.2,0.321,19.2,24.2,0.793,5.6,32.3,37.9,19.8,14.8,8.9,5.3,5.0,24.5,19.5,99.4,-3.9,3,7,21,14,13,14,19,12,19,18,17,29,30,19,30,13,27,9,26,2,8,20,14,29,28,14
1610612746,LA Clippers,34,16,18,0.471,45.8,33.2,78.1,0.425,13.4,38.5,0.347,32.6,37.4,0.871,11.2,32.6,43.9,16.6,10.7,5.9,4.3,2.7,37.4,23.5,112.3,-11.8,17,20,18,19,20,22,21,21,6,5,12,5,9,1,11,11,13,23,8,22,19,3,30,25,10,25
1610612747,Los Angeles Lakers,35,21,14,0.6,48.2,40.0,90.0,0.444,13.4,34.5,0.39,18.6,24.5,0.761,13.1,31.7,44.8,21.4,11.4,6.6,6.2,3.8,19.3,24.1,112.1,19.7,15,6,8,5,2,3,2,13,5,10,4,30,29,24,4,14,8,4,12,16,3,12,3,20,11,3
1610612763,Memphis Grizzlies,38,19,19,0.5,45.9,34.2,80.1,0.427,7.8,25.1,0.312,29.3,40.1,0.732,12.1,30.3,42.3,18.6,12.4,10.1,4.6,6.8,19.2,24.8,105.5,-6.2,9,9,20,14,18,19,13,20,28,28,22,9,6,27,8,21,18,13,17,1,15,26,2,19,23,18
1610612748,Miami Heat,34,18,16,0.529,47.3,29.4,78.4,0.375,7.5,32.5,0.229,29.0,34.9,0.831,10.2,35.7,45.9,18.0,12.9,7.1,4.7,5.1,22.0,26.3,95.3,-3.9,17,11,13,12,6,29,20,29,29,14,30,11,15,9,14,5,4,14,20,10,14,21,5,14,30,15
1610612749,Milwaukee Bucks,28,13,15,0.464,45.8,35.3,77.7,0.455,11.6,32.1,0.362,24.7,31.2,0.791,7.9,37.2,45.1,16.7,14.9,6.5,6.0,4.7,18.1,23.7,107.0,-1.9,28,25,10,20,19,13,23,7,11,15,8,27,25,20,26,2,7,22,27,17,4,16,1,22,18,13
1610612750,Minnesota Timberwolves,39,18,21,0.462,47.2,34.0,79.3,0.429,10.3,31.3,0.33,28.0,34.0,0.824,8.7,29.7,38.3,22.3,14.0,5.3,4.3,4.0,28.0,24.0,106.3,-20.7,5,11,24,21,9,20,17,19,16,17,16,15,20,11,21,24,25,2,24,26,18,13,22,21,21,28
1610612740,New Orleans Pelicans,39,17,22,0.436,43.9,32.7,77.8,0.42,8.6,28.0,0.307,32.7,42.7,0.766,11.6,35.2,46.8,17.5,12.7,6.6,4.4,8.3,23.0,27.7,106.6,8.0,5,17,26,22,26,23,22,23,24,25,23,4,4,23,9,7,3,15,19,14,17,30,8,8,19,10
1610612752,New York Knicks,36,20,16,0.556,47.8,34.2,80.8,0.423,11.8,28.0,0.421,27.7,35.4,0.783,8.3,36.0,44.2,16.8,10.9,8.6,4.7,5.3,24.8,26.3,108.0,13.9,13,7,13,9,4,18,9,22,10,24,1,18,12,22,24,3,12,20,9,3,13,22,16,15,15,6
