game_id,game_date,away_team,home_team,pf,opp_pf,round,game_no_in_series
42000171,2021-05-22,DAL,LAC,103,113.0,rnd1,1
42000172,2021-05-25,DAL,LAC,121,127.0,rnd1,2
42000173,2021-05-28,LAC,DAL,118,108.0,rnd1,3
42000174,2021-05-30,LAC,DAL,106,81.0,rnd1,4
42000175,2021-06-02,DAL,LAC,100,105.0,rnd1,5
42000176,2021-06-04,LAC,DAL,104,97.0,rnd1,6
42000177,2021-06-06,DAL,LAC,126,111.0,rnd1,7
42000221,2021-06-08,LAC,UTA,109,112.0,sf,1
42000222,2021-06-10,LAC,UTA,111,117.0,sf,2
42000223,2021-06-12,UTA,LAC,132,106.0,sf,3
42000224,2021-06-14,UTA,LAC,118,104.0,sf,4
42000225,2021-06-16,LAC,UTA,119,111.0,sf,5
42000226,2021-06-18,UTA,LAC,131,119.0,sf,6
42000311,2021-06-20,LAC,PHX,114,120.0,conf,1
42000312,2021-06-22,LAC,PHX,103,104.0,conf,2
42000313,2021-06-24,PHX,LAC,106,92.0,conf,3
42000314,2021-06-26,PHX,LAC,80,84.0,conf,4
42000315,2021-06-28,LAC,PHX,116,102.0,conf,5
42000316,2021-06-30,PHX,LAC,103,130.0,conf,6
