close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fg3m,fg3a,fg3_pct,ns_fg3_pct,plusminus
201950,Jrue Holiday,1610612740,NOP,G,26.0,65,64,0.445,1.69,4.71,0.359,0.355,0.005
201936,Tyreke Evans,1610612740,NOP,G-F,26.0,25,23,0.409,1.76,4.04,0.436,0.351,0.085
203076,Anthony Davis,1610612740,NOP,F-C,23.0,61,56,0.24,1.21,3.56,0.341,0.356,-0.015
202706,Jordan Hamilton,1610612740,NOP,G-F,25.0,11,11,0.327,1.09,3.36,0.324,0.349,-0.025
201583,Ryan Anderson,1610612740,NOP,F,28.0,66,60,0.248,0.98,2.8,0.351,0.361,-0.009
201967,Dante Cunningham,1610612740,NOP,F,29.0,78,69,0.348,0.94,2.78,0.336,0.349,-0.012
201569,Eric Gordon,1610612740,NOP,G,27.0,45,43,0.346,0.91,2.69,0.339,0.359,-0.02
203516,James Ennis III,1610612740,NOP,F,25.0,15,14,0.404,1.07,2.67,0.4,0.353,0.047
202337,Luke Babbitt,1610612740,NOP,F,27.0,42,35,0.307,0.93,2.55,0.364,0.348,0.017
202087,Alonzo Gee,1610612740,NOP,F,29.0,72,65,0.365,0.86,2.53,0.341,0.356,-0.015
1626214,Bryce Dejean-Jones,1610612740,NOP,G,23.0,12,10,0.395,1.33,2.5,0.533,0.362,0.171
101126,Nate Robinson,1610612740,NOP,G,32.0,2,2,0.333,0.5,2.5,0.2,0.361,-0.161
201962,Toney Douglas,1610612740,NOP,G,30.0,60,50,0.406,0.93,2.4,0.389,0.358,0.031
204025,Tim Frazier,1610612740,NOP,G,25.0,39,31,0.397,0.72,2.38,0.301,0.343,-0.042
203111,Orlando Johnson,1610612740,NOP,G,27.0,6,6,0.359,1.0,2.33,0.429,0.396,0.033
202708,Norris Cole,1610612740,NOP,G,27.0,45,38,0.329,0.76,2.09,0.362,0.356,0.006
2570,Kendrick Perkins,1610612740,NOP,C,31.0,37,22,0.152,0.54,1.0,0.541,0.355,0.185
201582,Alexis Ajinca,1610612740,NOP,C,28.0,56,27,0.118,0.41,0.8,0.511,0.353,0.159
201600,Omer Asik,1610612740,NOP,C,29.0,67,26,0.075,0.15,0.6,0.25,0.352,-0.102
