team_id,team_name,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,stl,blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,stl_rank,blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,team
1610612738,Boston Celtics,9,5,4,0.556,47.7,103.0,40.1,0.783,5.8,3.8,16.4,11.5,18.7,40.8,8,8,1,5,12,2,2,2,15,13,9,5,15,5,BOSTON CELTICS
1610612751,Brooklyn Nets,5,1,4,0.2,45.5,115.9,27.7,0.643,7.2,2.7,16.9,18.0,11.0,55.4,11,11,1,11,16,14,16,16,7,16,11,16,3,16,BROOKLYN NETS
1610612743,Denver Nuggets,14,7,7,0.5,51.3,111.1,36.0,0.703,5.9,4.8,10.3,14.8,9.4,48.5,5,5,13,7,2,10,5,12,14,8,2,13,1,12,DENVER NUGGETS
1610612765,Detroit Pistons,4,0,4,0.0,47.4,120.5,31.1,0.727,7.2,4.0,13.1,11.4,19.5,54.3,15,15,1,15,14,16,14,7,8,12,3,4,16,15,DETROIT PISTONS
1610612744,Golden State Warriors,22,14,8,0.636,48.6,111.5,33.3,0.714,7.4,5.7,16.2,13.8,14.6,41.6,2,2,14,3,9,11,12,11,6,2,8,11,10,6,GOLDEN STATE WARRIORS
1610612745,Houston Rockets,11,6,5,0.545,49.3,107.4,33.9,0.687,8.7,5.2,20.2,13.6,14.5,46.1,7,7,10,6,7,6,9,15,2,6,16,10,9,10,HOUSTON ROCKETS
1610612754,Indiana Pacers,4,0,4,0.0,50.1,103.9,33.7,0.737,8.6,3.7,15.1,11.7,17.8,33.4,15,15,1,15,3,3,11,6,3,14,6,7,14,1,INDIANA PACERS
1610612746,LA Clippers,6,2,4,0.333,46.7,120.5,29.3,0.714,7.8,3.2,17.8,12.6,17.5,43.4,10,10,1,10,15,15,15,10,5,15,13,8,13,8,LA CLIPPERS
1610612749,Milwaukee Bucks,15,10,5,0.667,47.8,101.9,41.0,0.776,6.5,6.3,14.3,9.9,13.3,35.6,4,3,10,1,11,1,1,3,12,1,4,1,6,2,MILWAUKEE BUCKS
1610612760,Oklahoma City Thunder,5,1,4,0.2,47.6,109.9,32.7,0.701,6.5,5.4,16.5,14.7,13.3,44.0,11,11,1,11,13,8,13,13,11,5,10,12,7,9,OKLAHOMA CITY THUNDER
1610612753,Orlando Magic,5,1,4,0.2,50.0,111.5,35.2,0.796,6.9,4.2,18.3,11.0,13.1,49.2,11,11,1,11,4,12,7,1,9,11,14,3,5,13,ORLANDO MAGIC
1610612755,Philadelphia 76ers,12,7,5,0.583,48.2,106.0,37.2,0.752,6.4,5.4,19.4,10.9,16.1,43.3,6,5,10,4,10,5,3,4,13,4,15,2,12,7,PHILADELPHIA 76ERS
1610612757,Portland Trail Blazers,16,8,8,0.5,49.5,110.6,33.7,0.691,6.9,5.1,15.5,16.3,12.7,47.8,3,4,14,7,6,9,10,14,10,7,7,15,4,11,PORTLAND TRAIL BLAZERS
1610612759,San Antonio Spurs,7,3,4,0.429,51.5,113.1,36.9,0.726,4.9,4.3,9.8,15.9,13.8,52.4,9,9,1,9,1,13,4,8,16,10,1,14,8,14,SAN ANTONIO SPURS
1610612761,Toronto Raptors,24,16,8,0.667,49.9,104.2,35.1,0.719,8.3,4.7,14.5,13.1,15.5,39.2,1,1,14,1,5,4,8,9,4,9,5,9,11,3,TORONTO RAPTORS
1610612762,Utah Jazz,5,1,4,0.2,48.7,108.5,35.9,0.742,9.3,5.5,17.6,11.6,11.0,40.2,11,11,1,11,8,7,6,5,1,3,12,6,2,4,UTAH JAZZ
