season,team_id,team,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,available_flag,season_start,season_end,is_home,home,away,MON
2024-25,1610612753,ORL,Orlando Magic,42400115,2025-04-29,ORL @ BOS,L,48.0,94.0,95.7,126.9,129.0,-32.9,-33.3,0.576,1.58,14.5,0.333,0.853,0.527,0.129,0.42,0.456,94.6,93.0,77.5,93,0.314,1,79,79,79,11,142,142,148,82,82,116,47,5,40,60,150,150,113,149,1,2024,2025,False,BOS,ORL,APR
2024-25,1610612753,ORL,Orlando Magic,42400114,2025-04-27,ORL vs. BOS,L,48.0,98.2,105.4,116.2,115.1,-18.0,-9.7,0.605,2.3,17.8,0.269,0.727,0.479,0.108,0.477,0.506,95.9,93.0,77.5,93,0.418,1,79,79,79,11,113,93,117,65,35,61,110,49,106,29,124,131,113,124,1,2024,2025,True,ORL,BOS,APR
2024-25,1610612753,ORL,Orlando Magic,42400113,2025-04-25,ORL vs. BOS,W,48.0,101.7,105.6,96.2,102.2,5.5,3.4,0.471,1.14,12.6,0.396,0.674,0.521,0.156,0.458,0.503,95.1,90.5,75.42,90,0.481,1,1,1,1,11,112,34,61,135,127,142,12,99,49,103,134,134,131,90,1,2024,2025,True,ORL,BOS,APR
2024-25,1610612753,ORL,Orlando Magic,42400112,2025-04-23,ORL @ BOS,L,48.0,108.0,113.6,117.8,122.5,-9.8,-8.8,0.462,2.57,15.4,0.261,0.604,0.436,0.08,0.518,0.54,92.5,88.5,73.75,88,0.449,1,79,79,79,11,73,123,114,139,29,101,117,143,140,7,84,97,143,107,1,2024,2025,False,BOS,ORL,APR
2024-25,1610612753,ORL,Orlando Magic,42400111,2025-04-20,ORL @ BOS,L,48.0,97.9,98.9,112.1,118.4,-14.1,-19.5,0.5,1.13,14.2,0.32,0.674,0.49,0.172,0.481,0.501,89.9,87.0,72.5,87,0.377,1,79,79,79,11,136,106,135,121,128,124,61,103,93,127,121,135,155,139,1,2024,2025,False,BOS,ORL,APR
