GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Players,2760,Anderson Varejao,Anderson,1610612744,GSW,33.0,1,1,0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0,0,0.0,404,362,407,1,386,342,379,342,209,275,209,299,312,299,270,356,370,287,282,237,200,206,375,326,359,54,400,190,13,400
Players,2738,Andre Iguodala,Andre,1610612744,GSW,32.0,22,20,2,0.909,88.87666666666667,5.4,9.7,0.556,2.2,3.8,0.571,3.2,5.4,0.6,1.1,5.9,7.0,5.4,2.2,1.6,0.5,0.0,4.3,3.8,16.2,35.6,37.0,1,0,35.1,182,45,329,31,121,191,265,71,96,200,26,231,214,239,219,200,228,73,141,98,174,206,284,217,197,47,195,125,13,198
Players,101106,Andrew Bogut,Andrew,1610612744,GSW,31.0,16,14,2,0.875,40.695,3.5,5.9,0.6,0.0,0.0,0.0,5.9,9.4,0.625,3.5,13.0,16.5,3.5,1.2,1.2,2.4,0.0,9.4,7.1,13.0,8.3,47.5,2,0,40.1,222,119,329,34,213,266,340,59,209,275,209,144,115,234,101,24,43,121,234,154,64,206,79,95,243,144,112,103,13,149
Players,201575,Brandon Rush,Brandon,1610612744,GSW,30.0,6,3,3,0.5,11.381666666666666,4.2,8.4,0.5,4.2,8.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,4.2,0.0,0.0,0.0,12.7,29.5,21.1,0,0,25.3,312,293,311,188,318,235,298,98,26,83,30,299,312,299,270,356,370,287,46,237,27,206,375,326,247,58,334,190,13,290
Players,203110,Draymond Green,Draymond,1610612744,GSW,26.0,33,30,3,0.909,139.67333333333335,7.2,16.8,0.429,0.3,4.5,0.077,5.2,7.6,0.682,5.8,15.1,21.0,8.9,3.8,1.4,2.7,1.4,7.2,8.6,19.9,40.2,67.1,13,4,58.4,81,2,311,31,40,127,141,161,205,181,206,164,151,208,42,13,14,32,64,128,50,98,131,65,160,41,29,26,3,39
Players,203105,Festus Ezeli,Festus,1610612744,GSW,26.0,6,6,0,1.0,18.64,5.2,10.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,10.3,5.2,15.5,0.0,2.6,0.0,0.0,2.6,7.7,0.0,10.3,20.6,26.3,2,0,25.8,312,235,407,1,287,207,259,98,209,275,209,299,312,299,14,231,49,287,118,237,200,40,116,326,282,88,291,103,13,288
Players,203084,Harrison Barnes,Harrison,1610612744,GSW,24.0,24,20,4,0.833,77.225,5.6,10.6,0.529,2.5,6.8,0.364,2.5,3.1,0.8,2.5,3.7,6.2,0.6,1.2,0.0,0.0,0.0,6.2,1.9,16.2,44.8,23.3,1,0,25.5,163,45,285,38,143,184,252,89,81,122,82,252,265,144,138,297,253,276,230,237,200,206,177,293,199,37,320,125,13,289
Players,203546,Ian Clark,Ian,1610612744,GSW,25.0,4,4,0,1.0,11.796666666666669,4.1,8.1,0.5,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,4.1,0.0,8.1,-4.1,4.1,0,0,8.1,339,270,407,1,315,245,304,98,209,191,209,299,312,299,270,356,370,287,53,237,200,206,299,326,313,245,397,190,13,396
Players,1626172,Kevon Looney,Kevon,1610612744,GSW,20.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,404,362,407,1,434,342,379,342,209,275,209,299,312,299,270,356,370,287,282,237,200,206,375,326,359,206,400,190,13,400
Players,202691,Klay Thompson,Klay,1610612744,GSW,26.0,32,28,4,0.875,121.12166666666668,7.9,18.2,0.435,4.4,10.7,0.407,6.7,7.5,0.895,0.0,5.5,5.5,2.4,0.8,0.8,1.6,1.2,2.8,5.2,26.9,38.8,43.5,0,0,44.0,94,4,285,34,70,108,120,156,23,40,70,117,153,87,270,216,279,179,260,194,96,114,349,153,83,44,147,190,13,119
Players,2571,Leandro Barbosa,Leandro,1610612744,GSW,33.0,6,5,1,0.833,8.013333333333334,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,65.9,25.2,0,0,18.0,312,252,363,38,346,342,219,342,209,275,209,299,312,299,270,195,260,287,282,9,200,12,375,326,359,27,302,190,13,348
Players,201578,Marreese Speights,Marreese,1610612744,GSW,28.0,3,3,0,1.0,5.421666666666667,17.7,17.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,17.7,0.0,0.0,0.0,0.0,0.0,0.0,8.9,35.4,79.7,56.7,0,0,53.1,357,293,407,1,361,10,130,1,209,275,209,299,312,299,270,9,32,287,282,237,200,206,375,60,44,17,64,190,13,69
Players,2733,Shaun Livingston,Shaun,1610612744,GSW,30.0,24,21,3,0.875,69.72666666666667,4.1,6.9,0.6,0.0,0.0,0.0,4.8,4.8,1.0,2.1,3.4,5.5,2.8,0.7,1.4,1.4,0.0,6.2,4.1,13.1,35.1,31.4,0,0,26.8,163,33,311,34,154,240,322,59,209,275,209,180,233,1,162,312,282,161,268,127,106,206,178,202,241,48,250,190,13,278
Players,201939,Stephen Curry,Stephen,1610612744,GSW,28.0,31,27,4,0.871,122.28666666666666,14.9,33.8,0.442,6.3,16.5,0.381,17.7,19.2,0.918,2.4,7.5,9.8,5.9,5.9,2.4,0.0,1.6,2.7,13.3,53.8,40.4,75.6,9,0,80.5,100,8,285,37,68,20,16,152,6,8,76,16,25,75,144,143,157,60,17,55,200,86,351,20,11,40,16,41,13,8
