close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
1641717,Cason Wallace,1610612760,OKC,G,21.0,68,68,0.528,2.54,6.26,0.406,0.366,0.04
1628392,Isaiah Hartenstein,1610612760,OKC,C-F,27.0,57,56,0.401,2.3,6.0,0.383,0.367,0.016
1628983,Shai Gilgeous-Alexander,1610612760,OKC,G,26.0,76,76,0.479,1.99,5.99,0.332,0.365,-0.034
1629652,Luguentz Dort,1610612760,OKC,G,26.0,71,70,0.548,1.92,5.79,0.331,0.37,-0.039
1631096,Chet Holmgren,1610612760,OKC,C-F,23.0,32,31,0.367,2.09,5.44,0.385,0.367,0.018
1630598,Aaron Wiggins,1610612760,OKC,G,26.0,76,76,0.456,1.61,4.76,0.337,0.36,-0.023
1631119,Jaylin Williams,1610612760,OKC,F,22.0,47,46,0.454,1.3,4.36,0.298,0.357,-0.059
1627936,Alex Caruso,1610612760,OKC,G,31.0,54,51,0.447,1.22,4.0,0.306,0.369,-0.063
1630198,Isaiah Joe,1610612760,OKC,G,25.0,74,72,0.506,1.38,3.92,0.352,0.369,-0.017
1631114,Jalen Williams,1610612760,OKC,G-F,24.0,69,67,0.377,1.22,3.7,0.329,0.366,-0.037
1642349,Ajay Mitchell,1610612760,OKC,G,22.0,36,33,0.446,0.67,2.5,0.267,0.347,-0.081
1642382,Branden Carlson,1610612760,OKC,C,25.0,24,17,0.403,0.75,2.42,0.31,0.36,-0.049
1629026,Kenrich Williams,1610612760,OKC,G-F,30.0,69,62,0.463,0.78,2.39,0.327,0.357,-0.03
1631172,Ousmane Dieng,1610612760,OKC,F,22.0,34,29,0.455,0.71,2.35,0.3,0.351,-0.051
1641794,Dillon Jones,1610612760,OKC,F,23.0,47,39,0.49,0.68,2.13,0.32,0.356,-0.036
1642505,Alex Ducas,1610612760,OKC,G,24.0,13,9,0.525,0.69,1.62,0.429,0.352,0.077
1641745,Adam Flagler,1610612760,OKC,G,25.0,22,15,0.479,0.45,1.59,0.286,0.355,-0.069
1642502,Malevy Leons,1610612760,OKC,F,25.0,4,3,0.571,0.5,1.0,0.5,0.319,0.181
