SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,AVAILABLE_FLAG
2023-24,1610612742,DAL,Dallas Mavericks,0042300405,2024-06-17T00:00:00,DAL @ BOS,L,53.9,6.7,6.7,10.1,47.2,19.1,12.4,18.0,47.2,0,0,0,83,7,155,141,117,89,119,77,141,73,1
2023-24,1610612738,BOS,Boston Celtics,0042300405,2024-06-17T00:00:00,BOS vs. DAL,W,53.9,19.1,12.4,18.0,47.2,6.7,6.7,10.1,47.2,0,0,0,1,7,47,87,25,89,10,24,47,73,1
2023-24,1610612742,DAL,Dallas Mavericks,0042300404,2024-06-14T00:00:00,DAL vs. BOS,W,50.0,17.7,16.7,11.5,62.5,9.4,2.1,6.3,27.1,0,0,0,1,7,62,36,100,15,29,4,15,2,1
2023-24,1610612738,BOS,Boston Celtics,0042300404,2024-06-14T00:00:00,BOS @ DAL,L,50.0,9.4,2.1,6.3,27.1,17.7,16.7,11.5,62.5,0,0,0,83,7,136,161,150,163,102,129,66,149,1
2023-24,1610612738,BOS,Boston Celtics,0042300403,2024-06-12T00:00:00,BOS @ DAL,W,52.2,14.1,6.5,13.0,39.1,13.0,15.2,13.0,56.5,0,0,0,1,7,87,143,78,131,63,111,86,130,1
2023-24,1610612742,DAL,Dallas Mavericks,0042300403,2024-06-12T00:00:00,DAL vs. BOS,L,51.6,12.9,15.1,12.9,55.9,14.0,6.5,12.9,38.7,0,0,0,83,7,101,54,81,37,75,20,84,28,1
2023-24,1610612738,BOS,Boston Celtics,0042300402,2024-06-09T00:00:00,BOS vs. DAL,W,50.5,22.1,10.5,15.8,48.4,12.6,13.7,7.4,56.8,0,0,0,1,7,23,108,44,81,58,96,25,134,1
2023-24,1610612742,DAL,Dallas Mavericks,0042300402,2024-06-09T00:00:00,DAL @ BOS,L,51.6,12.9,14.0,7.5,58.1,22.6,10.8,16.1,49.5,0,0,0,83,7,101,62,136,23,144,60,124,98,1
2023-24,1610612742,DAL,Dallas Mavericks,0042300401,2024-06-06T00:00:00,DAL @ BOS,L,51.1,13.8,17.0,6.4,48.9,19.1,10.6,10.6,40.4,0,0,0,83,7,91,34,149,74,121,57,54,38,1
2023-24,1610612738,BOS,Boston Celtics,0042300401,2024-06-06T00:00:00,BOS vs. DAL,W,51.6,19.4,10.8,10.8,40.9,14.0,17.2,6.5,49.5,0,0,0,1,7,43,104,110,123,75,131,17,98,1
