season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2021-22,1610612763,42100151,2022-04-16,MIN,MEM,1610612750,117,130,L,-13,rnd1,1
2021-22,1610612763,42100152,2022-04-19,MIN,MEM,1610612750,124,96,W,28,rnd1,2
2021-22,1610612763,42100153,2022-04-21,MEM,MIN,1610612750,104,95,W,9,rnd1,3
2021-22,1610612763,42100154,2022-04-23,MEM,MIN,1610612750,118,119,L,-1,rnd1,4
2021-22,1610612763,42100155,2022-04-26,MIN,MEM,1610612750,111,109,W,2,rnd1,5
2021-22,1610612763,42100156,2022-04-29,MEM,MIN,1610612750,114,106,W,8,rnd1,6
2021-22,1610612763,42100231,2022-05-01,GSW,MEM,1610612744,116,117,L,-1,sf,1
2021-22,1610612763,42100232,2022-05-03,GSW,MEM,1610612744,106,101,W,5,sf,2
2021-22,1610612763,42100233,2022-05-07,MEM,GSW,1610612744,112,142,L,-30,sf,3
2021-22,1610612763,42100234,2022-05-09,MEM,GSW,1610612744,98,101,L,-3,sf,4
2021-22,1610612763,42100235,2022-05-11,GSW,MEM,1610612744,134,95,W,39,sf,5
2021-22,1610612763,42100236,2022-05-13,MEM,GSW,1610612744,96,110,L,-14,sf,6
