group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,team
Players,203552,Seth Curry,Seth,1610612751,BKN,31.0,36,19,17,0.528,4.0,0.6,1.0,0.611,0.3,0.5,0.5,0.1,0.2,0.833,0.0,0.4,0.4,0.4,0.1,0.1,0.0,0.0,0.4,0.3,1.6,0.9,2.8,1,0,2.8,17,32,31,197,44,77,126,76,54,120,37,245,257,122,290,181,248,74,180,193,195,195,119,158,107,120,129,133,28,117,BKN
Players,201949,James Johnson,James,1610612751,BKN,35.0,18,10,8,0.556,3.8,0.3,0.8,0.429,0.1,0.3,0.2,0.3,0.4,0.625,0.2,0.7,0.8,0.5,0.1,0.1,0.1,0.0,0.6,0.3,1.0,0.2,3.4,1,0,2.8,193,156,200,178,60,194,195,192,219,229,204,169,137,241,119,55,73,44,245,103,76,200,49,138,185,200,90,133,28,116,BKN
Players,1628971,Bruce Brown,Bruce,1610612751,BKN,25.0,24,11,13,0.458,2.4,0.2,0.5,0.417,0.1,0.1,0.667,0.1,0.1,0.667,0.2,0.3,0.5,0.0,0.1,0.0,0.0,0.0,0.3,0.2,0.6,-0.3,1.4,0,0,1.4,128,136,97,278,282,273,291,206,186,304,24,280,285,219,119,203,174,293,212,217,169,200,234,246,293,266,307,206,28,295,BKN
Players,201988,Patty Mills,Patty,1610612751,BKN,33.0,36,19,17,0.528,3.1,0.4,0.8,0.481,0.2,0.5,0.389,0.1,0.1,0.75,0.1,0.3,0.4,0.1,0.1,0.1,0.0,0.1,0.2,0.2,1.0,1.1,1.7,0,0,1.8,17,32,31,197,159,185,205,153,92,120,98,280,292,173,258,229,262,240,245,193,199,148,333,233,185,95,256,206,28,241,BKN
Players,1630560,Cam Thomas,Cam,1610612751,BKN,20.0,10,3,7,0.3,2.3,0.5,1.4,0.357,0.2,0.7,0.286,0.3,0.4,0.75,0.0,0.5,0.5,0.2,0.2,0.0,0.0,0.1,0.2,0.2,1.5,0.1,2.2,0,0,2.4,269,304,216,410,304,107,72,260,76,62,161,151,151,173,290,105,174,159,82,247,199,80,313,212,119,209,198,206,28,157,BKN
Players,1630549,Day'Ron Sharpe,Day'Ron,1610612751,BKN,20.0,5,1,4,0.2,1.1,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.4,-1.0,1.2,1,0,1.0,343,375,287,429,430,276,397,1,252,333,252,305,316,305,290,306,356,307,275,33,199,200,313,344,332,332,333,133,28,344,BKN
Players,1629651,Nic Claxton,Nic,1610612751,BKN,23.0,15,8,7,0.533,3.0,0.4,0.7,0.6,0.0,0.0,0.0,0.1,0.3,0.4,0.5,0.4,0.9,0.1,0.0,0.1,0.1,0.1,0.4,0.3,0.9,-0.9,2.5,2,0,2.1,214,200,216,195,194,155,231,79,252,333,252,249,177,295,28,173,69,272,275,171,130,132,131,178,218,323,166,96,28,192,BKN
Players,203925,Joe Harris,Joe,1610612751,BKN,30.0,5,4,1,0.8,2.4,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.8,3.2,0.6,0,0,0.8,343,275,398,45,280,155,332,1,252,333,252,305,316,305,290,380,406,307,82,247,199,200,313,344,245,21,397,206,28,380,BKN
Players,200746,LaMarcus Aldridge,LaMarcus,1610612751,BKN,36.0,16,10,6,0.625,3.5,0.6,1.3,0.45,0.0,0.0,0.0,0.7,0.8,0.846,0.6,0.6,1.1,0.2,0.0,0.1,0.3,0.1,0.4,0.5,1.8,1.9,4.4,2,0,3.8,207,156,243,98,108,87,88,172,252,333,252,53,57,120,17,89,29,173,275,179,20,135,151,71,84,51,42,96,28,62,BKN
Players,1630556,Kessler Edwards,Kessler,1610612751,BKN,21.0,11,3,8,0.273,3.2,0.1,0.6,0.143,0.0,0.5,0.0,0.1,0.2,0.5,0.1,0.5,0.5,0.0,0.0,0.1,0.2,0.0,0.5,0.1,0.3,-1.1,1.7,1,0,1.4,254,304,200,415,143,342,253,356,252,142,252,271,248,260,212,145,166,307,275,130,43,200,95,314,363,355,252,133,28,298,BKN
Players,1630561,David Duke Jr.,David,1610612751,BKN,22.0,6,3,3,0.5,2.7,0.2,1.0,0.167,0.2,0.7,0.25,0.3,0.3,1.0,0.7,0.5,1.2,0.2,0.0,0.0,0.2,0.2,0.0,0.5,0.8,0.5,3.0,2,0,2.7,326,304,321,206,232,302,126,351,107,66,180,129,177,1,9,105,26,187,275,247,48,37,388,71,233,160,118,96,28,133,BKN
Players,201142,Kevin Durant,Kevin,1610612751,BKN,33.0,28,17,11,0.607,4.1,1.3,3.2,0.416,0.3,1.0,0.286,1.0,1.0,0.931,0.1,0.9,1.0,0.5,0.2,0.0,0.1,0.1,0.4,0.8,3.9,1.0,6.1,13,3,6.0,79,43,133,120,40,1,4,213,34,16,161,24,33,93,193,24,52,44,72,230,60,123,168,28,8,99,10,30,9,7,BKN
Players,202681,Kyrie Irving,Kyrie,1610612751,BKN,30.0,15,5,10,0.333,3.5,0.7,2.1,0.355,0.2,0.8,0.25,1.0,1.1,0.882,0.1,0.3,0.4,0.5,0.1,0.0,0.1,0.0,0.2,0.7,2.7,0.3,3.9,1,0,3.9,214,247,149,378,105,56,30,261,76,49,180,16,23,106,248,203,233,58,152,247,130,200,313,32,30,177,64,133,28,55,BKN
Players,201609,Goran Dragic,Goran,1610612751,BKN,36.0,12,4,8,0.333,2.0,0.1,0.3,0.333,0.0,0.2,0.0,0.2,0.2,1.0,0.1,0.1,0.2,0.2,0.2,0.1,0.0,0.0,0.3,0.1,0.3,0.5,0.9,0,0,0.8,244,275,200,378,337,352,386,267,252,280,252,217,257,1,223,372,374,187,103,146,199,200,270,320,348,160,378,206,28,378,BKN
Players,203083,Andre Drummond,Andre,1610612751,BKN,28.0,15,6,9,0.4,2.8,0.5,0.7,0.636,0.0,0.0,0.0,0.3,0.7,0.455,0.9,0.7,1.7,0.0,0.1,0.1,0.4,0.0,0.2,0.5,1.3,-0.1,4.5,9,0,3.9,214,231,176,332,219,135,211,71,252,333,252,129,68,293,6,45,7,307,152,171,6,200,313,67,153,241,36,41,28,55,BKN
Players,201933,Blake Griffin,Blake,1610612751,BKN,33.0,15,7,8,0.467,2.2,0.2,0.3,0.6,0.1,0.2,0.333,0.0,0.0,0.0,0.2,0.3,0.5,0.5,0.1,0.1,0.0,0.0,0.5,0.2,0.5,1.6,1.9,0,0,1.6,214,211,200,274,311,276,352,79,208,260,118,305,316,305,92,262,202,58,233,171,199,200,89,212,326,63,239,206,28,261,BKN
