close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fg2m,fg2a,fg2_pct,ns_fg2_pct,plusminus
202696,Nikola Vučević,1610612741,CHI,C,31.0,73,73,0.788,8.23,15.75,0.523,0.547,-0.025
1628366,Lonzo Ball,1610612741,CHI,G,24.0,35,35,0.648,4.63,9.37,0.494,0.522,-0.028
1627936,Alex Caruso,1610612741,CHI,G,28.0,41,41,0.605,3.93,7.0,0.561,0.518,0.043
1629632,Coby White,1610612741,CHI,G,22.0,61,61,0.653,3.87,7.0,0.553,0.519,0.034
1630245,Ayo Dosunmu,1610612741,CHI,G,22.0,77,76,0.714,3.62,6.81,0.532,0.515,0.017
201942,DeMar DeRozan,1610612741,CHI,G-F,32.0,76,76,0.672,3.72,6.74,0.553,0.528,0.025
203897,Zach LaVine,1610612741,CHI,G-F,27.0,67,66,0.544,3.19,6.33,0.505,0.524,-0.019
1630172,Patrick Williams,1610612741,CHI,F,20.0,17,17,0.667,3.06,5.76,0.531,0.513,0.017
202684,Tristan Thompson,1610612741,CHI,C-F,31.0,57,57,0.755,2.89,5.58,0.519,0.543,-0.025
1629750,Javonte Green,1610612741,CHI,G-F,28.0,65,65,0.64,2.83,5.48,0.517,0.528,-0.011
1628972,Troy Brown Jr.,1610612741,CHI,G-F,22.0,61,59,0.646,2.7,4.93,0.548,0.512,0.036
1627884,Derrick Jones Jr.,1610612741,CHI,F,25.0,49,47,0.662,2.47,4.92,0.502,0.546,-0.044
1628396,Tony Bradley,1610612741,CHI,C-F,24.0,53,52,0.773,1.91,4.83,0.395,0.549,-0.154
1630792,Malcolm Hill,1610612741,CHI,F,26.0,14,13,0.674,2.29,4.14,0.552,0.525,0.027
1629076,Tyler Cook,1610612741,CHI,F,24.0,20,18,0.742,1.8,3.45,0.522,0.539,-0.017
1629744,Matt Thomas,1610612741,CHI,G,27.0,33,29,0.685,1.58,3.42,0.46,0.522,-0.061
1628035,Alfonzo McKinnie,1610612741,CHI,F,29.0,13,12,0.672,1.85,3.15,0.585,0.528,0.057
1630250,Marko Simonovic,1610612741,CHI,C,22.0,8,8,0.692,0.75,2.25,0.333,0.548,-0.215
1628395,Jordan Bell,1610612741,CHI,F,27.0,1,1,1.0,2.0,2.0,1.0,0.526,0.475
1629653,Devon Dotson,1610612741,CHI,G,22.0,8,7,0.652,1.13,1.88,0.6,0.493,0.107
