close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fg2m,fg2a,fg2_pct,ns_fg2_pct,plusminus
203110,Draymond Green,1610612744,GSW,F,28.0,21,21,0.689,5.62,12.48,0.45,0.536,-0.086
201939,Stephen Curry,1610612744,GSW,G,30.0,15,15,0.641,4.13,8.93,0.463,0.539,-0.076
201142,Kevin Durant,1610612744,GSW,F,29.0,21,21,0.579,3.71,7.86,0.473,0.536,-0.063
1626172,Kevon Looney,1610612744,GSW,F,22.0,20,19,0.704,3.65,7.6,0.48,0.536,-0.055
202691,Klay Thompson,1610612744,GSW,G,28.0,21,21,0.638,3.05,6.62,0.46,0.527,-0.067
201580,JaVale McGee,1610612744,GSW,C,30.0,12,12,0.71,2.75,5.92,0.465,0.525,-0.06
2738,Andre Iguodala,1610612744,GSW,F-G,34.0,15,15,0.59,2.07,4.13,0.5,0.516,-0.016
2561,David West,1610612744,GSW,F,37.0,17,16,0.686,1.76,4.12,0.429,0.509,-0.081
1628395,Jordan Bell,1610612744,GSW,C-F,23.0,17,14,0.67,1.53,3.71,0.413,0.529,-0.116
1626188,Quinn Cook,1610612744,GSW,G,25.0,14,12,0.719,2.0,3.29,0.609,0.501,0.108
2733,Shaun Livingston,1610612744,GSW,G,32.0,21,21,0.637,1.81,3.1,0.585,0.538,0.047
201156,Nick Young,1610612744,GSW,G-F,33.0,17,16,0.578,1.06,2.18,0.486,0.536,-0.05
2585,Zaza Pachulia,1610612744,GSW,C,34.0,5,4,0.692,1.0,1.8,0.556,0.528,0.028
1627745,Damian Jones,1610612744,GSW,C,23.0,4,3,0.714,1.0,1.25,0.8,0.501,0.299
1627775,Patrick McCaw,1610612744,GSW,G,22.0,2,1,0.5,0.5,0.5,1.0,0.606,0.394
