player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank
1889,Andre Miller,Andre,1610612759,SAS,40.0,7,2,5,0.286,14.0,0.2,0.0,0.136,0.0,0.0,0.222,0.167,0.333,0.111,0.167,0.75,0.667,0.0,0.0,0.333,0.286,0.25,0.08,301,326,153,370,299,115,342,243,209,275,115,171,84,301,215,9,434,237,200,369,346,90,316
1626246,Boban Marjanović,Boban,1610612759,SAS,27.0,2,2,0,1.0,12.0,0.083,0.0,0.0,0.0,0.0,0.667,0.333,0.333,0.5,0.455,0.0,0.333,0.0,0.0,0.0,0.143,0.2,0.087,374,326,1,1,313,331,342,379,209,275,7,50,84,8,18,287,380,237,200,1,133,134,306
2564,Boris Diaw,Boris,1610612759,SAS,34.0,6,6,0,1.0,14.0,0.081,0.091,0.038,0.0,0.0,0.1,0.118,0.125,0.2,0.167,0.167,0.5,0.0,0.0,0.0,0.333,0.083,0.086,312,235,1,1,300,333,281,372,209,275,235,223,190,172,215,153,423,237,200,1,376,268,308
201980,Danny Green,Danny,1610612759,SAS,29.0,25,17,8,0.68,69.0,0.127,0.115,0.136,0.222,0.379,0.048,0.054,0.05,0.156,0.123,0.208,0.308,0.222,0.286,0.167,0.138,0.079,0.103,151,88,204,59,157,249,252,245,118,38,279,290,255,233,285,124,375,128,95,285,128,278,276
2561,David West,David,1610612759,SAS,35.0,7,4,3,0.571,23.0,0.043,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.063,0.05,0.0,0.0,0.5,0.667,0.0,0.556,0.0,0.0,301,270,109,127,271,383,342,362,209,275,299,312,270,342,360,287,1,15,18,1,420,326,359
203613,Jonathon Simmons,Jonathon,1610612759,SAS,26.0,5,4,1,0.8,11.0,0.25,0.429,0.333,0.0,0.0,0.0,0.1,0.333,0.0,0.091,0.0,0.0,0.0,0.0,1.0,0.0,0.143,0.286,329,270,31,42,323,66,18,30,209,275,299,243,84,356,330,287,1,237,200,430,1,206,60
202695,Kawhi Leonard,Kawhi,1610612759,SAS,25.0,24,16,8,0.667,88.0,0.253,0.254,0.277,0.3,0.294,0.347,0.292,0.286,0.288,0.287,0.132,0.095,0.182,0.188,0.2,0.216,0.298,0.279,163,99,204,61,122,64,92,68,76,93,49,74,105,75,87,185,205,154,138,301,265,65,64
2755,Kevin Martin,Kevin,1610612759,SAS,33.0,14,7,7,0.5,46.0,0.224,0.208,0.274,0.667,0.571,0.163,0.157,0.154,0.205,0.192,0.071,0.133,0.167,0.0,0.143,0.261,0.129,0.202,242,215,188,188,202,89,139,71,15,6,163,181,173,168,190,256,245,158,200,275,327,222,144
203937,Kyle Anderson,Kyle,1610612759,SAS,22.0,10,8,2,0.8,15.0,0.159,0.385,0.25,0.333,0.25,0.133,0.1,0.0,0.222,0.2,0.3,0.0,0.0,0.0,0.0,0.167,0.071,0.295,277,195,75,42,296,182,24,90,59,121,192,243,270,147,178,80,1,237,200,1,171,286,55
200746,LaMarcus Aldridge,LaMarcus,1610612759,SAS,30.0,26,19,7,0.731,80.0,0.209,0.183,0.217,0.0,0.028,0.316,0.271,0.24,0.34,0.308,0.122,0.15,0.222,0.188,0.2,0.185,0.205,0.198,144,64,188,50,137,108,175,123,209,269,56,88,130,37,75,200,263,128,138,301,213,130,149
1938,Manu Ginobili,Manu,1610612759,SAS,38.0,16,9,7,0.563,33.0,0.221,0.267,0.231,0.333,0.333,0.263,0.345,0.067,0.16,0.125,0.167,0.083,0.333,0.2,0.0,0.231,0.333,0.268,222,182,188,136,235,98,84,111,59,61,91,49,237,227,278,153,189,52,131,1,282,44,74
201988,Patty Mills,Patty,1610612759,SAS,27.0,16,12,4,0.75,24.0,0.222,0.24,0.265,0.5,0.471,0.158,0.15,0.4,0.105,0.207,0.25,0.167,0.667,0.0,0.0,0.0,0.25,0.24,222,144,127,44,265,91,107,78,21,20,169,186,68,310,169,102,275,7,200,1,1,90,100
2446,Rasual Butler,Rasual,1610612759,SAS,37.0,2,2,0,1.0,9.0,0.048,0.143,0.067,0.5,0.2,0.0,0.0,0.0,0.182,0.167,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.13,374,326,1,1,338,381,222,352,21,156,299,312,270,195,215,287,1,237,107,1,1,326,243
203492,Ray McCallum,Ray,1610612759,SAS,25.0,1,0,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,404,408,31,408,409,1,342,1,209,275,299,312,270,1,1,287,435,237,200,430,1,326,359
1495,Tim Duncan,Tim,1610612759,SAS,40.0,19,12,7,0.632,59.0,0.126,0.098,0.089,0.0,0.0,0.133,0.162,0.375,0.175,0.232,0.333,0.353,0.0,0.333,0.143,0.231,0.12,0.101,203,144,188,92,174,252,275,321,209,275,192,175,72,208,139,66,404,237,70,275,282,233,281
2225,Tony Parker,Tony,1610612759,SAS,34.0,24,17,7,0.708,78.0,0.254,0.328,0.283,0.222,0.185,0.186,0.25,0.045,0.063,0.057,0.256,0.143,0.2,0.0,0.4,0.176,0.279,0.289,163,88,188,55,141,63,51,63,118,172,144,100,260,342,358,100,250,139,200,390,194,76,58
