group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,team
Players,203482,Kelly Olynyk,Kelly,1610612748,MIA,28.0,26,13,13,0.5,48.836666666666666,3,2,0,10,13,15,10,42,0,0,6,9,41.1,127,117,315,178,196,131,160,182,119,240,259,282,249,217,1,262,84,179,MIA
Players,1626159,Justise Winslow,Justise,1610612748,MIA,23.0,28,13,15,0.464,96.03,2,2,2,16,37,28,15,74,2,3,24,8,65.7,104,117,354,247,95,161,160,107,82,395,355,339,332,80,384,448,101,115,MIA
Players,201609,Goran Dragic,Goran,1610612748,MIA,33.0,17,7,10,0.412,46.63166666666667,2,6,2,8,8,14,10,34,0,2,4,4,37.7,207,223,264,306,202,161,71,107,143,185,251,282,229,217,333,211,173,188,MIA
Players,201583,Ryan Anderson,Ryan,1610612748,MIA,31.0,2,2,0,1.0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,1.2,388,331,1,1,413,229,235,182,315,1,1,1,1,217,1,1,329,390,MIA
Players,1627884,Derrick Jones Jr.,Derrick,1610612748,MIA,22.0,14,10,4,0.714,21.926666666666662,3,0,1,6,7,4,0,18,1,0,2,3,16.0,240,167,129,37,271,131,235,170,163,174,131,1,167,130,1,140,191,266,MIA
Players,1626196,Josh Richardson,Josh,1610612748,MIA,25.0,38,20,18,0.526,129.95166666666665,8,11,9,22,46,37,21,110,1,5,11,18,122.6,32,35,405,168,41,58,30,18,60,420,404,384,408,130,422,353,38,49,MIA
Players,201949,James Johnson,James,1610612748,MIA,32.0,13,6,7,0.462,41.748333333333335,2,0,2,2,4,6,12,24,2,0,2,5,29.1,250,240,203,250,215,161,235,107,249,134,166,306,188,80,1,140,153,210,MIA
Players,1628389,Bam Adebayo,Bam,1610612748,MIA,21.0,31,14,17,0.452,91.67333333333332,4,4,0,18,29,31,8,82,2,0,5,15,81.7,82,102,386,259,107,110,113,182,77,361,378,246,355,80,1,237,54,94,MIA
Players,2548,Dwyane Wade,Dwyane,1610612748,MIA,37.0,36,18,18,0.5,113.01833333333332,15,9,7,36,32,38,22,102,3,1,13,9,157.8,43,60,405,178,61,12,41,30,28,378,407,395,399,51,229,390,84,26,MIA
Players,203079,Dion Waiters,Dion,1610612748,MIA,27.0,16,3,13,0.188,56.18,0,0,0,2,15,26,13,62,0,1,6,2,17.4,220,301,315,409,174,229,235,182,249,268,343,317,307,217,229,262,223,262,MIA
Players,1629130,Duncan Robinson,Duncan,1610612748,MIA,25.0,2,1,1,0.5,1.4683333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,388,365,19,178,423,229,235,182,315,1,1,1,1,217,1,1,329,405,MIA
Players,202355,Hassan Whiteside,Hassan,1610612748,MIA,30.0,23,11,12,0.478,56.395,0,0,0,12,12,12,20,44,3,1,7,8,63.8,153,149,299,233,173,229,235,182,104,230,238,379,254,51,229,285,101,119,MIA
