GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK
Players,203940,Adreian Payne,Adreian,1610612750,MIN,25.0,2,1,1,0.5,0.1,0.0,0.0,0.0,100.0,100.0,100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.76,317.65,264.71,317.65,0.0,1,0,0,0.0,0.0,0.0,374,362,31,188,423,415,415,415,144,171,171,419,423,423,287,238,287,270,356,370,1,1,342,359,390,391,11,12,12,329,342,379,342,379,342
Players,203952,Andrew Wiggins,Andrew,1610612750,MIN,21.0,49,20,29,0.408,4.2,103.2,101.4,101.4,107.8,104.7,104.7,-4.7,-3.3,-3.3,0.157,0.74,8.4,0.073,0.087,0.08,11.4,11.5,0.4,0.515,0.306,0.318,100.42,102.81,85.67,102.81,0.102,424,40,100,0.8,2.0,0.4,3,45,436,287,35,243,217,217,237,251,251,240,243,243,106,198,221,91,261,198,320,321,236,216,34,33,195,212,212,155,12,9,37,26,186
Players,204014,Damjan Rudez,Damjan,1610612750,MIN,30.0,5,1,4,0.2,0.9,114.8,118.2,118.2,148.8,136.4,136.4,-34.0,-18.2,-18.2,0.0,0.0,0.0,0.0,1.0,0.125,0.0,0.0,0.0,1.136,0.071,0.066,112.59,115.75,96.46,115.75,0.103,11,0,0,0.0,0.0,0.0,329,362,127,396,387,104,40,40,416,420,420,381,346,346,287,238,287,270,1,80,1,1,342,2,353,367,52,69,69,154,342,379,342,379,342
Players,203476,Gorgui Dieng,Gorgui,1610612750,MIN,26.0,32,11,21,0.344,2.7,114.3,109.7,109.7,122.7,115.9,115.9,-8.4,-6.2,-6.2,0.109,1.67,13.2,0.096,0.217,0.16,7.9,7.7,0.614,0.731,0.161,0.177,95.16,99.99,83.32,99.99,0.163,175,13,22,0.4,0.7,0.591,94,157,402,328,216,111,113,113,365,358,358,271,275,275,145,87,152,61,46,37,255,250,79,63,178,171,331,285,285,63,88,120,143,197,66
Players,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,20.0,46,19,27,0.413,4.1,104.7,102.5,102.5,106.7,101.7,101.7,-2.0,0.8,0.8,0.082,1.0,7.6,0.115,0.186,0.151,7.6,7.6,0.567,0.618,0.185,0.194,99.57,103.11,85.93,103.11,0.174,396,36,67,0.8,1.5,0.537,9,64,433,285,43,222,206,206,227,217,217,222,190,190,190,131,231,42,77,48,243,242,100,108,143,144,219,207,207,57,17,31,47,72,84
Players,708,Kevin Garnett,Kevin,1610612750,MIN,40.0,11,5,6,0.455,2.7,74.1,71.2,71.2,83.7,85.2,85.2,-9.6,-14.1,-14.1,0.083,1.0,12.5,0.031,0.149,0.101,12.5,12.9,0.25,0.174,0.104,0.108,95.08,96.01,80.0,96.01,0.01,59,1,4,0.1,0.4,0.25,269,252,174,252,218,391,390,390,55,69,69,284,323,323,185,131,159,179,133,128,335,343,311,353,299,302,333,368,368,321,279,279,313,308,298
Players,202357,Nemanja Bjelica,Nemanja,1610612750,MIN,28.0,16,6,10,0.375,2.0,101.3,100.0,100.0,112.6,105.4,105.4,-11.3,-5.4,-5.4,0.045,0.0,14.3,0.0,0.118,0.053,0.0,0.0,0.25,0.434,0.068,0.069,102.07,106.23,88.53,106.23,0.025,70,1,4,0.1,0.3,0.25,222,235,238,308,290,267,232,232,274,260,260,300,267,267,252,238,123,270,188,275,1,1,311,277,360,364,150,157,157,307,279,279,330,345,298
Players,201937,Ricky Rubio,Ricky,1610612750,MIN,25.0,44,19,25,0.432,4.2,104.9,102.8,102.8,105.4,102.5,102.5,-0.5,0.4,0.4,0.349,2.92,36.5,0.031,0.155,0.096,12.5,12.7,0.364,0.573,0.146,0.149,99.91,102.33,85.27,102.33,0.138,387,10,33,0.2,0.8,0.303,12,64,425,268,27,220,200,200,220,222,222,213,194,194,30,41,20,184,117,149,335,338,264,148,206,215,209,225,225,98,111,83,233,174,283
Players,203498,Shabazz Muhammad,Shabazz,1610612750,MIN,23.0,23,6,17,0.261,1.9,101.1,94.7,94.7,114.1,104.9,104.9,-13.0,-10.2,-10.2,0.083,0.67,9.5,0.045,0.146,0.094,14.3,14.9,0.077,0.197,0.173,0.177,98.83,106.53,88.77,106.53,-0.056,95,1,13,0.0,0.6,0.077,173,235,341,379,298,269,298,298,290,253,253,316,307,307,185,201,210,142,139,153,358,366,341,352,163,172,242,150,150,400,279,178,337,230,341
Players,2419,Tayshaun Prince,Tayshaun,1610612750,MIN,36.0,25,11,14,0.44,2.9,94.9,92.2,92.2,95.8,93.4,93.4,-1.0,-1.2,-1.2,0.051,0.0,14.3,0.01,0.088,0.048,0.0,0.0,0.3,0.383,0.063,0.066,104.54,107.39,89.49,107.39,0.052,154,3,10,0.1,0.4,0.3,151,157,298,261,196,329,325,325,106,113,113,218,222,222,236,238,123,259,256,297,1,1,299,302,366,369,104,142,142,256,223,204,302,295,286
