player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank,team
1629014,Anfernee Simons,Anfernee,1610612757,POR,24.0,62,27,35,0.435,2171.0,0.247,0.255,0.272,0.353,0.346,0.187,0.168,0.042,0.1,0.087,0.235,0.205,0.145,0.07,0.214,0.157,0.143,0.255,203,238,420,374,72,73,65,49,28,27,190,231,505,508,521,148,382,402,434,337,100,330,65,POR
1629629,Cam Reddish,Cam,1610612757,POR,23.0,40,14,26,0.35,990.0,0.166,0.172,0.174,0.189,0.198,0.154,0.144,0.089,0.111,0.106,0.122,0.164,0.247,0.154,0.208,0.174,0.131,0.17,350,386,273,439,267,291,290,285,264,265,249,294,408,485,486,346,259,122,269,328,155,363,297,POR
1628435,Chance Comanche,Chance,1610612757,POR,27.0,1,0,1,0.0,21.0,0.14,0.2,0.135,0.0,0.0,0.111,0.308,0.667,0.143,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.364,0.163,531,528,9,528,521,403,188,443,492,524,358,57,3,394,82,525,1,513,38,1,1,26,326,POR
203081,Damian Lillard,Damian,1610612757,POR,32.0,58,27,31,0.466,2107.0,0.331,0.307,0.323,0.389,0.392,0.517,0.466,0.108,0.167,0.154,0.391,0.316,0.174,0.089,0.272,0.125,0.423,0.356,240,238,357,343,89,7,18,9,14,10,8,12,372,303,337,24,512,327,393,443,40,13,6,POR
1629234,Drew Eubanks,Drew,1610612757,POR,26.0,78,31,47,0.397,1584.0,0.122,0.161,0.119,0.017,0.016,0.125,0.148,0.399,0.284,0.312,0.133,0.144,0.169,0.548,0.069,0.259,0.188,0.138,38,191,517,412,172,470,337,485,477,493,317,278,70,84,73,314,193,337,25,66,407,216,410,POR
1630535,Greg Brown III,Greg,1610612757,POR,21.0,16,10,6,0.625,93.0,0.17,0.167,0.178,0.083,0.143,0.132,0.19,0.118,0.236,0.213,0.081,0.171,0.286,0.385,0.333,0.325,0.163,0.154,445,418,77,100,472,280,311,267,423,364,295,193,350,145,196,462,286,65,73,492,487,275,363,POR
1631133,Jabari Walker,Jabari,1610612757,POR,20.0,56,21,35,0.375,619.0,0.164,0.163,0.177,0.106,0.128,0.15,0.152,0.39,0.217,0.259,0.114,0.142,0.116,0.183,0.22,0.249,0.157,0.155,253,303,420,421,347,304,327,272,393,392,259,271,77,184,126,367,186,470,212,355,378,290,357,POR
203924,Jerami Grant,Jerami,1610612757,POR,29.0,63,28,35,0.444,2246.0,0.227,0.23,0.234,0.23,0.217,0.281,0.281,0.13,0.155,0.149,0.13,0.177,0.174,0.259,0.276,0.164,0.271,0.239,189,230,420,365,62,101,114,103,189,216,78,80,328,348,355,324,309,323,149,450,120,92,93,POR
1631219,John Butler Jr.,John,1610612757,POR,20.0,19,4,15,0.211,221.0,0.102,0.092,0.126,0.131,0.201,0.049,0.045,0.083,0.104,0.1,0.096,0.018,0.212,0.31,0.1,0.25,0.069,0.092,437,468,148,503,426,514,513,467,366,258,479,491,424,494,494,428,22,195,114,97,379,488,515,POR
1631303,Justin Minaya,Justin,1610612757,POR,24.0,4,0,4,0.0,89.0,0.123,0.09,0.134,0.143,0.19,0.0,0.02,0.188,0.231,0.221,0.075,0.2,0.133,0.417,0.0,0.265,0.028,0.08,509,528,45,528,475,466,516,449,345,281,511,515,234,151,178,483,366,434,62,1,419,522,524,POR
