season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,available_flag,season_start,season_end,is_home,home,away,MON
2020-21,1610612765,DET,Detroit Pistons,22001069,2021-05-16,DET vs. MIA,L,48.0,0.593,0.407,0.542,0.075,0.308,0.065,0.15,0.15,0.467,0.552,0.448,0.909,0.091,0.65,0.35,0,0,0,0,113,1242,909,779,1135,1334,1706,1059,984,669,724,1420,644,1460,674,1480,1,2020,2021,True,DET,MIA,MAY
2020-21,1610612765,DET,Detroit Pistons,22001054,2021-05-14,DET vs. DEN,L,48.0,0.554,0.446,0.615,0.022,0.198,0.088,0.187,0.154,0.593,0.607,0.393,0.667,0.333,0.618,0.382,0,0,0,0,113,1638,517,253,1932,2009,1381,505,916,66,387,1764,1862,223,956,1203,1,2020,2021,True,DET,DEN,MAY
2020-21,1610612765,DET,Detroit Pistons,22001033,2021-05-11,DET vs. MIN,L,48.0,0.693,0.307,0.5,0.0,0.3,0.14,0.2,0.15,0.5,0.48,0.52,0.9,0.1,0.6,0.4,0,0,0,0,113,298,1863,1148,2091,1399,597,343,973,414,1256,893,706,1397,1079,1042,1,2020,2021,True,DET,MIN,MAY
2020-21,1610612765,DET,Detroit Pistons,22001023,2021-05-09,DET vs. CHI,L,48.0,0.658,0.342,0.521,0.063,0.344,0.073,0.135,0.063,0.458,0.44,0.56,1.0,0.0,0.611,0.389,0,0,0,0,113,582,1576,970,1349,1036,1595,1302,2058,751,1516,627,1,1797,1002,1150,1,2020,2021,True,DET,CHI,MAY
2020-21,1610612765,DET,Detroit Pistons,22001013,2021-05-08,DET @ PHI,L,48.0,0.595,0.405,0.577,0.096,0.317,0.212,0.106,0.087,0.481,0.433,0.567,0.818,0.182,0.537,0.463,0,0,0,0,113,1217,936,488,789,1260,92,1758,1888,564,1555,588,1210,902,1603,541,1,2020,2021,False,PHI,DET,MAY
2020-21,1610612765,DET,Detroit Pistons,22000999,2021-05-06,DET vs. MEM,W,48.0,0.663,0.337,0.595,0.036,0.297,0.144,0.108,0.18,0.559,0.394,0.606,1.0,0.0,0.545,0.455,0,0,0,0,113,539,1615,362,1795,1429,537,1729,569,138,1757,397,1,1797,1532,615,1,2020,2021,True,DET,MEM,MAY
2020-21,1610612765,DET,Detroit Pistons,22000984,2021-05-04,DET vs. CHA,L,48.0,0.624,0.376,0.606,0.101,0.273,0.081,0.121,0.141,0.505,0.4,0.6,1.0,0.0,0.538,0.462,0,0,0,0,113,908,1245,294,717,1609,1491,1539,1140,386,1723,406,1,1797,1591,559,1,2020,2021,True,DET,CHA,MAY
2020-21,1610612765,DET,Detroit Pistons,22000975,2021-05-03,DET vs. ORL,L,48.0,0.624,0.376,0.589,0.018,0.295,0.116,0.116,0.116,0.571,0.394,0.606,1.0,0.0,0.545,0.455,0,0,0,0,113,902,1254,402,2021,1461,975,1624,1525,110,1757,397,1,1797,1532,615,1,2020,2021,True,DET,ORL,MAY
2020-21,1610612765,DET,Detroit Pistons,22000957,2021-05-01,DET @ CHA,L,48.0,0.593,0.407,0.468,0.021,0.415,0.053,0.117,0.149,0.447,0.682,0.318,0.923,0.077,0.771,0.229,0,0,0,0,113,1233,920,1471,1937,423,1860,1611,997,857,130,2025,532,1575,78,2082,1,2020,2021,False,CHA,DET,MAY
2020-21,1610612765,DET,Detroit Pistons,22000943,2021-04-29,DET vs. DAL,L,48.0,0.592,0.408,0.495,0.038,0.286,0.095,0.219,0.133,0.457,0.654,0.346,0.9,0.1,0.722,0.278,0,0,0,0,113,1261,899,1225,1745,1525,1264,192,1268,763,211,1935,706,1397,255,1898,1,2020,2021,True,DET,DAL,APR
