season,team,team_id,team_hca,team_rcp,win_pct,opp_win_pct,opp_opp_win_pct,sos_v0
2018-19,ATL,1610612737,-4.02,-8.02,0.354,0.5,0.498,0.071
2018-19,BOS,1610612738,6.78,2.1,0.598,0.488,0.499,-0.169
2018-19,CLE,1610612739,-7.34,-11.88,0.232,0.509,0.498,-0.068
2018-19,NOP,1610612740,-0.88,-1.78,0.402,0.506,0.502,-0.086
2018-19,CHI,1610612741,-9.8,-7.02,0.268,0.506,0.498,0.198
2018-19,DAL,1610612742,2.34,-4.9,0.402,0.512,0.501,0.343
2018-19,DEN,1610612743,10.51,-2.61,0.659,0.504,0.501,0.28
2018-19,GSW,1610612744,6.63,6.29,0.695,0.496,0.502,-0.301
2018-19,HOU,1610612745,7.1,2.44,0.646,0.502,0.502,-0.223
2018-19,LAC,1610612746,3.29,-1.59,0.585,0.503,0.502,-0.065
2018-19,LAL,1610612747,-0.17,-3.27,0.451,0.51,0.501,0.264
2018-19,MIA,1610612748,0.24,-0.71,0.476,0.497,0.498,-0.101
2018-19,MIL,1610612749,12.07,5.66,0.732,0.479,0.499,-0.168
2018-19,MIN,1610612750,2.88,-5.88,0.439,0.513,0.501,0.074
2018-19,BKN,1610612751,2.54,-2.68,0.512,0.492,0.499,0.157
2018-19,NYK,1610612752,-7.85,-10.56,0.207,0.513,0.497,0.104
2018-19,ORL,1610612753,2.66,-1.24,0.512,0.49,0.499,0.094
2018-19,IND,1610612754,7.63,-0.98,0.585,0.486,0.499,-0.261
2018-19,PHI,1610612755,8.05,-2.66,0.622,0.488,0.499,-0.376
2018-19,PHX,1610612756,-6.29,-12.39,0.232,0.519,0.501,0.506
2018-19,POR,1610612757,8.37,0.02,0.646,0.504,0.502,0.089
2018-19,SAC,1610612758,1.44,-3.68,0.476,0.506,0.502,0.429
2018-19,SAS,1610612759,6.85,-3.49,0.585,0.499,0.502,-0.087
2018-19,OKC,1610612760,4.85,1.95,0.598,0.502,0.502,-0.044
2018-19,TOR,1610612761,7.56,4.61,0.707,0.483,0.499,-0.467
2018-19,UTA,1610612762,7.85,2.66,0.61,0.499,0.502,-0.199
2018-19,MEM,1610612763,0.44,-5.63,0.402,0.514,0.501,0.512
2018-19,WAS,1610612764,1.76,-7.56,0.39,0.492,0.499,-0.257
2018-19,DET,1610612765,2.56,-3.05,0.5,0.492,0.499,-0.118
2018-19,CHA,1610612766,3.68,-5.88,0.476,0.496,0.498,-0.131
