group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank,team
Players,203084,Harrison Barnes,Harrison,1610612758,SAC,28.0,38,18,20,0.474,3.3,109.9,106.9,106.9,112.0,107.9,107.9,-2.1,-1.0,-1.0,0.088,1.17,10.1,0.028,0.107,0.065,8.7,8.8,0.404,0.473,0.2,0.208,103.94,107.4,89.5,107.4,0.059,276,17,47,0.4,1.2,0.362,7,31,441,226,120,221,211,211,225,232,232,213,216,216,184,121,205,204,211,240,296,296,255,275,113,121,177,189,189,259,57,44,133,88,235,SAC
Players,1628385,Harry Giles III,Harry,1610612758,SAC,22.0,10,5,5,0.5,1.4,100.4,93.3,93.3,123.8,117.1,117.1,-23.4,-23.8,-23.8,0.0,0.0,0.0,0.083,0.25,0.167,50.0,50.0,1.0,1.0,0.063,0.067,101.82,108.5,90.41,108.5,0.0,30,1,1,0.1,0.1,1.0,259,231,180,177,361,317,342,342,335,327,327,344,348,348,285,219,285,83,27,34,448,448,10,18,377,381,219,172,172,343,283,350,316,391,1,SAC
Players,202709,Cory Joseph,Cory,1610612758,SAC,28.0,31,17,14,0.548,2.4,104.1,98.1,98.1,109.2,107.1,107.1,-5.1,-9.0,-9.0,0.167,8.0,30.8,0.035,0.053,0.043,3.8,3.9,0.433,0.46,0.102,0.108,99.28,103.19,86.0,103.19,0.064,158,5,15,0.2,0.5,0.333,47,40,367,161,245,287,311,311,194,224,224,234,275,275,95,3,41,182,314,306,221,221,237,280,309,307,285,276,276,245,166,148,282,273,252,SAC
Players,202357,Nemanja Bjelica,Nemanja,1610612758,SAC,32.0,29,15,14,0.517,1.8,120.4,120.8,120.8,135.6,118.3,118.3,-15.3,2.5,2.5,0.0,0.0,0.0,0.018,0.234,0.118,0.0,0.0,0.588,0.662,0.142,0.151,98.99,105.14,87.62,105.14,0.108,120,8,17,0.3,0.6,0.471,71,62,367,172,325,124,80,80,384,336,336,305,178,178,285,219,285,239,39,98,1,1,106,94,223,218,292,235,235,152,125,132,211,235,145,SAC
Players,1627812,Yogi Ferrell,Yogi,1610612758,SAC,27.0,8,2,6,0.25,1.7,84.1,75.8,75.8,131.6,129.0,129.0,-47.5,-53.3,-53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.056,0.061,105.05,111.83,93.19,111.83,-0.022,33,0,1,0.0,0.1,0.0,285,321,208,383,339,394,397,397,373,395,395,398,413,413,285,219,285,273,346,365,1,1,340,223,387,388,153,136,136,401,340,350,340,383,340,SAC
Players,1628963,Marvin Bagley III,Marvin,1610612758,SAC,21.0,6,1,5,0.167,2.0,117.8,127.3,127.3,147.8,137.0,137.0,-29.9,-9.8,-9.8,0.111,0.0,25.0,0.214,0.0,0.125,0.0,0.0,0.667,0.727,0.107,0.124,98.48,98.88,82.4,98.88,0.072,22,2,3,0.3,0.5,0.667,316,358,180,405,299,148,45,45,413,418,418,361,282,282,150,219,55,10,346,80,1,1,65,63,294,269,301,375,375,222,233,289,180,252,40,SAC
Players,1627741,Buddy Hield,Buddy,1610612758,SAC,27.0,34,17,17,0.5,3.0,114.6,112.7,112.7,115.2,106.8,106.8,-0.6,5.8,5.8,0.067,1.0,4.9,0.05,0.144,0.09,4.9,5.0,0.492,0.553,0.297,0.307,101.99,106.69,88.91,106.69,0.134,229,25,64,0.7,1.9,0.391,24,40,410,177,178,174,142,142,267,221,221,204,154,154,213,128,267,134,126,157,235,235,201,200,45,47,216,204,204,116,23,18,54,47,217,SAC
Players,203992,Bogdan Bogdanović,Bogdan,1610612758,SAC,27.0,30,16,14,0.533,3.4,109.2,109.8,109.8,112.2,108.9,108.9,-2.9,0.9,0.9,0.203,2.0,17.9,0.008,0.122,0.06,9.0,9.0,0.478,0.515,0.225,0.23,98.83,100.0,83.34,100.0,0.097,214,18,45,0.6,1.5,0.4,56,49,367,164,100,230,180,180,226,246,246,216,189,189,72,63,118,268,182,254,300,301,212,234,84,96,293,351,351,174,52,54,78,64,191,SAC
Players,1629713,Justin James,Justin,1610612758,SAC,23.0,7,4,3,0.571,0.5,123.0,85.7,85.7,162.0,140.0,140.0,-39.1,-54.3,-54.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.143,0.205,95.76,120.41,100.34,120.41,-0.118,7,0,0,0.0,0.0,0.0,299,261,117,145,431,101,374,374,428,422,422,381,415,415,285,219,285,273,346,365,456,456,340,365,214,127,370,81,81,434,340,394,340,394,340,SAC
Players,1628368,De'Aaron Fox,De'Aaron,1610612758,SAC,22.0,21,10,11,0.476,3.2,118.6,117.4,117.4,124.3,115.7,115.7,-5.7,1.8,1.8,0.441,3.75,21.4,0.039,0.047,0.043,5.7,5.6,0.574,0.603,0.32,0.338,103.9,108.22,90.18,108.22,0.199,149,25,47,1.2,2.2,0.532,142,139,320,225,143,139,103,103,340,314,314,238,183,183,9,20,83,168,324,310,253,251,117,142,37,34,178,178,178,35,23,44,10,22,84,SAC
