season,team_id,game_id,game_date,away_team,home_team,opponent_id,game_no,pf,opp_pf,wl,differential
2022-23,1610612749,22200015,2022-10-20,MIL,PHI,1610612755,1,90,88,W,2
2022-23,1610612749,22200033,2022-10-22,HOU,MIL,1610612745,2,125,105,W,20
2022-23,1610612749,22200060,2022-10-26,BKN,MIL,1610612751,3,110,99,W,11
2022-23,1610612749,22200075,2022-10-28,NYK,MIL,1610612752,4,119,108,W,11
2022-23,1610612749,22200085,2022-10-29,ATL,MIL,1610612737,5,123,115,W,8
2022-23,1610612749,22200100,2022-10-31,DET,MIL,1610612765,6,110,108,W,2
2022-23,1610612749,22200113,2022-11-02,DET,MIL,1610612765,7,116,91,W,25
2022-23,1610612749,22200129,2022-11-04,MIL,MIN,1610612750,8,115,102,W,13
2022-23,1610612749,22200136,2022-11-05,OKC,MIL,1610612760,9,108,94,W,14
2022-23,1610612749,22200149,2022-11-07,MIL,ATL,1610612737,10,98,117,L,-19
2022-23,1610612749,22200168,2022-11-09,MIL,OKC,1610612760,11,136,132,W,4
2022-23,1610612749,22200180,2022-11-11,MIL,SAS,1610612759,12,93,111,L,-18
2022-23,1610612749,22200204,2022-11-14,ATL,MIL,1610612737,13,106,121,L,-15
2022-23,1610612749,22200216,2022-11-16,CLE,MIL,1610612739,14,113,98,W,15
2022-23,1610612749,22200226,2022-11-18,MIL,PHI,1610612755,15,102,110,L,-8
2022-23,1610612749,22200251,2022-11-21,POR,MIL,1610612757,16,119,111,W,8
2022-23,1610612749,22200267,2022-11-23,CHI,MIL,1610612741,17,113,118,L,-5
2022-23,1610612749,22200280,2022-11-25,CLE,MIL,1610612739,18,117,102,W,15
2022-23,1610612749,22200298,2022-11-27,DAL,MIL,1610612742,19,124,115,W,9
2022-23,1610612749,22200316,2022-11-30,MIL,NYK,1610612752,20,109,103,W,6
2022-23,1610612749,22200331,2022-12-02,LAL,MIL,1610612747,21,129,133,L,-4
2022-23,1610612749,22200339,2022-12-03,MIL,CHA,1610612766,22,105,96,W,9
2022-23,1610612749,22200353,2022-12-05,MIL,ORL,1610612753,23,109,102,W,7
