TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,82,36,46,0.439,3971.0,33.2,67.0,0.495,10.4,27.1,0.384,12.8,16.2,0.792,7.9,25.0,32.9,21.0,10.5,5.8,4.2,3.3,14.5,13.8,89.6,1.6,1,21,21,21,3,25,19,28,27,22,28,19,17,23,14,19,20,25,9,21,22,26,24,17,27,21
1610612738,Boston Celtics,82,64,18,0.78,3966.0,30.9,68.2,0.453,9.6,27.3,0.352,9.9,12.9,0.768,8.2,24.0,32.2,18.5,9.0,4.6,2.8,4.9,12.9,12.0,81.3,-8.4,1,1,1,1,7,13,25,2,14,23,4,1,1,3,26,9,15,5,30,2,1,2,1,29,5,1
1610612751,Brooklyn Nets,82,32,50,0.39,3961.0,31.0,65.9,0.47,9.7,26.0,0.372,12.7,15.8,0.807,7.7,25.3,33.0,19.0,9.4,5.1,3.7,3.9,13.6,13.8,84.4,2.2,1,22,22,22,10,15,15,13,16,13,22,16,12,30,9,24,21,7,25,8,16,12,10,18,15,22
1610612766,Charlotte Hornets,82,21,61,0.256,3946.0,32.4,65.6,0.494,10.2,27.1,0.377,12.3,15.5,0.796,7.9,26.0,33.9,21.5,10.2,5.3,3.6,3.4,13.1,13.4,87.4,7.7,1,27,27,27,23,22,13,27,26,20,26,10,7,26,15,28,28,28,17,12,13,25,2,23,23,30
1610612741,Chicago Bulls,82,39,43,0.476,3996.0,30.4,64.2,0.473,10.8,29.1,0.37,12.5,16.1,0.776,7.5,24.6,32.1,20.6,10.3,5.0,3.6,3.5,13.9,13.9,84.0,1.1,1,20,20,20,1,10,3,16,29,30,20,14,15,9,5,14,13,22,12,6,14,18,15,14,11,20
1610612739,Cleveland Cavaliers,82,48,34,0.585,3961.0,30.2,65.2,0.463,9.4,25.2,0.371,12.4,15.7,0.791,7.5,24.3,31.8,18.8,10.1,5.7,3.7,3.5,14.0,13.1,82.1,-1.8,1,11,11,11,10,5,10,6,10,9,21,11,10,21,6,12,10,6,18,19,17,21,16,26,7,13
1610612742,Dallas Mavericks,82,50,32,0.61,3941.0,32.2,67.7,0.475,9.8,26.7,0.368,12.5,16.2,0.77,8.2,25.6,33.8,20.6,10.3,5.5,3.0,3.7,15.2,13.7,86.6,-1.7,1,6,6,6,26,20,23,20,20,18,18,13,16,4,23,26,27,23,14,17,2,17,29,21,20,14
1610612743,Denver Nuggets,82,57,25,0.695,3941.0,30.4,65.9,0.462,8.4,23.6,0.355,12.8,16.6,0.772,8.2,23.5,31.7,19.3,9.3,5.3,3.6,4.2,13.4,13.6,82.1,-3.9,1,2,2,2,26,11,14,4,2,2,8,18,21,6,20,7,8,9,27,10,12,9,7,22,6,4
1610612765,Detroit Pistons,82,14,68,0.171,3951.0,32.6,66.5,0.49,9.0,24.4,0.37,14.7,18.3,0.8,7.2,25.0,32.2,20.2,9.3,6.6,4.5,3.5,13.3,15.4,88.9,6.8,1,30,30,30,21,23,16,24,7,5,19,29,28,28,4,20,14,21,26,29,25,20,3,3,26,28
1610612744,Golden State Warriors,82,46,36,0.561,3966.0,31.3,67.3,0.466,9.9,27.5,0.359,13.2,16.7,0.788,8.1,23.8,31.9,19.9,9.7,5.7,3.7,3.4,13.4,14.5,85.7,-1.9,1,16,16,16,7,18,21,9,21,25,11,22,22,18,19,8,11,16,23,20,15,23,6,9,19,12
