CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS
1626167,Myles Turner,1610612754,IND,C-F,29.0,23,23,0.455,88,155,0.568,0.663,-0.096
1631096,Chet Holmgren,1610612760,OKC,C-F,23.0,23,23,0.415,80,153,0.523,0.654,-0.131
1627783,Pascal Siakam,1610612754,IND,F,31.0,23,23,0.426,77,130,0.592,0.658,-0.065
203999,Nikola Jokić,1610612743,DEN,C,30.0,14,14,0.407,69,116,0.595,0.647,-0.052
1628983,Shai Gilgeous-Alexander,1610612760,OKC,G,26.0,23,22,0.364,65,111,0.586,0.65,-0.064
1628404,Josh Hart,1610612752,NYK,G,30.0,18,18,0.414,63,104,0.606,0.654,-0.049
1630174,Aaron Nesmith,1610612754,IND,G-F,25.0,23,21,0.407,61,103,0.592,0.641,-0.049
1629614,Andrew Nembhard,1610612754,IND,G-F,25.0,23,23,0.315,65,103,0.631,0.642,-0.011
1627750,Jamal Murray,1610612743,DEN,G,28.0,14,14,0.389,64,98,0.653,0.639,0.014
1627936,Alex Caruso,1610612760,OKC,G,31.0,23,23,0.366,54,89,0.607,0.635,-0.028
1626157,Karl-Anthony Towns,1610612752,NYK,C-F,29.0,18,18,0.293,57,88,0.648,0.671,-0.024
203110,Draymond Green,1610612744,GSW,F,35.0,12,12,0.415,44,88,0.5,0.61,-0.11
1630169,Tyrese Haliburton,1610612754,IND,G,25.0,22,22,0.313,56,88,0.636,0.646,-0.01
1628973,Jalen Brunson,1610612752,NYK,G,28.0,18,18,0.307,61,87,0.701,0.65,0.051
1631128,Christian Braun,1610612743,DEN,G,24.0,14,14,0.322,47,85,0.553,0.628,-0.075
1628969,Mikal Bridges,1610612752,NYK,G-F,28.0,18,18,0.348,45,79,0.57,0.648,-0.079
1631114,Jalen Williams,1610612760,OKC,G-F,24.0,23,22,0.391,45,75,0.6,0.639,-0.039
1629652,Luguentz Dort,1610612760,OKC,G,26.0,23,21,0.316,42,75,0.56,0.646,-0.086
1628384,OG Anunoby,1610612752,NYK,F-G,27.0,18,17,0.289,36,72,0.5,0.637,-0.137
203932,Aaron Gordon,1610612743,DEN,F,29.0,14,14,0.403,39,71,0.549,0.651,-0.102
203497,Rudy Gobert,1610612750,MIN,C,33.0,15,15,0.313,40,70,0.571,0.635,-0.064
203944,Julius Randle,1610612750,MIN,F-C,30.0,15,15,0.366,39,67,0.582,0.646,-0.064
