group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank,team
Players,1630224,Jalen Green,Jalen,1610612745,HOU,20.0,23,6,17,0.261,81.0,0.203,0.255,0.238,0.353,0.25,0.231,0.192,0.333,0.167,0.212,0.087,0.091,0.2,0.125,0.286,0.148,0.27,0.259,137,231,454,419,113,122,85,106,67,125,115,156,80,238,183,261,256,152,165,408,187,103,87,HOU
Players,1630256,Jae'Sean Tate,Jae'Sean,1610612745,HOU,26.0,28,12,16,0.429,84.0,0.17,0.193,0.179,0.048,0.05,0.226,0.217,0.381,0.189,0.243,0.2,0.146,0.5,0.222,0.429,0.145,0.196,0.186,79,113,438,305,109,184,170,189,246,319,119,132,70,214,154,145,318,25,115,445,184,163,160,HOU
Players,1630586,Usman Garuba,Usman,1610612745,HOU,20.0,2,0,2,0.0,6.0,0.071,0.333,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.222,408,448,100,448,370,389,35,347,252,333,305,316,290,380,406,307,1,247,1,1,1,344,118,HOU
Players,1629645,Kevin Porter Jr.,Kevin,1610612745,HOU,22.0,22,9,13,0.409,86.0,0.225,0.175,0.244,0.19,0.237,0.179,0.176,0.111,0.153,0.143,0.367,0.243,0.0,0.0,0.231,0.214,0.163,0.178,152,173,380,326,105,90,196,99,159,144,162,177,234,263,276,52,396,247,199,385,294,202,182,HOU
Players,1630231,KJ Martin,KJ,1610612745,HOU,21.0,11,4,7,0.364,33.0,0.068,0.048,0.098,0.0,0.182,0.0,0.0,0.0,0.25,0.194,0.0,0.0,0.0,0.6,0.0,0.208,0.0,0.03,254,275,255,364,227,399,354,358,252,207,305,316,290,119,215,307,1,247,36,1,285,344,378,HOU
Players,1630528,Josh Christopher,Josh,1610612745,HOU,20.0,13,5,8,0.385,18.0,0.154,0.133,0.171,0.167,0.286,0.1,0.077,0.0,0.4,0.286,0.182,0.222,0.5,0.0,0.0,0.333,0.182,0.13,235,247,282,349,296,218,259,204,171,98,232,273,290,36,93,165,379,25,199,1,415,179,269,HOU
Players,201569,Eric Gordon,Eric,1610612745,HOU,33.0,22,12,10,0.545,75.0,0.235,0.298,0.25,0.227,0.315,0.174,0.197,0.063,0.109,0.099,0.345,0.241,0.0,0.167,0.067,0.07,0.214,0.258,152,113,322,186,126,84,59,84,139,79,165,151,270,330,364,62,393,247,144,299,118,147,89,HOU
Players,1628981,Bruno Fernando,Bruno,1610612745,HOU,23.0,2,1,1,0.5,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,408,375,38,206,461,73,364,419,252,333,305,316,290,380,406,307,467,247,199,1,464,344,382,HOU
Players,1626174,Christian Wood,Christian,1610612745,HOU,26.0,23,10,13,0.435,80.0,0.232,0.235,0.221,0.143,0.133,0.239,0.25,0.167,0.36,0.309,0.222,0.273,0.286,0.333,0.357,0.294,0.267,0.225,137,156,380,301,115,88,114,123,187,241,108,105,188,49,79,131,412,111,83,432,392,105,115,HOU
Players,1630227,Daishen Nix,Daishen,1610612745,HOU,20.0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438,448,38,448,451,431,364,419,252,333,305,316,290,380,406,307,1,247,199,1,1,344,382,HOU
Players,1630578,Alperen Sengun,Alperen,1610612745,HOU,19.0,8,4,4,0.5,22.0,0.13,0.05,0.154,0.0,0.083,0.0,0.0,0.5,0.188,0.25,0.222,0.125,0.5,0.0,0.2,0.3,0.0,0.037,293,275,177,206,280,262,349,239,252,299,305,316,30,216,132,131,285,25,199,360,396,344,376,HOU
Players,1629726,Garrison Mathews,Garrison,1610612745,HOU,25.0,20,10,10,0.5,51.0,0.176,0.184,0.153,0.375,0.261,0.378,0.34,0.222,0.207,0.211,0.0,0.095,0.0,0.0,0.0,0.267,0.25,0.264,171,156,322,206,188,174,181,242,62,120,44,56,145,189,184,307,265,247,199,1,365,109,78,HOU
Players,203471,Dennis Schröder,Dennis,1610612745,HOU,28.0,24,9,15,0.375,104.0,0.211,0.227,0.22,0.1,0.203,0.259,0.277,0.0,0.148,0.12,0.359,0.154,0.105,0.182,0.214,0.143,0.289,0.224,128,173,420,356,67,111,122,127,217,180,97,90,290,271,325,53,322,226,138,380,171,85,116,HOU
Players,1628021,David Nwaba,David,1610612745,HOU,29.0,6,3,3,0.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.333,0.0,1.0,0.5,0.0,0.429,0.0,0.0,326,304,139,206,364,431,364,419,252,333,305,316,290,194,195,66,1,1,43,1,458,344,382,HOU
