group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank
Players,1630578,Alperen Sengun,Alperen,1610612745,HOU,19.0,8,4,4,0.5,2.8,0.3,0.0,0.0,0.3,1.3,0.8,0.3,3.5,0.0,0.1,0.4,0.0,1.6,293,275,177,206,230,108,245,158,243,416,245,222,56,199,436,339,344,275
Players,1628981,Bruno Fernando,Bruno,1610612745,HOU,23.0,2,1,1,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.5,408,375,38,206,467,241,245,158,317,1,1,1,437,199,1,415,344,496
Players,1626174,Christian Wood,Christian,1610612745,HOU,26.0,23,10,13,0.435,3.5,0.2,0.1,0.0,0.8,2.2,1.3,0.7,3.0,0.1,0.2,0.7,0.5,3.3,137,156,380,301,110,127,184,155,90,487,442,413,108,96,478,463,68,97
Players,1630227,Daishen Nix,Daishen,1610612745,HOU,20.0,1,0,1,0.0,1.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,438,448,38,448,392,241,245,158,317,471,481,1,19,199,1,1,344,438
Players,1628021,David Nwaba,David,1610612745,HOU,29.0,6,3,3,0.5,1.2,0.0,0.0,0.0,0.0,0.3,0.3,0.0,1.7,0.2,0.0,0.5,0.0,1.5,326,304,139,206,422,241,245,158,317,113,129,1,344,48,1,415,344,298
Players,203471,Dennis Schröder,Dennis,1610612745,HOU,28.0,24,9,15,0.375,4.3,0.2,0.0,0.0,0.9,1.2,1.5,0.3,3.2,0.1,0.1,0.3,0.5,3.8,128,173,420,356,20,132,245,158,72,396,461,255,77,101,436,289,65,68
Players,201569,Eric Gordon,Eric,1610612745,HOU,33.0,22,12,10,0.545,3.4,0.0,0.2,0.0,1.1,2.1,1.1,0.5,2.9,0.0,0.0,0.1,0.4,3.0,152,113,322,186,116,241,119,158,45,486,384,353,118,163,330,131,112,112
Players,1629726,Garrison Mathews,Garrison,1610612745,HOU,25.0,20,10,10,0.5,2.5,0.0,0.0,0.0,0.1,1.6,1.0,0.4,2.5,0.0,0.0,0.4,0.4,2.1,171,156,322,206,269,241,245,158,300,456,334,295,203,199,1,359,114,215
Players,1630256,Jae'Sean Tate,Jae'Sean,1610612745,HOU,26.0,28,12,16,0.429,3.0,0.1,0.3,0.0,0.7,2.1,1.3,0.5,3.1,0.1,0.2,0.3,0.4,2.8,79,113,438,305,186,224,62,158,98,485,436,353,89,120,476,248,133,131
Players,1630224,Jalen Green,Jalen,1610612745,HOU,20.0,23,6,17,0.261,3.5,0.3,0.3,0.3,0.4,2.0,1.3,0.7,3.7,0.0,0.2,0.4,0.4,2.9,137,231,454,419,99,85,71,21,168,470,442,430,40,167,461,355,103,123
Players,1630528,Josh Christopher,Josh,1610612745,HOU,20.0,13,5,8,0.385,1.4,0.0,0.1,0.0,0.2,0.7,0.6,0.4,1.7,0.0,0.0,0.5,0.2,1.1,235,247,282,349,401,241,228,158,285,231,190,286,342,199,1,403,261,347
Players,1630231,KJ Martin,KJ,1610612745,HOU,21.0,11,4,7,0.364,3.0,0.0,0.0,0.2,0.2,1.4,1.2,0.6,3.1,0.3,0.0,0.5,0.0,1.7,254,275,255,364,187,241,245,62,270,441,410,408,84,19,1,397,344,268
Players,1629645,Kevin Porter Jr.,Kevin,1610612745,HOU,22.0,22,9,13,0.409,3.9,0.3,0.1,0.4,0.5,2.3,1.5,0.7,3.9,0.0,0.1,0.5,0.4,2.5,152,173,380,326,50,103,210,12,160,489,468,427,30,199,441,444,131,164
Players,1630586,Usman Garuba,Usman,1610612745,HOU,20.0,2,0,2,0.0,3.2,0.0,0.0,1.0,1.0,1.0,2.0,0.0,5.0,0.5,0.0,0.0,0.0,2.5,408,448,100,448,148,241,245,3,52,332,481,1,10,3,1,1,344,160
