season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank,available_flag,min_sec,season_start,season_end
2020-21,201162,Jared Dudley,Jared,1610612747,LAL,Los Angeles Lakers,42000156,2021-06-03T00:00:00,LAL vs. PHX,L,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.06,94.12,78.43,94.12,0.0,1,0,0,0.0,0.0,0.0,1,933,933,933,1841,1787,1787,1787,1,1,1,906,883,883,1145,733,1145,853,1474,1540,1,1,1470,1524,1712,1712,1853,1416,1415,1468,1470,1686,1470,1686,1470,1,0:31,2020,2021
2020-21,1629659,Talen Horton-Tucker,Talen,1610612747,LAL,Los Angeles Lakers,42000156,2021-06-03T00:00:00,LAL vs. PHX,L,19.1,120.5,122.2,122.2,124.4,125.0,125.0,-4.0,-2.8,-2.8,0.0,0.0,0.0,0.056,0.056,0.056,0.0,0.0,0.667,0.667,0.225,0.228,91.41,90.55,75.46,90.55,0.117,36,6,9,6.0,9.0,0.667,1,933,933,933,1054,506,488,488,1432,1417,1417,1032,1012,1012,1145,733,1145,497,1327,1142,1,1,433,508,532,563,1569,1681,1681,635,370,619,370,619,219,1,19:05,2020,2021
2020-21,203463,Ben McLemore,Ben,1610612747,LAL,Los Angeles Lakers,42000156,2021-06-03T00:00:00,LAL vs. PHX,L,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.06,94.12,78.43,94.12,0.0,1,0,0,0.0,0.0,0.0,1,933,933,933,1841,1787,1787,1787,1,1,1,906,883,883,1145,733,1145,853,1474,1540,1,1,1470,1524,1712,1712,1853,1416,1415,1468,1470,1686,1470,1686,1470,1,0:31,2020,2021
2020-21,1628398,Kyle Kuzma,Kyle,1610612747,LAL,Los Angeles Lakers,42000156,2021-06-03T00:00:00,LAL vs. PHX,L,18.4,100.1,100.0,100.0,117.5,113.2,113.2,-17.4,-13.2,-13.2,0.0,0.0,0.0,0.0,0.333,0.111,25.0,25.0,0.167,0.167,0.167,0.17,98.58,100.46,83.72,100.46,0.0,39,1,6,1.0,6.0,0.167,1,933,933,933,1079,1204,1130,1130,1188,1043,1043,1344,1250,1250,1145,733,1145,853,84,528,1703,1709,1453,1511,899,926,907,707,707,1468,1202,878,1202,878,1436,1,18:24,2020,2021
2020-21,203484,Kentavious Caldwell-Pope,Kentavious,1610612747,LAL,Los Angeles Lakers,42000156,2021-06-03T00:00:00,LAL vs. PHX,L,39.0,111.6,116.4,116.4,125.3,127.1,127.1,-13.7,-10.7,-10.7,0.0,0.0,0.0,0.026,0.065,0.043,8.3,7.8,0.773,0.8,0.141,0.155,90.52,87.94,73.28,87.94,0.078,73,7,11,7.0,11.0,0.636,1,933,933,933,205,815,654,654,1446,1491,1491,1253,1200,1200,1145,733,1145,785,1290,1311,1149,1127,264,248,1142,1054,1615,1767,1767,993,288,471,288,471,315,1,39:02,2020,2021
2020-21,1626149,Montrezl Harrell,Montrezl,1610612747,LAL,Los Angeles Lakers,42000156,2021-06-03T00:00:00,LAL vs. PHX,L,8.0,53.8,47.1,47.1,151.1,150.0,150.0,-97.4,-102.9,-102.9,0.0,0.0,0.0,0.167,0.0,0.111,0.0,0.0,0.25,0.25,0.211,0.237,92.47,99.21,82.67,99.21,-0.036,17,1,4,1.0,4.0,0.25,1,933,933,933,1465,1749,1763,1763,1780,1776,1776,1823,1840,1840,1145,733,1145,77,1474,528,1,1,1371,1445,627,517,1497,831,831,1696,1202,1121,1202,1121,1316,1,7:59,2020,2021
2020-21,1627936,Alex Caruso,Alex,1610612747,LAL,Los Angeles Lakers,42000156,2021-06-03T00:00:00,LAL vs. PHX,L,7.7,100.0,94.1,94.1,137.5,137.5,137.5,-37.5,-43.4,-43.4,0.167,0.0,25.0,0.0,0.2,0.067,0.0,0.0,0.333,0.333,0.15,0.167,99.31,102.41,85.34,102.41,0.024,17,1,3,1.0,3.0,0.333,1,933,933,933,1471,1212,1359,1359,1692,1692,1692,1642,1684,1684,505,733,351,853,390,996,1,1,1245,1355,1047,951,805,521,521,1376,1202,1249,1202,1249,1124,1,7:44,2020,2021
2020-21,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,42000156,2021-06-03T00:00:00,LAL vs. PHX,L,41.4,113.1,115.6,115.6,123.2,117.9,117.9,-10.1,-2.4,-2.4,0.304,2.33,18.4,0.048,0.212,0.12,7.9,7.8,0.481,0.506,0.341,0.357,88.93,89.86,74.88,89.86,0.16,77,11,26,11.0,26.0,0.423,1,933,933,933,99,775,687,687,1384,1207,1207,1171,999,999,209,223,588,559,360,469,1135,1132,1006,971,109,107,1669,1714,1714,364,82,28,82,28,942,1,41:24,2020,2021
2020-21,203471,Dennis Schröder,Dennis,1610612747,LAL,Los Angeles Lakers,42000156,2021-06-03T00:00:00,LAL vs. PHX,L,37.8,107.6,112.5,112.5,128.3,125.0,125.0,-20.7,-12.5,-12.5,0.12,3.0,15.0,0.0,0.107,0.042,5.0,4.8,0.5,0.601,0.195,0.207,92.29,91.37,76.14,91.37,0.102,72,6,14,6.0,14.0,0.429,1,933,933,933,269,958,784,784,1533,1417,1417,1412,1239,1239,700,125,731,853,969,1318,967,965,813,719,715,690,1516,1634,1634,782,370,320,370,320,908,1,37:49,2020,2021
2020-21,203076,Anthony Davis,Anthony,1610612747,LAL,Los Angeles Lakers,42000156,2021-06-03T00:00:00,LAL vs. PHX,L,5.4,77.8,77.8,77.8,155.6,140.0,140.0,-77.8,-62.2,-62.2,0.333,0.0,100.0,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,79.75,84.18,70.15,84.18,0.083,9,0,0,0.0,0.0,0.0,1,933,933,933,1564,1631,1611,1611,1801,1720,1720,1809,1770,1771,157,733,1,853,22,435,1,1,1470,1524,1712,1712,1790,1836,1836,942,1470,1686,1470,1686,1470,1,5:25,2020,2021
