team_id,team_name,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,team
1610612737,Atlanta Hawks,5,1,4,0.2,1.9,1.2,3.2,0.375,0.2,0.6,0.333,0.0,0.0,0.0,0.4,1.2,1.6,0.6,0.6,0.0,0.0,0.6,1.4,0.0,2.6,-2.4,4,10,15,13,16,15,15,13,15,15,7,16,16,16,12,15,15,13,5,15,12,14,4,15,15,12,ATLANTA HAWKS
1610612738,Boston Celtics,4,2,2,0.5,5.6,4.5,10.8,0.419,1.3,4.5,0.278,2.3,2.5,0.9,1.8,2.8,4.5,2.8,1.0,1.0,0.5,1.5,2.3,3.0,12.5,0.3,8,8,5,8,2,2,2,10,5,2,11,9,9,3,2,4,1,1,8,2,5,16,9,5,2,8,BOSTON CELTICS
1610612741,Chicago Bulls,1,1,0,1.0,3.6,2.0,4.0,0.5,1.0,1.0,1.0,5.0,5.0,1.0,0.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,2.0,5.0,10.0,6.0,15,10,1,1,8,10,13,5,7,13,1,1,3,1,14,2,8,9,16,2,2,1,7,1,6,1,CHICAGO BULLS
1610612739,Cleveland Cavaliers,7,5,2,0.714,3.8,2.0,6.3,0.318,0.9,3.0,0.286,2.6,3.7,0.692,1.4,2.4,3.9,1.1,1.0,0.9,0.1,0.6,1.1,2.1,7.4,1.1,1,1,5,4,6,10,6,14,8,4,10,7,7,11,4,6,4,8,8,5,11,13,1,8,11,7,CLEVELAND CAVALIERS
1610612744,Golden State Warriors,4,4,0,1.0,3.4,4.3,6.5,0.654,1.5,3.0,0.5,2.3,2.5,0.9,1.0,2.5,3.5,1.8,0.5,0.3,0.8,0.0,1.8,2.0,12.3,6.0,8,3,1,1,10,3,4,1,1,4,2,9,9,3,6,5,7,6,4,14,3,1,5,9,3,1,GOLDEN STATE WARRIORS
1610612745,Houston Rockets,5,3,2,0.6,4.6,3.2,6.6,0.485,1.4,4.8,0.292,4.2,5.0,0.84,0.6,3.0,3.6,1.8,1.8,1.0,0.2,0.2,4.2,2.6,12.0,1.8,4,4,5,6,4,4,3,6,2,1,9,3,3,6,9,2,6,5,14,2,9,7,16,7,4,4,HOUSTON ROCKETS
1610612754,Indiana Pacers,4,0,4,0.0,4.2,1.8,5.8,0.304,0.8,2.8,0.273,0.3,0.5,0.5,0.5,3.5,4.0,1.0,1.8,0.5,0.8,0.3,2.8,0.8,4.5,-4.0,8,14,15,14,5,14,8,15,10,7,12,15,15,14,11,1,2,9,13,7,3,8,13,14,14,15,INDIANA PACERS
1610612746,LA Clippers,5,2,3,0.4,3.6,2.0,4.8,0.417,0.6,1.8,0.333,4.0,4.8,0.833,0.8,1.6,2.4,0.2,0.4,0.6,0.0,0.0,1.8,3.0,8.6,-2.0,4,8,11,10,7,10,11,11,11,10,7,4,5,7,7,13,12,15,2,6,12,1,6,5,8,11,LA CLIPPERS
1610612763,Memphis Grizzlies,3,1,2,0.333,4.8,2.7,4.7,0.571,0.3,1.7,0.2,5.0,5.7,0.882,0.3,1.7,2.0,0.7,2.3,0.3,0.3,0.0,2.7,3.3,10.7,-3.3,13,10,5,11,3,7,12,2,13,12,14,1,2,5,13,12,13,12,15,11,6,1,12,4,5,13,MEMPHIS GRIZZLIES
1610612749,Milwaukee Bucks,3,0,3,0.0,3.3,2.7,6.3,0.421,1.3,3.0,0.444,0.7,1.3,0.5,1.3,2.3,3.7,2.0,1.0,0.3,0.3,0.3,2.3,1.0,7.3,-0.7,13,14,11,14,12,7,5,9,4,4,4,14,14,14,5,7,5,3,8,11,6,12,10,13,12,10,MILWAUKEE BUCKS
