season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2015-16,1610612760,41500161,2016-04-16,DAL,OKC,1610612742,108,70,W,rnd1,1
2015-16,1610612760,41500162,2016-04-18,DAL,OKC,1610612742,84,85,L,rnd1,2
2015-16,1610612760,41500163,2016-04-21,OKC,DAL,1610612742,131,102,W,rnd1,3
2015-16,1610612760,41500164,2016-04-23,OKC,DAL,1610612742,119,108,W,rnd1,4
2015-16,1610612760,41500165,2016-04-25,DAL,OKC,1610612742,118,104,W,rnd1,5
2015-16,1610612760,41500231,2016-04-30,OKC,SAS,1610612759,92,124,L,sf,1
2015-16,1610612760,41500232,2016-05-02,OKC,SAS,1610612759,98,97,W,sf,2
2015-16,1610612760,41500233,2016-05-06,SAS,OKC,1610612759,96,100,L,sf,3
2015-16,1610612760,41500234,2016-05-08,SAS,OKC,1610612759,111,97,W,sf,4
2015-16,1610612760,41500235,2016-05-10,OKC,SAS,1610612759,95,91,W,sf,5
2015-16,1610612760,41500236,2016-05-12,SAS,OKC,1610612759,113,99,W,sf,6
2015-16,1610612760,41500311,2016-05-16,OKC,GSW,1610612744,108,102,W,conf,1
2015-16,1610612760,41500312,2016-05-18,OKC,GSW,1610612744,91,118,L,conf,2
2015-16,1610612760,41500313,2016-05-22,GSW,OKC,1610612744,133,105,W,conf,3
2015-16,1610612760,41500314,2016-05-24,GSW,OKC,1610612744,118,94,W,conf,4
2015-16,1610612760,41500315,2016-05-26,OKC,GSW,1610612744,111,120,L,conf,5
2015-16,1610612760,41500316,2016-05-28,GSW,OKC,1610612744,101,108,L,conf,6
2015-16,1610612760,41500317,2016-05-30,OKC,GSW,1610612744,88,96,L,conf,7
