SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG
2024-25,1610612754,IND,Indiana Pacers,0042400404,2025-06-13T00:00:00,IND vs. OKC,L,48.0,25.5,60.0,0.425,8.3,27.0,0.306,18.8,24.8,0.758,5.3,19.5,24.8,15.8,12.0,8.3,2.3,2.3,20.3,19.5,78.0,-5.3,1,82,82,82,11,124,126,116,91,66,114,28,18,95,129,138,153,98,114,19,114,27,147,17,98,108,1
2024-25,1610612760,OKC,Oklahoma City Thunder,0042400404,2025-06-13T00:00:00,OKC @ IND,W,48.0,27.8,58.5,0.474,2.3,12.0,0.188,25.5,28.5,0.895,9.0,23.3,32.3,8.3,12.0,9.0,2.3,2.3,19.5,20.3,83.3,5.3,1,1,1,1,11,94,141,62,162,162,159,2,5,14,52,73,58,160,114,13,114,27,142,8,69,52,1
2024-25,1610612760,OKC,Oklahoma City Thunder,0042400403,2025-06-11T00:00:00,OKC @ IND,L,48.0,27.8,59.3,0.468,7.5,16.5,0.455,17.3,22.5,0.767,6.8,24.8,31.5,12.0,14.3,4.5,3.0,8.3,15.0,18.0,80.3,-6.8,1,82,82,82,11,94,135,67,110,159,20,36,33,91,100,44,74,147,142,102,83,160,65,27,84,116,1
2024-25,1610612754,IND,Indiana Pacers,0042400403,2025-06-11T00:00:00,IND vs. OKC,W,48.0,33.0,63.8,0.518,6.8,20.3,0.333,14.3,16.5,0.864,5.3,21.8,27.0,18.0,10.5,9.8,8.3,3.0,18.0,15.0,87.0,6.8,1,1,1,1,11,23,79,23,126,142,95,61,79,29,129,107,136,55,76,8,2,52,130,83,47,40,1
2024-25,1610612754,IND,Indiana Pacers,0042400402,2025-06-08T00:00:00,IND @ OKC,L,48.0,27.8,61.5,0.451,10.5,30.0,0.35,14.3,19.5,0.731,5.3,21.0,26.3,20.3,11.3,6.8,4.5,3.0,18.8,15.0,80.3,-12.0,1,82,82,82,11,94,104,84,51,35,88,61,49,106,129,119,146,27,100,45,44,52,137,83,84,135,1
2024-25,1610612760,OKC,Oklahoma City Thunder,0042400402,2025-06-08T00:00:00,OKC vs. IND,W,48.0,30.0,61.5,0.488,10.5,27.0,0.389,21.8,24.8,0.879,8.3,24.0,32.3,18.8,10.5,7.5,3.0,4.5,15.0,18.8,92.3,12.0,1,1,1,1,11,58,104,46,51,66,59,10,18,22,70,63,58,45,76,29,83,102,65,22,19,26,1
2024-25,1610612760,OKC,Oklahoma City Thunder,0042400401,2025-06-05T00:00:00,OKC vs. IND,L,48.0,29.3,73.5,0.398,8.3,22.5,0.367,15.8,18.0,0.875,7.5,21.8,29.3,9.8,5.3,10.5,4.5,5.3,14.3,16.5,82.5,-0.8,1,82,82,82,11,66,6,141,91,116,76,44,68,23,88,107,106,158,2,3,44,121,50,51,73,83,1
2024-25,1610612754,IND,Indiana Pacers,0042400401,2025-06-05T00:00:00,IND @ OKC,W,48.0,29.3,61.5,0.476,13.5,29.3,0.462,11.3,15.8,0.714,9.8,32.3,42.0,18.0,18.8,0.8,5.3,4.5,16.5,14.3,83.3,0.8,1,1,1,1,11,66,104,57,9,44,16,99,92,117,34,1,2,55,162,162,26,102,96,102,69,77,1
2024-25,1610612752,NYK,New York Knicks,0042400306,2025-05-31T00:00:00,NYK @ IND,L,48.0,30.8,64.5,0.477,6.8,24.0,0.281,12.8,19.5,0.654,9.8,21.0,30.8,17.3,13.5,7.5,4.5,6.8,12.0,17.3,81.0,-12.8,1,82,82,82,11,50,58,53,126,96,129,82,49,145,34,119,85,69,137,29,44,149,16,34,81,138,1
2024-25,1610612754,IND,Indiana Pacers,0042400306,2025-05-31T00:00:00,IND vs. NYK,W,48.0,34.5,63.8,0.541,12.8,24.8,0.515,12.0,14.3,0.842,4.5,22.5,27.0,22.5,9.8,7.5,6.8,4.5,17.3,12.0,93.8,12.8,1,1,1,1,11,15,79,10,18,92,4,90,115,42,145,89,136,9,62,29,6,102,114,137,14,23,1
