team_id,team_name,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,team
1610612745,Houston Rockets,41,23,18,0.561,46.6,29.3,71.7,0.409,11.4,37.9,0.3,34.5,45.2,0.763,9.3,36.2,45.5,15.2,14.1,6.6,4.5,5.2,28.3,26.9,104.5,-10.3,20,10,8,11,19,30,30,20,5,3,19,2,2,16,26,4,11,23,24,14,19,13,23,11,16,21,HOUSTON ROCKETS
1610612754,Indiana Pacers,38,22,16,0.579,50.3,33.4,80.7,0.414,7.7,28.2,0.272,28.8,37.4,0.77,8.6,31.0,39.6,15.3,10.4,8.3,8.0,6.4,24.8,27.0,103.4,-5.5,26,14,5,10,3,19,15,17,24,15,26,15,17,13,27,20,28,20,8,7,3,24,12,9,20,15,INDIANA PACERS
1610612746,LA Clippers,34,20,14,0.588,44.1,30.8,76.4,0.403,8.0,24.3,0.328,30.8,48.3,0.638,14.4,28.1,42.6,14.8,12.2,9.5,3.8,1.9,24.3,35.0,100.4,8.7,29,19,3,8,29,25,25,22,21,24,12,10,1,29,5,28,20,26,16,2,24,1,10,1,24,12,LA CLIPPERS
1610612747,Los Angeles Lakers,43,14,29,0.326,50.1,34.5,82.0,0.421,9.0,34.9,0.258,30.2,40.4,0.748,10.6,32.2,42.7,14.1,10.2,6.7,4.3,4.7,32.5,25.1,108.2,-25.9,15,29,27,29,4,13,13,14,14,7,28,11,8,21,21,13,19,27,5,13,21,10,30,22,13,29,LOS ANGELES LAKERS
1610612763,Memphis Grizzlies,46,24,22,0.522,49.8,35.3,84.0,0.421,10.7,30.1,0.357,27.0,35.6,0.757,14.1,33.5,47.6,18.8,13.4,8.1,3.7,5.2,28.0,26.4,108.4,11.5,8,8,14,14,5,9,9,15,9,10,8,21,21,17,7,10,4,8,23,9,25,14,22,12,12,10,MEMPHIS GRIZZLIES
1610612748,Miami Heat,44,21,23,0.477,48.2,33.3,83.9,0.397,9.1,28.1,0.323,21.9,30.1,0.728,12.6,31.0,43.6,15.5,15.2,6.7,3.5,4.7,31.3,21.6,97.7,-9.4,11,16,17,18,11,20,10,23,13,16,13,28,28,26,9,19,16,19,29,12,26,9,28,29,27,20,MIAMI HEAT
1610612749,Milwaukee Bucks,39,21,18,0.538,47.7,30.7,77.3,0.397,5.1,23.3,0.219,22.4,32.6,0.686,8.0,31.9,39.9,15.3,14.7,5.8,7.3,5.8,24.3,22.7,88.8,-15.7,24,16,8,13,13,26,22,24,30,27,30,27,23,28,29,14,27,21,28,20,7,18,9,26,30,26,MILWAUKEE BUCKS
1610612750,Minnesota Timberwolves,45,15,30,0.333,50.9,33.2,84.3,0.394,6.5,22.6,0.289,25.8,35.9,0.719,13.1,33.5,46.6,19.9,14.5,6.5,4.7,5.9,30.3,24.6,98.8,-16.6,9,27,29,28,1,21,7,25,27,28,21,22,20,27,8,9,7,5,26,15,17,19,25,23,26,27,MINNESOTA TIMBERWOLVES
1610612740,New Orleans Pelicans,44,17,27,0.386,47.9,29.6,80.0,0.37,6.5,24.2,0.269,28.3,38.4,0.736,11.4,36.6,48.1,15.6,12.5,8.8,6.0,4.7,26.5,25.7,94.0,-6.0,11,23,25,26,12,29,16,29,28,25,27,19,11,24,16,2,3,18,18,6,12,8,17,19,29,16,NEW ORLEANS PELICANS
1610612752,New York Knicks,43,19,24,0.442,50.3,38.4,88.8,0.432,10.3,24.1,0.429,20.3,26.6,0.763,14.6,31.2,45.8,17.5,12.0,5.7,8.6,6.6,27.5,23.2,107.4,-1.1,15,20,20,22,2,3,3,10,10,26,2,29,30,15,4,17,9,11,14,21,1,25,19,25,14,14,NEW YORK KNICKS
