close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fg3m,fg3a,fg3_pct,ns_fg3_pct,plusminus
203109,Jae Crowder,1610612738,BOS,F,26.0,18,17,0.387,30,75,0.4,0.358,0.042
201143,Al Horford,1610612738,BOS,C,31.0,18,17,0.279,30,74,0.405,0.367,0.038
203935,Marcus Smart,1610612738,BOS,G,23.0,18,17,0.407,23,68,0.338,0.366,-0.027
202340,Avery Bradley,1610612738,BOS,G,26.0,18,17,0.308,24,53,0.453,0.368,0.085
202738,Isaiah Thomas,1610612738,BOS,G,28.0,15,13,0.347,11,52,0.212,0.353,-0.141
1627759,Jaylen Brown,1610612738,BOS,F,20.0,15,14,0.522,10,35,0.286,0.381,-0.095
1626179,Terry Rozier,1610612738,BOS,G,23.0,17,16,0.362,12,34,0.353,0.348,0.005
203482,Kelly Olynyk,1610612738,BOS,C-F,26.0,18,15,0.212,11,33,0.333,0.361,-0.028
101123,Gerald Green,1610612738,BOS,F,31.0,12,9,0.478,11,33,0.333,0.367,-0.034
101161,Amir Johnson,1610612738,BOS,F,30.0,14,9,0.211,6,16,0.375,0.366,0.009
201973,Jonas Jerebko,1610612738,BOS,F,30.0,11,5,0.213,3,10,0.3,0.353,-0.053
203092,Tyler Zeller,1610612738,BOS,C,27.0,9,5,0.27,4,10,0.4,0.383,0.017
203923,James Young,1610612738,BOS,G-F,21.0,6,3,0.333,1,4,0.25,0.364,-0.114
1626175,Jordan Mickey,1610612738,BOS,F,22.0,2,1,0.333,0,1,0.0,0.324,-0.324
