group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank,team
Players,1642275,Tidjane Salaün,Tidjane,1610612766,CHA,19.0,11,4,7,0.364,31.0,0.117,0.05,0.14,0.125,0.222,0.083,0.111,0.083,0.238,0.182,0.25,0.067,0.0,0.5,0.5,0.3,0.071,0.067,254,275,262,360,241,301,357,267,218,148,258,235,263,150,235,111,222,263,33,448,412,304,362,CHA
Players,1629610,DaQuan Jeffries,DaQuan,1610612766,CHA,27.0,8,4,4,0.5,19.0,0.14,0.0,0.107,0.0,0.059,0.333,0.25,0.333,0.077,0.125,0.154,0.333,0.0,0.0,0.333,0.2,0.286,0.049,295,275,181,212,283,232,369,344,265,328,66,106,96,363,332,212,422,263,208,410,278,80,378,CHA
Players,1629006,Josh Okogie,Josh,1610612766,CHA,26.0,8,1,7,0.125,7.0,0.087,0.0,0.154,0.0,0.143,0.0,0.0,0.0,0.2,0.143,0.0,0.0,0.0,0.0,0.0,0.444,0.0,0.0,295,375,262,445,381,372,369,229,265,238,307,313,302,187,307,337,1,263,208,1,467,339,392,CHA
Players,1642354,KJ Simpson,KJ,1610612766,CHA,22.0,9,1,8,0.111,30.0,0.227,0.1,0.191,0.25,0.25,0.444,0.417,0.462,0.0,0.194,0.364,0.2,0.333,0.0,0.667,0.182,0.526,0.21,279,375,288,447,244,102,308,164,114,111,27,36,65,382,218,66,340,78,208,478,258,10,145,CHA
Players,1630544,Tre Mann,Tre,1610612766,CHA,24.0,8,5,3,0.625,21.0,0.317,0.313,0.389,0.167,0.2,0.174,0.143,0.3,0.25,0.273,0.4,0.375,0.0,0.333,0.75,0.308,0.167,0.246,295,243,148,99,276,34,63,18,182,173,165,202,111,129,121,52,453,263,82,482,417,191,108,CHA
Players,1641878,Damion Baugh,Damion,1610612766,CHA,24.0,4,1,3,0.25,12.0,0.194,0.333,0.176,0.0,0.125,0.0,0.0,0.0,0.125,0.071,0.5,0.5,0.0,0.333,0.0,0.0,0.0,0.167,359,375,148,418,334,141,43,185,265,263,307,313,302,317,380,16,471,263,82,1,1,339,203,CHA
Players,1631209,Isaiah Wong,Isaiah,1610612766,CHA,24.0,2,1,1,0.5,5.0,0.067,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.333,0.0,0.0,410,375,35,212,401,404,369,304,265,347,307,313,302,382,400,337,1,1,208,485,427,339,392,CHA
Players,1631301,Jaylen Sims,Jaylen,1610612766,CHA,26.0,1,0,1,0.0,5.0,0.182,0.0,0.2,0.0,0.5,0.0,0.0,0.333,0.0,0.2,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,439,450,35,450,411,154,369,140,265,10,307,313,96,382,205,337,379,263,208,485,1,339,392,CHA
Players,1631217,Moussa Diabaté,Moussa,1610612766,CHA,23.0,21,5,16,0.238,46.0,0.126,0.167,0.141,0.0,0.0,0.091,0.267,0.471,0.333,0.38,0.083,0.067,0.333,0.111,0.25,0.3,0.318,0.123,148,243,449,426,191,267,199,263,265,347,246,99,63,66,51,294,222,78,187,379,412,67,295,CHA
Players,1630163,LaMelo Ball,LaMelo,1610612766,CHA,23.0,21,11,10,0.524,82.0,0.298,0.321,0.327,0.217,0.319,0.3,0.3,0.12,0.194,0.172,0.457,0.192,0.375,0.0,0.286,0.17,0.356,0.303,148,135,328,195,97,45,58,44,147,68,81,69,235,212,248,39,336,70,208,394,246,43,59,CHA
Players,1628970,Miles Bridges,Miles,1610612766,CHA,27.0,25,11,14,0.44,93.0,0.273,0.308,0.295,0.5,0.386,0.34,0.281,0.091,0.284,0.22,0.184,0.222,0.111,0.3,0.2,0.127,0.273,0.335,103,135,410,317,69,64,65,61,14,43,64,89,259,100,183,176,365,235,104,351,183,93,40,CHA
