player,team,number,position,height,weight,last_attended,country,profile_url,is_active,is_free_agent,is_retired,headshot_url,birthdate,experience,legacy,draft_year,draft_round,draft_pick,draft_status,player_id
Jaylen Brown,BOS,7,Guard-Forward,78.0,223.0,California,USA,https://www.nba.com/player/1627759/jaylen-brown,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,8.0,False,2016.0,1.0,3.0,Drafted,brownja01
Torrey Craig,BOS,12,Forward,77.0,221.0,South Carolina Upstate,USA,https://www.nba.com/player/1628470/torrey-craig,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,7.0,False,0.0,0.0,0.0,UDF,craigto01
JD Davison,BOS,20,Guard,73.0,195.0,Alabama,USA,https://www.nba.com/player/1631120/jd-davison,True,False,False,https://cdn.nba.com/headshots/nba/latest/260x190/1628369.png,1980-01-01,2.0,False,2022.0,2.0,53.0,Drafted,davisjd01
Sam Hauser,BOS,30,Forward,79.0,217.0,Virginia,USA,https://www.nba.com/player/1630573/sam-hauser,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,3.0,False,0.0,0.0,0.0,UDF,hausesa01
Jrue Holiday,BOS,4,Guard,76.0,205.0,UCLA,USA,https://www.nba.com/player/201950/jrue-holiday,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201950.png,1980-01-01,15.0,False,2009.0,1.0,17.0,Drafted,holidjr01
Al Horford,BOS,42,Center-Forward,81.0,240.0,Florida,Dominican Republic,https://www.nba.com/player/201143/al-horford,True,False,False,https://cdn.nba.com/headshots/nba/latest/260x190/fallback.png,1980-01-01,17.0,False,2007.0,1.0,3.0,Drafted,horfoal01
Luke Kornet,BOS,40,Center-Forward,85.0,250.0,Vanderbilt,USA,https://www.nba.com/player/1628436/luke-kornet,True,False,False,https://cdn.nba.com/headshots/nba/latest/260x190/1628369.png,1980-01-01,7.0,False,0.0,0.0,0.0,UDF,kornelu01
Miles Norris,BOS,0,Forward,79.0,220.0,California-Santa Barbara,USA,https://www.nba.com/player/1641936/miles-norris,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,0.0,0.0,0.0,UDF,norrimi01
Drew Peterson,BOS,13,Forward,81.0,205.0,Southern California,USA,https://www.nba.com/player/1641809/drew-peterson,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1641809.png,1980-01-01,1.0,False,0.0,0.0,0.0,UDF,peterdr01
Kristaps Porziņģis,BOS,8,Forward-Center,86.0,240.0,Cajasol Sevilla,Latvia,https://www.nba.com/player/204001/kristaps-porzingis,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/204001.png,1980-01-01,8.0,False,2015.0,1.0,4.0,Drafted,porzikr01
