season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away,MON
2021-22,1610612746,LAC,LA Clippers,22100945,2022-03-03,LAC vs. LAL,W,48.0,24.0,19.0,19.0,52.0,15.0,14.0,27.0,54.0,0,0,0,0,117,232,358,337,674,1036,1341,2405,1788,1,2021,2022,True,LAC,LAL,MAR
2021-22,1610612746,LAC,LA Clippers,22100929,2022-03-01,LAC @ HOU,W,48.0,11.0,25.0,19.0,52.0,17.0,21.0,15.0,44.0,0,0,0,0,117,1888,60,337,674,1307,2180,1614,849,1,2021,2022,False,HOU,LAC,MAR
2021-22,1610612746,LAC,LA Clippers,22100916,2022-02-27,LAC @ HOU,W,48.0,9.0,16.0,12.0,36.0,23.0,9.0,8.0,34.0,0,0,0,0,117,2125,662,1132,2085,2082,517,540,168,1,2021,2022,False,HOU,LAC,FEB
2021-22,1610612746,LAC,LA Clippers,22100904,2022-02-25,LAC @ LAL,W,48.0,10.0,8.0,8.0,50.0,19.0,21.0,13.0,50.0,0,0,0,0,117,2010,1945,1767,832,1617,2180,1330,1431,1,2021,2022,False,LAL,LAC,FEB
2021-22,1610612746,LAC,LA Clippers,22100888,2022-02-17,LAC vs. HOU,W,48.0,36.0,19.0,31.0,64.0,18.0,11.0,24.0,56.0,0,0,0,0,117,9,358,10,110,1461,838,2325,1949,1,2021,2022,True,LAC,HOU,FEB
2021-22,1610612746,LAC,LA Clippers,22100873,2022-02-15,LAC @ PHX,L,48.0,19.0,9.0,15.0,42.0,15.0,5.0,19.0,58.0,0,0,0,0,117,709,1795,715,1613,1036,113,2050,2073,1,2021,2022,False,PHX,LAC,FEB
2021-22,1610612746,LAC,LA Clippers,22100866,2022-02-14,LAC vs. GSW,W,48.0,14.0,8.0,6.0,56.0,11.0,12.0,7.0,40.0,0,0,0,0,117,1426,1945,2040,389,452,975,422,507,1,2021,2022,True,LAC,GSW,FEB
2021-22,1610612746,LAC,LA Clippers,22100853,2022-02-12,LAC @ DAL,W,48.0,12.0,7.0,10.0,54.0,13.0,15.0,8.0,38.0,0,0,0,0,117,1741,2082,1473,513,721,1500,540,377,1,2021,2022,False,DAL,LAC,FEB
2021-22,1610612746,LAC,LA Clippers,22100835,2022-02-10,LAC @ DAL,L,48.0,12.0,5.0,10.0,52.0,17.0,8.0,5.0,46.0,0,0,0,0,117,1741,2291,1473,674,1307,380,202,1016,1,2021,2022,False,DAL,LAC,FEB
2021-22,1610612746,LAC,LA Clippers,22100818,2022-02-08,LAC @ MEM,L,48.0,16.0,10.0,8.0,46.0,21.0,24.0,22.0,78.0,0,0,0,0,117,1155,1624,1767,1216,1861,2352,2243,2456,1,2021,2022,False,MEM,LAC,FEB
