team_id,team_name,gp,w,l,w_pct,min,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_tov,opp_stl,opp_blk,opp_blka,opp_pf,opp_pfd,opp_pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,opp_fgm_rank,opp_fga_rank,opp_fg_pct_rank,opp_fg3m_rank,opp_fg3a_rank,opp_fg3_pct_rank,opp_ftm_rank,opp_fta_rank,opp_ft_pct_rank,opp_oreb_rank,opp_dreb_rank,opp_reb_rank,opp_ast_rank,opp_tov_rank,opp_stl_rank,opp_blk_rank,opp_blka_rank,opp_pf_rank,opp_pfd_rank,opp_pts_rank,plus_minus_rank,team
1610612737,Atlanta Hawks,34,13,21,0.382,128.95333333333335,35.0,86.7,0.403,8.9,35.0,0.255,29.0,40.6,0.716,13.4,36.5,49.9,20.5,13.8,7.1,10.1,4.8,22.3,27.2,107.9,11.2,18,23,23,25,19,13,25,6,5,21,2,15,20,2,23,26,28,24,7,18,30,22,3,18,15,22,ATLANTA HAWKS
1610612738,Boston Celtics,42,23,19,0.548,144.26666666666668,33.6,82.8,0.406,11.6,38.3,0.304,34.6,44.3,0.782,11.3,29.3,40.6,18.0,12.3,8.0,5.0,5.7,28.9,31.3,113.5,-8.0,5,6,16,12,10,9,11,7,21,28,8,22,22,19,16,7,8,12,15,23,13,10,19,9,17,11,BOSTON CELTICS
1610612751,Brooklyn Nets,40,20,20,0.5,174.95166666666665,35.9,87.2,0.412,9.9,32.6,0.303,26.1,32.6,0.798,11.2,27.7,39.0,17.3,11.0,7.1,6.6,4.7,26.9,26.6,107.8,-7.1,9,9,18,13,3,15,26,10,8,13,7,10,10,21,14,1,3,11,20,19,22,24,16,19,14,14,BROOKLYN NETS
1610612766,Charlotte Hornets,34,17,17,0.5,148.435,36.2,83.8,0.432,12.3,35.9,0.342,21.3,28.5,0.75,14.2,28.5,42.7,20.7,10.0,6.8,2.6,5.8,28.8,24.6,106.1,-10.3,18,16,12,13,8,16,14,18,24,24,20,2,2,10,26,4,12,25,23,17,5,9,18,25,8,9,CHARLOTTE HORNETS
1610612741,Chicago Bulls,38,13,25,0.342,119.12,39.9,84.2,0.474,12.9,33.0,0.39,36.7,47.5,0.771,16.1,30.6,46.7,21.8,12.9,5.6,7.3,3.6,25.8,32.2,129.3,26.2,11,23,28,26,23,29,15,29,26,14,28,24,25,15,29,11,21,28,12,14,26,27,11,4,28,28,CHICAGO BULLS
1610612739,Cleveland Cavaliers,29,13,16,0.448,132.205,36.7,89.7,0.409,9.4,30.5,0.31,23.6,30.9,0.765,13.8,28.7,42.5,19.6,6.2,8.0,6.9,6.5,23.2,21.8,106.4,3.3,28,23,10,17,16,18,27,9,7,6,10,6,4,13,24,5,11,21,30,24,25,6,5,29,9,16,CLEVELAND CAVALIERS
1610612742,Dallas Mavericks,41,17,24,0.415,163.21666666666667,35.0,84.4,0.415,12.4,33.8,0.365,25.3,34.1,0.741,11.5,33.8,45.3,15.3,8.8,7.4,5.9,5.0,31.5,27.9,107.6,4.4,6,16,27,20,5,14,17,11,25,15,24,7,11,6,17,16,18,4,28,22,20,20,25,14,12,18,DALLAS MAVERICKS
1610612743,Denver Nuggets,45,29,16,0.644,176.035,33.3,78.0,0.427,9.0,30.8,0.292,25.6,32.2,0.797,10.9,27.8,38.7,21.0,12.0,5.2,4.6,3.0,32.7,22.4,101.2,-15.3,1,2,10,6,2,8,5,15,6,8,5,8,8,20,12,2,1,27,16,12,10,29,27,27,6,5,DENVER NUGGETS
1610612765,Detroit Pistons,30,10,20,0.333,120.97,36.9,86.5,0.427,10.7,27.8,0.386,30.6,37.3,0.819,15.1,38.5,53.6,20.2,8.3,8.3,5.2,5.2,17.5,27.4,115.1,29.0,25,29,18,27,22,19,23,16,12,3,27,17,15,25,27,29,30,22,29,26,16,17,1,17,21,29,DETROIT PISTONS
1610612744,Golden State Warriors,27,8,19,0.296,100.03166666666668,40.3,83.5,0.483,13.4,30.7,0.438,39.3,50.4,0.781,10.6,35.0,45.6,18.2,9.1,8.6,6.7,6.7,20.6,36.5,133.4,25.9,29,30,16,30,28,30,13,30,29,7,30,28,29,18,10,21,19,13,27,28,23,4,2,1,30,27,GOLDEN STATE WARRIORS
1610612745,Houston Rockets,32,19,13,0.594,111.67333333333332,32.2,91.6,0.352,10.7,40.0,0.269,26.2,35.2,0.744,14.2,34.0,48.1,19.3,14.2,6.0,4.7,6.4,30.1,25.4,101.4,-25.4,23,11,4,9,26,5,30,1,13,29,3,11,13,7,25,17,23,20,6,15,11,7,21,24,7,4,HOUSTON ROCKETS
1610612754,Indiana Pacers,36,22,14,0.611,151.77166666666668,31.3,81.9,0.382,7.0,32.3,0.216,22.5,31.3,0.717,13.0,30.0,43.0,12.0,13.6,7.3,4.7,5.4,24.7,25.9,92.0,-13.3,15,7,7,7,7,4,10,3,1,11,1,3,6,4,21,9,13,1,8,21,12,14,6,22,1,7,INDIANA PACERS
1610612746,LA Clippers,32,19,13,0.594,126.87833333333332,38.2,90.8,0.421,11.3,38.2,0.297,26.5,35.2,0.753,15.1,29.5,44.6,18.5,10.6,9.5,2.3,4.9,26.1,27.6,114.3,-7.9,23,11,4,9,20,25,28,14,17,27,6,12,12,12,28,8,16,15,22,30,1,21,14,15,18,12,LA CLIPPERS
1610612747,Los Angeles Lakers,30,20,10,0.667,114.33166666666666,29.8,73.5,0.406,8.8,28.1,0.313,31.9,37.8,0.844,7.6,34.4,42.0,15.1,16.8,4.2,2.5,6.7,28.1,26.0,100.3,-12.2,25,9,2,4,24,2,1,8,4,4,12,20,17,27,3,18,10,3,1,4,4,5,17,21,3,8,LOS ANGELES LAKERS
1610612763,Memphis Grizzlies,30,13,17,0.433,97.105,38.6,86.0,0.448,14.8,37.6,0.395,38.6,49.9,0.772,10.9,32.6,43.5,18.8,9.9,8.4,5.4,5.4,25.7,32.1,130.5,19.3,25,23,12,18,29,27,22,25,30,26,29,26,28,16,11,14,14,16,25,27,17,13,9,5,29,25,MEMPHIS GRIZZLIES
1610612748,Miami Heat,36,18,18,0.5,153.41333333333333,37.9,85.1,0.445,12.2,35.4,0.345,26.6,31.6,0.842,12.2,35.4,47.6,20.3,10.0,5.0,2.5,6.9,30.3,23.2,114.5,12.5,15,14,14,13,6,24,18,23,23,23,22,13,7,26,19,23,22,23,24,10,2,3,22,26,19,23,MIAMI HEAT
