group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,team
Players,1630180,Saddiq Bey,Saddiq,1610612737,ATL,24.0,27,9,18,0.333,75.75166666666667,7,17,0.412,4,6,0.667,4,6,0.667,5,6,11,2,1,2,0,2,14,3,22,-55,43.2,1,0,43.0,131,189,384,360,147,156,151,230,85,155,23,165,163,195,74,175,133,193,199,90,204,340,394,204,157,445,174,148,27,170,ATL
Players,1630168,Onyeka Okongwu,Onyeka,1610612737,ATL,22.0,16,7,9,0.438,53.395,3,6,0.5,0,0,0.0,1,1,1.0,5,5,10,0,2,1,6,2,5,3,7,-32,38.0,4,0,31.0,212,223,258,286,178,227,245,117,257,325,257,250,285,1,74,198,149,297,155,145,9,340,239,204,255,414,189,76,27,200,ATL
Players,1629633,Jarrett Culver,Jarrett,1610612737,ATL,24.0,3,1,2,0.333,4.82,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,-8,1.2,0,0,1.0,368,372,72,360,386,361,396,361,257,325,257,295,305,295,288,319,342,297,281,250,204,1,77,329,382,300,403,205,27,406,ATL
Players,1628381,John Collins,John,1610612737,ATL,25.0,36,17,19,0.472,123.56166666666668,14,30,0.467,3,9,0.333,6,9,0.667,8,21,29,4,2,1,4,5,15,8,37,-16,90.8,6,0,83.0,42,61,398,247,62,85,98,173,104,117,131,131,127,195,33,32,30,130,155,145,28,421,403,118,109,362,89,56,27,96,ATL
Players,203992,Bogdan Bogdanović,Bogdan,1610612737,ATL,30.0,24,12,12,0.5,65.95833333333333,8,25,0.32,3,16,0.188,1,3,0.333,0,8,8,4,1,1,1,1,1,1,20,-17,40.6,0,0,39.0,148,145,300,188,162,147,113,315,104,67,231,250,223,287,288,137,182,130,199,145,123,243,77,266,167,368,184,205,27,180,ATL
Players,1630235,Trent Forrest,Trent,1610612737,ATL,25.0,2,1,1,0.5,11.705,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,0,2,1,0,-14,5.4,0,0,4.0,394,372,18,188,325,361,356,361,257,325,257,295,305,295,205,319,300,297,281,250,123,1,132,266,382,349,349,205,27,358,ATL
Players,1629027,Trae Young,Trae,1610612737,ATL,24.0,39,19,20,0.487,168.18666666666667,39,104,0.375,11,36,0.306,49,56,0.875,3,8,11,31,18,2,0,11,9,36,138,-34,185.7,21,0,195.0,22,40,415,236,6,12,3,258,11,10,166,5,4,92,114,137,133,3,2,90,204,451,319,6,5,422,14,10,27,9,ATL
Players,1628981,Bruno Fernando,Bruno,1610612737,ATL,24.0,4,4,0,1.0,4.178333333333334,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,0,3,1,1,0,2.2,0,0,2.0,351,278,1,1,397,361,396,361,257,325,257,250,235,245,288,319,342,297,281,250,204,1,179,266,377,207,398,205,27,392,ATL
Players,1629631,De'Andre Hunter,De'Andre,1610612737,ATL,25.0,36,17,19,0.472,132.935,11,23,0.478,3,10,0.3,9,14,0.643,3,15,18,2,5,2,2,2,20,9,34,-46,65.6,0,0,65.0,42,61,398,247,45,112,123,167,104,107,168,103,95,213,114,65,82,193,78,90,77,340,434,103,118,436,127,205,27,124,ATL
Players,203991,Clint Capela,Clint,1610612737,ATL,29.0,30,15,15,0.5,122.72166666666666,14,26,0.538,0,0,0.0,5,10,0.5,13,25,38,3,2,1,5,1,14,11,33,-50,99.1,18,0,86.0,94,91,344,188,63,85,108,103,257,325,257,151,120,245,11,14,13,155,155,145,20,243,394,85,120,440,73,14,27,90,ATL
