team_id,team_name,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank
1610612737,Atlanta Hawks,43,20,23,0.465,184.03333333333333,48.0,43.0,36.0,180.0,71.0,58.0,41.0,206.0,13,17,19,15,7,15,18,4,6,28,25,30,30
1610612738,Boston Celtics,37,24,13,0.649,170.27166666666668,28.0,51.0,25.0,128.0,45.0,41.0,13.0,122.0,22,8,2,1,12,28,12,13,18,11,9,1,7
1610612751,Brooklyn Nets,40,24,16,0.6,134.76333333333332,47.0,36.0,23.0,98.0,41.0,54.0,23.0,126.0,19,8,5,1,26,17,23,18,29,5,23,13,11
1610612766,Charlotte Hornets,43,20,23,0.465,163.15333333333334,39.0,54.0,26.0,160.0,59.0,51.0,21.0,164.0,13,17,19,15,17,23,8,12,10,23,19,8,24
1610612741,Chicago Bulls,38,15,23,0.395,178.065,62.0,52.0,41.0,164.0,44.0,46.0,21.0,148.0,21,26,19,15,8,6,10,2,9,9,14,8,18
1610612739,Cleveland Cavaliers,45,24,21,0.533,169.77666666666667,59.0,65.0,22.0,152.0,70.0,47.0,35.0,130.0,6,8,13,1,13,7,3,19,14,27,15,28,13
1610612742,Dallas Mavericks,55,26,29,0.473,230.09333333333333,63.0,43.0,24.0,166.0,53.0,76.0,25.0,172.0,1,5,29,15,1,5,18,16,8,19,29,16,27
1610612743,Denver Nuggets,37,22,15,0.595,141.67166666666665,44.0,38.0,12.0,110.0,39.0,32.0,18.0,114.0,22,14,3,1,24,20,21,27,24,4,5,5,4
1610612765,Detroit Pistons,37,11,26,0.297,143.59666666666666,33.0,47.0,7.0,78.0,46.0,71.0,20.0,154.0,22,29,26,15,23,26,15,29,30,15,28,7,22
1610612744,Golden State Warriors,41,20,21,0.488,172.53,46.0,35.0,30.0,114.0,58.0,41.0,32.0,150.0,17,17,13,15,10,18,24,10,23,22,9,26,19
1610612745,Houston Rockets,40,16,24,0.4,132.34666666666666,35.0,35.0,19.0,108.0,73.0,25.0,29.0,116.0,19,25,23,15,27,25,24,22,25,30,2,24,5
1610612754,Indiana Pacers,48,25,23,0.521,165.40166666666667,59.0,47.0,31.0,144.0,41.0,56.0,26.0,124.0,4,6,19,1,15,7,15,8,15,5,24,19,9
1610612746,LA Clippers,42,22,20,0.524,139.96166666666667,45.0,38.0,19.0,130.0,59.0,25.0,26.0,116.0,16,14,10,1,25,19,21,22,17,23,2,19,5
1610612747,Los Angeles Lakers,44,23,21,0.523,172.36833333333334,40.0,51.0,37.0,188.0,24.0,60.0,27.0,170.0,9,11,13,1,11,22,12,3,3,1,26,21,26
1610612763,Memphis Grizzlies,36,21,15,0.583,109.70166666666668,37.0,57.0,18.0,124.0,31.0,23.0,31.0,102.0,26,16,3,1,30,24,6,24,19,2,1,25,1
1610612748,Miami Heat,54,32,22,0.593,213.61666666666667,90.0,57.0,32.0,184.0,45.0,49.0,22.0,186.0,2,1,17,1,2,1,6,7,4,11,16,12,28
1610612749,Milwaukee Bucks,35,27,8,0.771,128.31833333333333,23.0,41.0,10.0,108.0,49.0,29.0,16.0,106.0,29,4,1,1,28,30,20,28,25,16,4,4,2
1610612750,Minnesota Timberwolves,48,28,20,0.583,187.19166666666663,69.0,53.0,20.0,154.0,50.0,49.0,23.0,150.0,4,2,10,1,5,4,9,21,11,17,16,13,19
1610612740,New Orleans Pelicans,37,17,20,0.459,152.11,85.0,32.0,25.0,154.0,36.0,51.0,21.0,124.0,22,22,10,15,18,2,27,13,11,3,19,8,9
1610612752,New York Knicks,45,23,22,0.511,199.53,51.0,63.0,31.0,194.0,62.0,79.0,24.0,164.0,6,11,17,1,3,13,4,8,2,25,30,15,24
1610612760,Oklahoma City Thunder,43,17,26,0.395,167.95666666666668,58.0,31.0,25.0,174.0,42.0,53.0,28.0,150.0,13,22,26,15,14,10,28,13,7,8,21,22,19
1610612753,Orlando Magic,44,19,25,0.432,148.875,59.0,50.0,21.0,140.0,53.0,44.0,21.0,140.0,9,20,24,15,19,7,14,20,16,19,12,8,15
1610612755,Philadelphia 76ers,45,28,17,0.622,176.15333333333334,53.0,45.0,36.0,120.0,45.0,35.0,25.0,122.0,6,2,6,1,9,12,17,4,20,11,7,16,7
1610612756,Phoenix Suns,36,17,19,0.472,145.70833333333334,48.0,59.0,6.0,104.0,50.0,44.0,19.0,142.0,26,22,8,15,22,15,5,30,27,17,12,6,17
1610612757,Portland Trail Blazers,36,15,21,0.417,147.97833333333332,43.0,28.0,28.0,118.0,54.0,53.0,38.0,140.0,26,26,13,15,21,21,30,11,22,21,21,29,15
1610612758,Sacramento Kings,44,25,19,0.568,184.49,80.0,71.0,42.0,210.0,41.0,39.0,32.0,192.0,9,6,8,1,6,3,2,1,1,5,8,26,29
1610612759,San Antonio Spurs,28,11,17,0.393,111.25333333333332,31.0,29.0,24.0,102.0,66.0,43.0,13.0,112.0,30,29,6,15,29,27,29,16,28,26,11,1,3
1610612761,Toronto Raptors,44,19,25,0.432,163.22666666666666,56.0,52.0,18.0,154.0,45.0,33.0,25.0,136.0,9,20,24,15,16,11,10,24,11,11,6,16,14
1610612762,Utah Jazz,52,23,29,0.442,199.30166666666668,51.0,81.0,33.0,184.0,71.0,63.0,28.0,158.0,3,11,29,15,4,13,1,6,4,28,27,22,23
1610612764,Washington Wizards,41,15,26,0.366,148.83166666666668,25.0,35.0,15.0,120.0,44.0,49.0,13.0,128.0,17,26,26,15,20,29,24,26,20,9,16,1,12
