group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank
Players,1641709,Ausar Thompson,Ausar,1610612765,DET,21.0,18,6,12,0.333,47.0,0.147,0.133,0.176,0.1,0.115,0.0,0.0,0.333,0.147,0.204,0.133,0.118,0.5,0.2,0.286,0.216,0.118,0.1,173,221,337,353,177,211,252,173,193,265,272,280,82,259,183,225,261,25,136,373,288,242,295
Players,1630595,Cade Cunningham,Cade,1610612765,DET,22.0,28,6,22,0.214,93.0,0.297,0.375,0.323,0.313,0.254,0.422,0.373,0.08,0.136,0.119,0.375,0.28,0.0,0.083,0.286,0.113,0.351,0.382,87,221,460,404,83,46,31,47,74,108,30,40,263,281,312,41,377,254,208,373,145,54,27
Players,1629002,Chimezie Metu,Chimezie,1610612765,DET,27.0,4,1,3,0.25,8.0,0.105,0.0,0.083,0.0,0.25,0.0,0.0,0.0,0.333,0.333,0.0,0.333,0.0,0.0,0.0,0.2,0.0,0.0,341,359,132,382,347,316,355,362,222,109,272,280,298,63,58,308,408,254,218,1,255,310,367
Players,203095,Evan Fournier,Evan,1610612765,DET,31.0,5,1,4,0.2,12.0,0.042,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.125,0.111,0.25,0.0,1.0,0.333,0.0,0.25,0.0,0.0,320,359,164,405,322,406,355,393,222,324,272,280,298,293,320,109,1,1,76,1,323,310,367
Players,1630587,Isaiah Livers,Isaiah,1610612765,DET,25.0,5,1,4,0.2,17.0,0.111,0.111,0.1,0.0,0.2,0.0,0.0,0.167,0.0,0.077,0.0,0.5,0.333,0.0,0.4,0.286,0.0,0.061,320,359,164,405,291,299,280,332,222,157,272,280,190,355,354,308,444,68,218,423,369,310,342
Players,1630191,Isaiah Stewart,Isaiah,1610612765,DET,23.0,17,4,13,0.235,42.0,0.157,0.167,0.197,0.25,0.25,0.095,0.115,0.2,0.267,0.25,0.111,0.154,0.167,0.2,0.125,0.313,0.0,0.156,187,261,365,398,190,191,188,150,103,109,226,216,159,113,120,245,294,177,136,283,397,310,202
Players,1631093,Jaden Ivey,Jaden,1610612765,DET,22.0,26,7,19,0.269,68.0,0.242,0.186,0.198,0.25,0.19,0.364,0.375,0.353,0.068,0.148,0.381,0.474,0.2,0.0,0.273,0.278,0.345,0.237,111,200,440,380,139,79,158,149,103,176,46,38,76,342,281,40,442,157,218,368,361,55,99
Players,1631105,Jalen Duren,Jalen,1610612765,DET,20.0,27,8,19,0.296,87.0,0.101,0.183,0.092,0.0,0.0,0.29,0.289,0.37,0.291,0.317,0.036,0.042,0.111,0.545,0.2,0.18,0.182,0.18,102,181,440,374,99,327,160,345,222,324,71,74,70,94,72,304,207,227,30,319,230,160,163
Players,1630164,James Wiseman,James,1610612765,DET,23.0,3,0,3,0.0,7.0,0.133,1.0,0.091,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.333,1.0,0.0,0.0,0.25,1.0,1.0,364,422,132,422,359,244,1,346,222,324,272,280,298,122,120,308,408,1,218,1,323,1,1
Players,203925,Joe Harris,Joe,1610612765,DET,32.0,2,0,2,0.0,4.0,0.077,0.0,0.091,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393,422,98,422,391,365,355,346,222,7,272,280,298,355,379,308,1,254,218,1,1,310,367
Players,1628995,Kevin Knox II,Kevin,1610612765,DET,24.0,5,1,4,0.2,10.0,0.107,0.143,0.158,0.0,0.143,0.0,0.0,0.25,0.333,0.3,0.2,0.0,0.0,0.0,0.0,0.286,0.0,0.118,320,359,164,405,335,310,229,212,222,222,272,280,127,63,80,140,1,254,218,1,369,310,262
Players,1630165,Killian Hayes,Killian,1610612765,DET,22.0,10,2,8,0.2,15.0,0.081,0.0,0.107,0.0,0.0,0.0,0.0,0.0,0.364,0.267,0.667,0.0,0.333,0.0,0.333,0.364,0.2,0.0,259,315,263,405,298,359,355,319,222,324,272,280,298,51,107,5,1,68,218,393,425,141,367
Players,1630201,Malachi Flynn,Malachi,1610612765,DET,26.0,5,2,3,0.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.286,0.0,0.0,320,315,132,326,374,412,355,399,222,324,272,280,298,355,379,308,1,25,218,1,369,310,367
Players,1631204,Marcus Sasser,Marcus,1610612765,DET,23.0,8,2,6,0.25,25.0,0.134,0.2,0.163,0.6,0.278,0.0,0.0,0.0,0.2,0.12,0.333,0.1,0.5,0.0,0.2,0.182,0.222,0.2,278,315,218,382,247,242,130,203,15,95,272,280,298,185,307,61,238,25,218,319,231,125,131
Players,1629656,Quentin Grimes,Quentin,1610612765,DET,24.0,7,3,4,0.429,17.0,0.16,0.19,0.189,0.375,0.417,0.0,0.0,0.0,0.4,0.267,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.2,294,288,164,304,287,178,153,158,52,25,272,280,298,35,107,308,323,254,218,1,386,310,131
Players,1631323,Simone Fontecchio,Simone,1610612765,DET,28.0,16,8,8,0.5,66.0,0.118,0.059,0.15,0.087,0.283,0.0,0.0,0.1,0.188,0.172,0.129,0.125,0.0,0.167,0.2,0.219,0.0,0.049,196,181,263,200,147,290,339,231,203,91,272,280,246,202,235,227,265,254,157,319,294,310,353
Players,1630649,Stanley Umude,Stanley,1610612765,DET,25.0,3,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,364,422,132,422,437,412,355,399,222,324,272,280,298,355,379,308,1,254,218,1,465,310,367
