season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2024-25,1610612738,42400111,2025-04-20,ORL,BOS,1610612753,103,86,W,rnd1,1
2024-25,1610612738,42400112,2025-04-23,ORL,BOS,1610612753,109,100,W,rnd1,2
2024-25,1610612738,42400113,2025-04-25,BOS,ORL,1610612753,93,95,L,rnd1,3
2024-25,1610612738,42400114,2025-04-27,BOS,ORL,1610612753,107,98,W,rnd1,4
2024-25,1610612738,42400115,2025-04-29,ORL,BOS,1610612753,120,89,W,rnd1,5
2024-25,1610612738,42400211,2025-05-05,NYK,BOS,1610612752,105,108,L,sf,1
2024-25,1610612738,42400212,2025-05-07,NYK,BOS,1610612752,90,91,L,sf,2
2024-25,1610612738,42400213,2025-05-10,BOS,NYK,1610612752,115,93,W,sf,3
2024-25,1610612738,42400214,2025-05-12,BOS,NYK,1610612752,113,121,L,sf,4
2024-25,1610612738,42400215,2025-05-14,NYK,BOS,1610612752,127,102,W,sf,5
2024-25,1610612738,42400216,2025-05-16,BOS,NYK,1610612752,81,119,L,sf,6
