season,team_id,team,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,available_flag,season_start,season_end,is_home,home,away,MON
2020-21,1610612755,PHI,Philadelphia 76ers,42000207,2021-06-20,PHI vs. ATL,L,48.0,0.481,0.313,0.173,0.204,0.488,0.395,0.1,0.163,0,0,0,0,7,133,46,159,139,42,157,127,8,1,2020,2021,True,PHI,ATL,JUN
2020-21,1610612755,PHI,Philadelphia 76ers,42000206,2021-06-18,PHI @ ATL,W,48.0,0.473,0.247,0.11,0.283,0.467,0.261,0.12,0.288,0,0,0,0,7,144,83,59,72,24,98,92,101,1,2020,2021,False,ATL,PHI,JUN
2020-21,1610612755,PHI,Philadelphia 76ers,42000205,2021-06-16,PHI vs. ATL,L,48.0,0.553,0.507,0.162,0.277,0.512,0.329,0.112,0.22,0,0,0,0,7,67,2,146,77,66,131,107,45,1,2020,2021,True,PHI,ATL,JUN
2020-21,1610612755,PHI,Philadelphia 76ers,42000204,2021-06-14,PHI @ ATL,L,48.0,0.5,0.247,0.122,0.18,0.426,0.208,0.04,0.273,0,0,0,0,7,109,86,81,152,10,48,169,82,1,2020,2021,False,ATL,PHI,JUN
2020-21,1610612755,PHI,Philadelphia 76ers,42000203,2021-06-11,PHI @ ATL,W,48.0,0.646,0.494,0.113,0.3,0.512,0.39,0.113,0.302,0,0,0,0,7,11,4,65,58,67,156,104,115,1,2020,2021,False,ATL,PHI,JUN
2020-21,1610612755,PHI,Philadelphia 76ers,42000202,2021-06-08,PHI vs. ATL,W,48.0,0.598,0.253,0.093,0.222,0.524,0.217,0.184,0.304,0,0,0,0,7,39,77,26,120,76,59,6,116,1,2020,2021,True,PHI,ATL,JUN
2020-21,1610612755,PHI,Philadelphia 76ers,42000201,2021-06-06,PHI vs. ATL,L,48.0,0.61,0.427,0.179,0.244,0.628,0.244,0.157,0.167,0,0,0,0,7,26,8,163,109,157,80,31,9,1,2020,2021,True,PHI,ATL,JUN
2020-21,1610612755,PHI,Philadelphia 76ers,42000105,2021-06-02,PHI vs. WAS,W,48.0,0.565,0.512,0.087,0.283,0.544,0.418,0.147,0.205,0,0,0,0,7,54,1,22,73,97,160,46,33,1,2020,2021,True,PHI,WAS,JUN
2020-21,1610612755,PHI,Philadelphia 76ers,42000104,2021-05-31,PHI @ WAS,L,48.0,0.479,0.354,0.102,0.222,0.506,0.477,0.127,0.309,0,0,0,0,7,135,26,45,120,63,165,82,123,1,2020,2021,False,WAS,PHI,MAY
2020-21,1610612755,PHI,Philadelphia 76ers,42000103,2021-05-29,PHI @ WAS,W,48.0,0.684,0.23,0.158,0.275,0.438,0.26,0.078,0.262,0,0,0,0,7,3,100,141,83,13,97,157,77,1,2020,2021,False,WAS,PHI,MAY
2020-21,1610612755,PHI,Philadelphia 76ers,42000102,2021-05-26,PHI vs. WAS,W,48.0,0.608,0.216,0.121,0.31,0.413,0.326,0.144,0.355,0,0,0,0,7,27,113,80,47,7,130,52,149,1,2020,2021,True,PHI,WAS,MAY
2020-21,1610612755,PHI,Philadelphia 76ers,42000101,2021-05-23,PHI vs. WAS,W,48.0,0.548,0.355,0.109,0.34,0.602,0.17,0.157,0.3,0,0,0,0,7,70,25,56,31,137,28,32,111,1,2020,2021,True,PHI,WAS,MAY
